panel,cell,N,T,h,q,h/T,obs,null,sd,excess,z,p,n,T*_4.3,T*_paper
sp500,published,357,357,42,1.0,0.118,0.0977,0.05635691244159145,0.014030457239882336,0.04134308755840854,2.9466671578520316,0.01,99,999,700
sp500,arm B,357,750,84,0.476,0.112,0.1923,0.03128273502457537,0.020807970332126145,0.16101726497542462,7.7382494498670304,0.09090909090909091,10,999,700
sp500,arm A,357,750,42,0.476,0.056,0.1423,0.08343787469416332,0.018597478060138527,0.05886212530583669,3.16505953740043,0.07142857142857142,13,999,700
sp500,arm A,357,1008,42,0.354,0.042,0.1824,0.08548668793965715,0.012777427611567187,0.09691331206034286,7.5847279285393014,0.125,7,999,700
nikkei,published,131,250,42,0.524,0.168,0.0358,0.01902725763167039,0.010787521293979474,0.01677274236832961,1.554828204852814,0.05,99,793,600
nikkei,arm A,131,750,42,0.175,0.056,0.0856,0.05903151018812718,0.014847292327912195,0.026568489811872813,1.7894501721317448,0.05,19,793,600
nikkei,q=1 probe,131,131,14,1.0,0.107,0.0203,0.039546140988266594,0.012044350142599247,-0.019246140988266595,-1.5979393458677014,0.9545454545454546,21,793,600
dax,published,29,250,42,0.116,0.168,0.02,0.014676763998351855,0.013660686067898966,0.0053232360016481454,0.38967559719838196,0.35,99,1032,450
dax,arm A,29,750,42,0.039,0.056,0.1172,0.040172222215504615,0.020683871270677,0.07702777778449538,3.724050337409308,0.04,24,1032,450
cac40,published,23,250,42,0.092,0.168,0.0169,0.017597006914388657,0.014179873393729952,-0.0006970069143886586,-0.049154664152139795,0.52,99,529,400
cac40,arm A,23,750,42,0.031,0.056,0.0845,0.05052119063280116,0.016472159363043283,0.033978809367198846,2.062802369641545,0.04,24,529,400
