replicate,null,component,n_origins,n_finite_addition,mean_addition_cosine,median_addition_cosine,q25_addition_cosine,q75_addition_cosine,positive_addition_fraction,mean_addition_previous_speed,mean_addition_next_speed,mean_full_cosine,mean_deletion_outgoing_cosine,mean_deletion_attributed_fraction,mean_full_residual_cosine
0,volatility,market_1,429,429,0.07564577425006881,0.0961121443032668,-0.08686940602231824,0.2526961490412138,0.6107226107226107,0.014019130464980602,0.01401949582088221,0.08220611927995829,0.6739353194271415,0.4823391088591321,0.00552832955195401
0,volatility,block_2_3,429,429,0.03509913181714011,0.04278820716172229,-0.13539587503671377,0.22340734043347182,0.5524475524475524,0.10753431204428117,0.10782051331933572,0.07419029048340739,0.6637672522493493,0.49403225169734755,0.025351198268338267
0,volatility,block_4_6,429,429,0.021192806087607128,0.02220154332511057,-0.2673794987773093,0.33085674721897945,0.5314685314685315,0.3445670157697466,0.34565520637418845,0.07078699291084026,0.6300199747912888,0.48045031129398363,0.022432030649763138
0,volatility,top_3,429,429,0.035053477320203114,0.042994200372672244,-0.13776010579079992,0.22120947929028112,0.5617715617715617,0.10816801410852682,0.10845643233837744,0.07396593198924054,0.6642808649591241,0.4938046969302124,0.024581124675094677
0,volatility,top_6,429,429,0.026840539773963456,0.02982963135932194,-0.24615680917807137,0.30792225475717055,0.5314685314685315,0.3384536629486028,0.33939010854863083,0.06873546287341048,0.6370564729417544,0.4856513171655267,0.017323657538801395
0,volatility,flag_nested,429,429,0.027690468275090384,0.01616317792331796,-0.19263257157684957,0.25982939802224997,0.5268065268065268,0.1567215533194083,0.15714966896233118,0.06952149729345304,0.6363924130733714,0.4739211032779442,0.024623160345991817
1,volatility,market_1,429,429,0.12068635701513936,0.11498039264142186,-0.06596590741465466,0.328356571216523,0.6643356643356644,0.014262298936650876,0.014280810508478703,0.1295255587257518,0.6815685552641972,0.4918212768057283,0.08025878473537104
1,volatility,block_2_3,429,429,0.073916136843198,0.08362112986708409,-0.1389546222508286,0.28628598559421836,0.5874125874125874,0.11340231022922269,0.11362210092796396,0.06843335909644437,0.6749541243271758,0.49571500648097117,-0.004659836145351625
1,volatility,block_4_6,429,429,0.04364513185961168,0.03682729830354646,-0.16549675816616113,0.2535458237243997,0.5594405594405595,0.2866667002067479,0.28827029194367737,0.05068643347053065,0.6608336021328896,0.4891413887660348,0.014942691419556557
1,volatility,top_3,429,429,0.07432521533574006,0.08130866310715476,-0.1374955400907782,0.2860017997274445,0.5897435897435898,0.11403276219492557,0.11425223697261706,0.06946111600504194,0.6753581534918267,0.4954942713426557,-0.004269173566553173
