replicate,null,component,n_origins,n_finite_addition,mean_addition_cosine,median_addition_cosine,q25_addition_cosine,q75_addition_cosine,positive_addition_fraction,mean_addition_previous_speed,mean_addition_next_speed,mean_full_cosine,mean_deletion_outgoing_cosine,mean_deletion_attributed_fraction,mean_full_residual_cosine
0,volatility,market_1,414,414,0.0662911103030406,0.06822096551903,-0.0235698265304203,0.1599261236883324,0.6835748792270532,0.0157827109531468,0.015804380554914,0.0584232062953029,0.688033300826901,0.4823438910820293,0.0020082261490717
0,volatility,block_2_3,414,414,0.0990245965095524,0.0940011591880544,-0.0555296489600238,0.2515311358212047,0.6642512077294686,0.0949127121641781,0.0947362406405432,0.0907228847081942,0.6799440097302405,0.4844078460888379,0.0222680327935436
0,volatility,block_4_6,414,414,0.0611142978476533,0.057432967169611,-0.0857787216519052,0.2206410224103342,0.6207729468599034,0.2431044429533646,0.2437247409082314,0.0674374034793361,0.6584059094335404,0.4797075530334414,0.0258113965820012
0,volatility,top_3,414,414,0.0977095776170851,0.0929795052903067,-0.0527424547017615,0.2494289283363717,0.6618357487922706,0.0959679532737332,0.0957945124030891,0.0895284946617644,0.6804668544604541,0.4842156935823922,0.0215960494223441
0,volatility,top_6,414,414,0.0485382895966721,0.0482889001914192,-0.0773269412357935,0.1898195895420449,0.5917874396135265,0.2470720130060272,0.2476573296814646,0.0581049475634299,0.6595315973210719,0.4776046822321709,0.0143622406355513
0,volatility,flag_nested,414,414,0.0653334399743828,0.0691353110602446,-0.05243146953415,0.1874597569659133,0.6328502415458938,0.1178519050621216,0.118031015098099,0.0686510325952755,0.6676489765190904,0.4793501410107599,0.0205769486021397
1,volatility,market_1,414,414,0.0794145909118726,0.0761000038558906,-0.0280453062123387,0.1833526231129897,0.6835748792270532,0.0159595724930411,0.0159740134336716,0.0828237661627314,0.6844039309676856,0.4765437344599711,0.0213758012898994
1,volatility,block_2_3,414,414,0.1091483704673324,0.1032029236375818,-0.0362691838514746,0.2586221800567533,0.678743961352657,0.0978091687058213,0.0982013052157314,0.1154249227931368,0.6570963664308862,0.4656895187351857,0.054244890851467
1,volatility,block_4_6,414,414,0.0592195132030087,0.0858853245859816,-0.171220264055901,0.2886327852369446,0.5893719806763285,0.3209417524000915,0.3215880122945254,0.0566717735436891,0.6114880251798087,0.4929163693820578,0.0119851145915293
1,volatility,top_3,414,414,0.1070807667708612,0.1005696393804289,-0.0365221926307317,0.2500863065382405,0.6811594202898551,0.0988570550431194,0.0992473601452803,0.1130895397460953,0.6581594518511431,0.4655742421955939,0.0524782813849591
1,volatility,top_6,414,414,0.048397538666432,0.0579929142233452,-0.1766269656761795,0.2637547615758663,0.572463768115942,0.3223148634188065,0.3229374866187489,0.044083672909281,0.6184364573203552,0.4966772420737044,0.0010083708277443
1,volatility,flag_nested,414,414,0.0656817372850698,0.0843144841751046,-0.1184521809384766,0.2537232359037499,0.6111111111111112,0.1473494469412603,0.1476818700575999,0.0626174023000672,0.6249896654394076,0.4837524976376873,0.0150129289476461
2,volatility,market_1,414,414,0.0743232471606578,0.0685536150921092,-0.039122098863698,0.1617905082233198,0.6570048309178744,0.0160042199821586,0.0160220887417444,0.08045233609165,0.6875217217479701,0.480478304775792,0.0235658934185622
2,volatility,block_2_3,414,414,0.0885633934922991,0.0783961473281108,-0.0422669778691633,0.222473124337198,0.6642512077294686,0.0938261545298062,0.0939326876315777,0.0851653856512019,0.6812677975094075,0.4898830383756277,0.0286271342915335
2,volatility,block_4_6,414,414,0.0223719108468205,0.0129759771045382,-0.2440361325658809,0.3023375709119092,0.5144927536231884,0.3219536865067486,0.3219021207150255,0.0449874719768067,0.6138684610363355,0.4786109634940208,0.0064375937422011
2,volatility,top_3,414,414,0.0877272345743625,0.0823327045781106,-0.0425691621294761,0.2169940006787617,0.6594202898550725,0.094936472445784,0.0950478219221608,0.0842583032814149,0.681428002061669,0.4892271134272727,0.0283538099429511
2,volatility,top_6,414,414,0.01940739068453,0.0084803086918384,-0.2424918911792938,0.2726774070072104,0.5169082125603864,0.3259597026503383,0.3258772506254919,0.0464516123264413,0.616054217948896,0.4764727651681454,0.0075524233922382
2,volatility,flag_nested,414,414,0.0329672496485496,0.0348541961614228,-0.1802622403705429,0.2507421716592621,0.5362318840579711,0.1471350404643168,0.1471442399430747,0.0509144880680979,0.6292438787625153,0.4774114593555576,0.0082064921562598
3,volatility,market_1,414,414,0.0505678213925861,0.0487849794462445,-0.0411270999366904,0.1470935413643813,0.6376811594202898,0.0157642968393138,0.0158095711854066,0.0625142436065715,0.6940423105714336,0.4897650218339309,0.0056135609091144
3,volatility,block_2_3,414,414,0.0682181122857222,0.0502489333020128,-0.0664731964292329,0.2185628786578064,0.6256038647342995,0.0931711581292687,0.0935393037382547,0.0770074707045211,0.6789116612613652,0.4843173120201274,0.014726446411345
3,volatility,block_4_6,414,414,0.0237151205266219,0.0478622768686486,-0.1894722948283496,0.2232465743714458,0.5700483091787439,0.2952731838064891,0.2970237900899282,0.0242965146635302,0.6245816238275613,0.5096792050462986,-0.0159141717253884
3,volatility,top_3,414,414,0.06709492963339,0.0512617904025397,-0.0618187662250424,0.214619577549491,0.6183574879227053,0.0942238945347779,0.0945977236085295,0.0752179119102547,0.6797448549989358,0.4845416227230996,0.01330792909832
3,volatility,top_6,414,414,0.0223016952993984,0.0398659519034374,-0.1705675400859973,0.2007013070938184,0.5676328502415459,0.3000955591200324,0.3016539076317366,0.0239869416748965,0.6236313915229471,0.5027945457036472,-0.0143287374980725
3,volatility,flag_nested,414,414,0.0334275452257446,0.0506977642173174,-0.1160420509935482,0.1904038856764274,0.5893719806763285,0.1373420071803739,0.1380602287224343,0.0321816692366342,0.6312939010103564,0.4984382001048884,-0.0091578430977966
4,volatility,market_1,414,414,0.0873442869146969,0.0931617077120085,-0.0149034548591502,0.1794102734892387,0.717391304347826,0.0160420670988112,0.0160675993272456,0.0640337679656626,0.6783107247693795,0.467438162385586,0.006558430320458
4,volatility,block_2_3,414,414,0.0903501176907115,0.0963372876160421,-0.0448578899624266,0.2500090010816126,0.6835748792270532,0.0990266230562322,0.0986581963184898,0.0833768740864343,0.6471040406390784,0.4567704564622865,0.0246746852523812
4,volatility,block_4_6,414,414,0.0768219475861282,0.0694900488947385,-0.0951486123954181,0.2420228026786976,0.6304347826086957,0.2653156273153638,0.2639665432301704,0.1210159079065041,0.6584357145132436,0.5016960830561771,0.0474467579267708
4,volatility,top_3,414,414,0.0895017858365998,0.0947809526455787,-0.0444933388571993,0.246819838596407,0.6835748792270532,0.1001078003211402,0.0997486785463908,0.0826677487934878,0.6480573007755301,0.4565914587467319,0.0243853206951416
4,volatility,top_6,414,414,0.0682572753477965,0.0466921847575327,-0.0807901022757013,0.2155504687800998,0.6280193236714976,0.2665053662111965,0.2651337539189757,0.110091773999037,0.6655350041598063,0.505493822989923,0.0372593027923041
4,volatility,flag_nested,414,414,0.0763207222292033,0.0697400663248971,-0.0555026797804903,0.1974187513712975,0.6473429951690821,0.1271343812016206,0.1265460588372171,0.1085978174480701,0.6596715099491173,0.4899698052021504,0.0405553780686826
5,volatility,market_1,414,414,0.0625125571748655,0.0582241592735842,-0.029407884364251,0.1527695623285372,0.6618357487922706,0.0156086077766834,0.0156095446117453,0.0783570906803439,0.6941812765553972,0.4897176028391187,0.0229300276217942
5,volatility,block_2_3,414,414,0.0535631744490495,0.0595110845451656,-0.107546750946751,0.2057473264962553,0.5893719806763285,0.1000905607193761,0.1001941322088516,0.0501314661554976,0.6639272639555788,0.4681579994271566,-0.0016023112070124
