N,T,horizon,tag,omega,replicate,q,deletion_fraction,horizon_degrees,addition_cosine,addition_speed,full_cosine,deletion_attributed_fraction,n_origins
23,250,42,cac published,0.0,0,0.092,0.168,0.0,0.049891579425901965,0.23067365787847663,-0.025057416168787185,0.4432908510643613,105
23,250,42,cac published,0.0,1,0.092,0.168,0.0,0.021008530170850147,0.2192922450773071,-0.0033048727482217913,0.4729634910006223,105
23,250,42,cac published,0.0,2,0.092,0.168,0.0,0.02298117531285608,0.2680478111575542,-0.07066841455246113,0.44580643116708696,105
23,250,42,cac published,0.0,3,0.092,0.168,0.0,0.010133186870543442,0.22823823510745547,0.02608969691014928,0.46913398565059183,105
23,250,42,cac published,0.0,4,0.092,0.168,0.0,-0.08329714711900807,0.24368282466572258,0.0034735232678274773,0.4167367349685699,105
23,250,42,cac published,0.001,0,0.092,0.168,2.4064227395494577,0.038437384898368024,0.20802316709017007,0.17805956961558897,0.45230081296638946,105
23,250,42,cac published,0.001,1,0.092,0.168,2.4064227395494577,0.004906704988428909,0.21128794146634142,0.0484046521037875,0.5120375807782834,105
23,250,42,cac published,0.005,0,0.092,0.168,12.032113697747288,0.43050501326327545,0.28063267715813783,0.5947874956157373,0.6747290339906615,105
23,250,42,cac published,0.005,1,0.092,0.168,12.032113697747288,0.4222352423967516,0.28805015653399385,0.6018754995612698,0.629327439028718,105
29,250,42,dax published,0.0,0,0.116,0.168,0.0,-0.024262335749323308,0.1927815890349094,-0.054794010377273404,0.44606060035231887,105
29,250,42,dax published,0.0,1,0.116,0.168,0.0,0.06734906341619824,0.243002470573261,0.061725182478682486,0.39771141436100155,105
29,250,42,dax published,0.0,2,0.116,0.168,0.0,-0.0011295011777051282,0.23916288543316006,0.04570433970128755,0.4022976459566352,105
29,250,42,dax published,0.0,3,0.116,0.168,0.0,-0.10066770288623977,0.24231416345235604,-0.10910705050520887,0.44649376815520636,105
29,250,42,dax published,0.0,4,0.116,0.168,0.0,-0.046563586743616624,0.23825043553210273,-0.02495620719216821,0.44056212879303486,105
29,250,42,dax published,0.001,0,0.116,0.168,2.4064227395494577,-0.014880147882469847,0.25070386576551035,0.09673715052892184,0.4372800028251004,105
29,250,42,dax published,0.001,1,0.116,0.168,2.4064227395494577,0.050588800374455324,0.22729653274015177,0.04815161637337411,0.4253054460005812,105
29,250,42,dax published,0.005,0,0.116,0.168,12.032113697747288,0.4429019898940312,0.2874880154065338,0.6176425550271065,0.6366035578746957,105
29,250,42,dax published,0.005,1,0.116,0.168,12.032113697747288,0.2953616581287584,0.3292701400019658,0.5389458888382116,0.5850161941411149,105
23,250,42,cac published,0.0,5,0.092,0.168,0.0,-0.020078482808783046,0.20323306594439397,0.0370113041471238,0.4573510842298718,454
23,250,42,cac published,0.0,6,0.092,0.168,0.0,-0.04330341906302532,0.2272754045107874,0.019951505124248876,0.45245773662032923,454
23,250,42,cac published,0.0,7,0.092,0.168,0.0,-0.00416744449441802,0.1734513531156533,0.008726085333214971,0.4131182576339824,454
23,250,42,cac published,0.0,8,0.092,0.168,0.0,-0.03109481543223913,0.18095465777728031,0.009510148417467088,0.44623158863269874,454
23,250,42,cac published,0.0,9,0.092,0.168,0.0,-0.0034785899718767902,0.18476398239006497,0.006010145293277848,0.42318711585721086,454
23,250,42,cac published,0.0,10,0.092,0.168,0.0,0.021499854592662872,0.2262830025525787,0.030799648047146043,0.4468520534387702,454
23,250,42,cac published,0.0,11,0.092,0.168,0.0,-0.019229993071769796,0.1825572272311293,-0.018064497123147113,0.4389065299082181,454
23,250,42,cac published,0.0,12,0.092,0.168,0.0,-0.041661752721253754,0.219899873445326,-0.029668007155477513,0.41534479983368194,454
23,250,42,cac published,0.0,13,0.092,0.168,0.0,-0.012682074633243093,0.19298765802687579,0.027202476899406716,0.4402486473471927,454
23,250,42,cac published,0.0,14,0.092,0.168,0.0,-0.017975931498725697,0.20333765355233815,0.03220230964688105,0.4335444394005692,454
23,250,42,cac published,0.0,15,0.092,0.168,0.0,0.010931149124558127,0.2005335242983055,0.04500691655490233,0.4475588086055324,454
23,250,42,cac published,0.0,16,0.092,0.168,0.0,-0.031204986955712225,0.18738496172327274,0.024828802033993794,0.43231490496975283,454
23,250,42,cac published,0.0,17,0.092,0.168,0.0,-0.025529660351922993,0.18968117900369116,0.01858083709702687,0.42658050328724795,454
23,250,42,cac published,0.0,18,0.092,0.168,0.0,0.022378348245633044,0.2062033102653291,0.06892632567436403,0.45510493725527423,454
23,250,42,cac published,0.0,19,0.092,0.168,0.0,0.0004768224120876089,0.2208500736688585,0.009262457377705063,0.4391042089373537,454
23,250,42,cac published,0.0,20,0.092,0.168,0.0,-0.05565812849827545,0.17672813260651854,-0.028720856230234775,0.42634312178984696,454
23,250,42,cac published,0.0,21,0.092,0.168,0.0,-0.013634885537051632,0.1625384270937257,0.013461751554991783,0.43546920326321936,454
23,250,42,cac published,0.0,22,0.092,0.168,0.0,-0.018331438358445883,0.1967940212058888,0.030199554213781083,0.45619597880869434,454
23,250,42,cac published,0.0,23,0.092,0.168,0.0,-0.02450981115753188,0.1917463373822726,-0.00288530617460056,0.43557772868125705,454
23,250,42,cac published,0.0002,0,0.092,0.168,0.48128454790989156,-0.03464211047661287,0.21131061294718606,0.01702641896954887,0.440748114098063,454
23,250,42,cac published,0.0002,1,0.092,0.168,0.48128454790989156,-0.04884191049514922,0.18736450243808983,0.01145619619005129,0.42563012253461724,454
23,250,42,cac published,0.0002,2,0.092,0.168,0.48128454790989156,-0.006632615959463317,0.19610952428406161,0.007007836621352733,0.4121518781816451,454
23,250,42,cac published,0.0005,0,0.092,0.168,1.2032113697747289,-0.02912396320128731,0.21223537601948894,0.04907997579521618,0.45422395771277896,454
23,250,42,cac published,0.0005,1,0.092,0.168,1.2032113697747289,-0.03205143263808125,0.20776148805161002,0.04404019496629819,0.4581989834800689,454
23,250,42,cac published,0.0005,2,0.092,0.168,1.2032113697747289,0.03319425176792588,0.20719675280751002,0.01794425691488436,0.4360772453053362,454
23,250,42,cac published,0.001,2,0.092,0.168,2.4064227395494577,0.02803919796742852,0.22732206671635938,0.11374645126691739,0.45710879989355907,454
23,250,42,cac published,0.002,0,0.092,0.168,4.8128454790989155,0.12452587343567674,0.23348253225992427,0.2680443585058796,0.5346970377019687,454
23,250,42,cac published,0.002,1,0.092,0.168,4.8128454790989155,0.16718835279413985,0.26603684353808066,0.2551375361479036,0.5010123990591958,454
23,250,42,cac published,0.002,2,0.092,0.168,4.8128454790989155,0.08825582793004219,0.23818470717114382,0.22879488594626343,0.5034874767649544,454
23,250,42,cac published,0.005,2,0.092,0.168,12.032113697747288,0.39130958196646365,0.31207140905697356,0.5819780373718881,0.5776320806790983,454
23,250,42,cac published,0.01,0,0.092,0.168,24.064227395494576,0.44584575523317804,0.42891646606975437,0.6734026652972704,0.5155018131696497,454
23,250,42,cac published,0.01,1,0.092,0.168,24.064227395494576,0.37584868174908587,0.45768399614584415,0.6065871758781114,0.4693260898118293,454
23,250,42,cac published,0.01,2,0.092,0.168,24.064227395494576,0.41776936807719656,0.43409105769404893,0.6335385967762401,0.49292479564563185,454
23,750,42,cac corrected,0.0,0,0.030666666666666665,0.056,0.0,-0.001306232408279991,0.07951100699031333,-0.025069556612952352,0.4640694369562923,418
23,750,42,cac corrected,0.0,1,0.030666666666666665,0.056,0.0,0.01686106811356729,0.0759730803206178,-0.03165975054684991,0.48228993343536425,418
23,750,42,cac corrected,0.0,2,0.030666666666666665,0.056,0.0,-0.005939103635854211,0.061664753238620494,0.0014851459576815604,0.4730623556004986,418
23,750,42,cac corrected,0.0,3,0.030666666666666665,0.056,0.0,0.013189066599980183,0.05775453635937617,-0.0077923719715284594,0.4870269373877814,418
23,750,42,cac corrected,0.0,4,0.030666666666666665,0.056,0.0,-0.007279475377528486,0.061131168887583014,0.011637388420598568,0.5021017267744761,418
23,750,42,cac corrected,0.0,5,0.030666666666666665,0.056,0.0,0.024720837251864625,0.07206026914939524,-0.0009649476119209679,0.48886347484195003,418
23,750,42,cac corrected,0.0,6,0.030666666666666665,0.056,0.0,-0.0016585029660186803,0.044211834406391086,0.01851760296310112,0.48666046166444676,418
23,750,42,cac corrected,0.0,7,0.030666666666666665,0.056,0.0,-0.046782967261864095,0.07946459914609838,0.004147741910394531,0.5151630433025228,418
23,750,42,cac corrected,0.0,8,0.030666666666666665,0.056,0.0,-0.029108186237977247,0.08035843810215383,0.016757911815867218,0.5061798747641555,418
23,750,42,cac corrected,0.0,9,0.030666666666666665,0.056,0.0,-0.01748819485059037,0.04642026258461533,-0.02829848421703927,0.47388493005848864,418
23,750,42,cac corrected,0.0,10,0.030666666666666665,0.056,0.0,0.01741702359078705,0.07163719508847147,0.014596826588115263,0.49251749328715455,418
23,750,42,cac corrected,0.0,11,0.030666666666666665,0.056,0.0,-0.023527179500929498,0.05328970708466994,-0.02979249686247712,0.48737754832337,418
23,750,42,cac corrected,0.0,12,0.030666666666666665,0.056,0.0,-0.011513754455012744,0.07298575282333808,0.0021971392797252793,0.5164787062210927,418
23,750,42,cac corrected,0.0,13,0.030666666666666665,0.056,0.0,0.012346053463790517,0.06478796762543813,0.03894349199326477,0.4650639225544819,418
23,750,42,cac corrected,0.0,14,0.030666666666666665,0.056,0.0,-0.0062024526470988136,0.06541154845106525,-0.0254289116303862,0.48319896747514407,418
23,750,42,cac corrected,0.0,15,0.030666666666666665,0.056,0.0,-0.007830616202120604,0.04988490843409336,-0.0032346856324260674,0.46487052502907505,418
23,750,42,cac corrected,0.0,16,0.030666666666666665,0.056,0.0,0.0037992736253918526,0.0519391759409274,0.031328449497498065,0.46431106099481545,418
23,750,42,cac corrected,0.0,17,0.030666666666666665,0.056,0.0,0.0082523258090287,0.08318769800066678,0.05130963581860682,0.5027228316987236,418
23,750,42,cac corrected,0.0,18,0.030666666666666665,0.056,0.0,0.00013009505068372536,0.07524972578483201,0.014048359999626493,0.5098525418481619,418
23,750,42,cac corrected,0.0,19,0.030666666666666665,0.056,0.0,-0.03710299392349339,0.07645691590695498,-0.02285879741624172,0.5157918475016854,418
23,750,42,cac corrected,0.0,20,0.030666666666666665,0.056,0.0,-0.02312731985439585,0.0635454557624707,-0.036611916543264275,0.4945358661063728,418
23,750,42,cac corrected,0.0,21,0.030666666666666665,0.056,0.0,0.0037733007685887233,0.08041312919051188,0.029607454218896483,0.469213116379831,418
23,750,42,cac corrected,0.0,22,0.030666666666666665,0.056,0.0,0.019913695397638407,0.05601111849339232,0.029933238518186665,0.49853813399811886,418
23,750,42,cac corrected,0.0,23,0.030666666666666665,0.056,0.0,-0.07132083264105986,0.07589299871688072,-0.0463866723437519,0.48361704436305963,418
23,750,42,cac corrected,0.0002,0,0.030666666666666665,0.056,0.48128454790989156,0.0614050881568252,0.06620569582102113,0.07015876192610002,0.5015621034605137,418
23,750,42,cac corrected,0.0002,1,0.030666666666666665,0.056,0.48128454790989156,0.027128936500928263,0.08972546500081557,0.03424590433132645,0.5290664285279911,418
