component,n_triples,mean_cosine,median_cosine,q25_cosine,q75_cosine,mean_residual_cosine,median_residual_cosine,q25_residual_cosine,q75_residual_cosine,mean_erse_outgoing_cosine,median_erse_outgoing_cosine,q25_erse_outgoing_cosine,q75_erse_outgoing_cosine,mean_outgoing_erse_attributed_fraction,median_outgoing_erse_attributed_fraction,q25_outgoing_erse_attributed_fraction,q75_outgoing_erse_attributed_fraction,mean_outgoing_residual_energy_fraction,median_outgoing_residual_energy_fraction,q25_outgoing_residual_energy_fraction,q75_outgoing_residual_energy_fraction,mean_incoming_speed,median_incoming_speed,q25_incoming_speed,q75_incoming_speed,mean_outgoing_speed,median_outgoing_speed,q25_outgoing_speed,q75_outgoing_speed,positive_fraction,all_positive_window_fraction,mean_positive_correlation_fraction,replicate
market_1,464,-0.007863701569953935,-0.01638941727205532,-0.1811433892966123,0.1674293008924933,0.0032514516345358902,-0.002901723047455641,-0.17869731404599803,0.1913098508547988,-0.06774697317088642,-0.06400045020474873,-0.21948370716887755,0.09288259126859619,0.050588679541353695,0.02497602856890463,0.006692189072264293,0.07055362380163777,0.9494113204586464,0.9750239714310953,0.9294463761983622,0.9933078109277357,0.05407254869234915,0.05291173750643327,0.04571896485084267,0.060912649405528804,0.05404451927776309,0.05287452557087396,0.04571896485084264,0.06091264940552879,0.47198275862068967,0.6099137931034483,0.9973337195038844,0
block_2_3,464,0.03575470823301164,0.030232712670648212,-0.2035874538623683,0.27837766115923485,0.03204725191610105,0.032050188563425834,-0.20393962479321606,0.26769472071115175,-0.00626052000637432,-0.008156300061137205,-0.03473006602382817,0.03624897004843538,0.008447851406967665,0.0012539392918897163,0.0003272974298263731,0.004767466001649734,0.9915521485930323,0.9987460607081102,0.9952325339983503,0.9996727025701736,0.4899781445782847,0.39354532286865723,0.3172136237830575,0.5655806860634172,0.489955790288988,0.39354532286865734,0.3166986124381943,0.5655806860634178,0.5323275862068966,0.6099137931034483,0.9973337195038844,0
block_4_6,464,0.039598377578800546,0.05580023870557747,-0.15534888666803126,0.22509000805955542,0.036966366276465046,0.05315402495496632,-0.15837427733002882,0.22145794530223759,-0.00037760020233394936,-0.0016724525052755432,-0.027644634412077672,0.02707617056664573,0.022837699214898467,0.0007554281584568612,0.00017930678737018702,0.0025262959418216324,0.9771623007851017,0.9992445718415431,0.9974737040581784,0.9998206932126298,1.030506283662449,0.9482294319938211,0.7883272199422946,1.2387427648926868,1.0294399565693697,0.9456175158793687,0.788834755081989,1.2333575374799892,0.5711206896551724,0.6099137931034483,0.9973337195038844,0
top_3,464,0.03542911367259527,0.030080825522325928,-0.19451941819243385,0.2757800533562539,0.03249968983977761,0.029538107641424394,-0.19843507587354847,0.26965095068904166,-0.00716596338707351,-0.007381340969909882,-0.024374739486081418,0.010452972895335571,0.005607035785434533,0.0003474391415071998,8.561257402953104e-05,0.001220970433319729,0.9943929642145655,0.9996525608584927,0.9987790295666803,0.9999143874259705,0.492275641179214,0.39572119462922895,0.3188952847342169,0.5671666785206633,0.49225336424427796,0.39572119462922917,0.3186787214181905,0.5671666785206639,0.5344827586206896,0.6099137931034483,0.9973337195038844,0
top_6,464,0.030528180221166056,0.03984276003896027,-0.1536655609038749,0.22294028191368914,0.02935708125973198,0.03727214016759292,-0.16380947803372337,0.21973870807371462,0.007024559762593309,-0.0030993350825890497,-0.014217739007802708,0.007501315211607888,0.020200772146914365,0.00014377572961016272,2.4274002707047604e-05,0.0005020987919625575,0.9797992278530857,0.9998562242703899,0.9994979012080374,0.999975725997293,0.960032894109215,0.90505287446715,0.7351990617532924,1.156510996123019,0.9588555244183198,0.9033007659221994,0.7354516217993325,1.1453374033245654,0.5603448275862069,0.6099137931034483,0.9973337195038844,0
flag_nested,464,0.035867968376694745,0.037089421133306384,-0.13068858156870938,0.1920638139720811,0.03466427475715905,0.03730954783040762,-0.13080645452505807,0.1903551776280256,8.170820303722905e-05,-0.007652042921798705,-0.031117666986389396,0.012687954750222547,0.014141307561125692,0.0004992917452394385,0.00010607131399054115,0.0016904007654259534,0.9858586924388744,0.9995007082547606,0.9983095992345741,0.9998939286860095,0.5026689656902374,0.471265732668081,0.387536403932766,0.5849451305342795,0.5021945618071695,0.4704869030930696,0.3885674554402624,0.584945130534279,0.5711206896551724,0.6099137931034483,0.9973337195038844,0
market_1,464,0.062227732850506534,0.07567411710849639,-0.1017292176177606,0.2374405732609975,0.06811786969466443,0.07481424056570987,-0.09878193760505255,0.2432044051893586,-0.06788867393444503,-0.0687630831822501,-0.2171663336815809,0.08142794473792656,0.04832749764668722,0.025405957701548687,0.005938856291504063,0.06827731389703523,0.9516725023533127,0.9745940422984514,0.9317226861029648,0.994061143708496,0.05505976633912953,0.05372081170078792,0.04673135832935545,0.06137796629208455,0.054895703362802334,0.05355200497227123,0.04659833829393742,0.06118155845136175,0.6228448275862069,0.6443965517241379,0.997257053291536,1
block_2_3,464,0.06373584248890161,0.06485161665760426,-0.18806548471124715,0.33928845625253334,0.06294671034226298,0.06661520464700257,-0.19153576881271903,0.3403518476760659,-0.006785241391995761,-0.004826208813997997,-0.04807538477802982,0.029902958567089147,0.005621327347911625,0.0013982065394667065,0.0003019508441935992,0.005524018820494275,0.9943786726520883,0.9986017934605333,0.9944759811795058,0.9996980491558064,0.5293409444404006,0.4181330433096663,0.32479741376993737,0.6215120954468351,0.5298371548595086,0.41813304330966694,0.3265820087459016,0.6215120954468352,0.5625,0.6443965517241379,0.997257053291536,1
block_4_6,464,0.037255228581757484,0.041959091054069,-0.16437785602684862,0.2465315844526128,0.03698083435399632,0.04809808481836228,-0.15911165063297114,0.2444721562854597,-0.008882342178809965,-0.003852567647300774,-0.030485093763184454,0.01955686371837148,0.016761801594059426,0.0006741734524757237,0.0001538052107336596,0.00229400218247941,0.9832381984059405,0.9993258265475242,0.9977059978175206,0.9998461947892663,1.0698850501573016,1.0157525209540315,0.7847733891143575,1.321585804667716,1.0699834625219105,1.0187213587576522,0.7847733891143571,1.3215858046677167,0.5517241379310345,0.6443965517241379,0.997257053291536,1
top_3,464,0.06272555072955152,0.0611660879927144,-0.18123951041005254,0.336478408940902,0.06231883316470693,0.061882033046643845,-0.18079133709277456,0.33677970765037596,-0.0061428122621178345,-0.005732679248661966,-0.025242250763204035,0.010570833621408586,0.002156093787832547,0.00038550962186600923,6.764056007665942e-05,0.001053221349942901,0.9978439062121676,0.999614490378134,0.9989467786500571,0.9999323594399233,0.5312988399867445,0.4212655141643886,0.32738814620088996,0.6228778035566369,0.5317763606518058,0.4212655141643885,0.3278528246237295,0.6228778035566371,0.5625,0.6443965517241379,0.997257053291536,1
