,raw,raw,raw,raw,raw,raw,standardised,standardised,standardised,standardised,standardised,standardised,T,N,P,Q
,n_pairs,d_emp,d_th,excess,ratio,angle_deg,n_pairs,d_emp,d_th,excess,ratio,angle_deg,,,,
lag,,,,,,,,,,,,,,,,
5,563,0.059557181953281614,0.17670994853839034,-0.11715276658510873,0.33703355383153644,,563,0.05355140468768995,0.21558408287718378,-0.16203267818949382,0.24840147738642504,,26,26,3,6
10,562,0.14272835475975135,0.17673444147415943,-0.03400608671440808,0.8075865324791255,,562,0.13190737300185826,0.2155788118373033,-0.08367143883544503,0.6118754059253669,,26,26,3,6
15,561,0.24401082789963943,0.17675245354365832,0.06725837435598112,1.3805230026940933,35.18669885162286,561,0.23001884716683674,0.21561710678698517,0.014401740379851563,1.066793125065348,16.721454201823402,26,26,3,6
20,560,0.3549219396896713,0.17674900878798372,0.17817293090168757,2.0080561816072864,54.12978458005701,560,0.3469925960170868,0.21560793220861582,0.131384663808471,1.609368414522649,47.60404752304558,26,26,3,6
25,559,0.4869234350426623,0.1766827214747241,0.31024071356793814,2.755919939303859,66.77961560012342,559,0.4929715875100118,0.21557744734533044,0.27739414016468134,2.2867493496215663,64.20842672409091,26,26,3,6
30,558,0.5146284673230703,0.1766678827844099,0.3379605845386604,2.912971272492568,68.72726003916186,558,0.5323245783079781,0.21550863799676045,0.3168159403112176,2.4700846483748835,67.258889812978,26,26,3,6
35,557,0.5097992883307823,0.17673271726944828,0.33306657106133397,2.88457788805192,68.39695483466897,557,0.533323467176122,0.21558014832024347,0.31774331885587853,2.4738987858189616,67.32559552336791,26,26,3,6
40,556,0.5009270725703829,0.176780494555761,0.32414657801462193,2.8336105396083613,67.78028779696605,556,0.5306758833271533,0.21564727274052914,0.3150286105866242,2.4608513550072693,67.12971109156013,26,26,3,6
45,555,0.4976164386823869,0.1768393911634301,0.32077704751895686,2.813945667922502,67.54229404926258,555,0.5253531931660304,0.21568642593126788,0.3096667672347625,2.435726731052806,66.73724765951624,26,26,3,6
50,554,0.4982630085943049,0.17689983800207848,0.3213631705922264,2.8166391457546194,67.58389494735566,554,0.5236489418516825,0.21565719960417298,0.3079917422475096,2.428154231868037,66.6131040202383,26,26,3,6
55,553,0.4993816185080725,0.17689940597771767,0.3224822125303548,2.822969448359679,67.66308321845679,553,0.5203858897492422,0.21566682477014698,0.3047190649790952,2.4129158033640925,66.36840262056079,26,26,3,6
60,552,0.4958402261521837,0.17695176292252537,0.31888846322965836,2.8021208603006516,67.40766480825081,552,0.5204565937901001,0.2157111675007798,0.30474542628932033,2.4127475634205107,66.37038512556305,26,26,3,6
65,551,0.4902717968549844,0.1769920521462756,0.3132797447087088,2.770021540005637,67.00252013452204,551,0.5173560726477859,0.21574800835004873,0.30160806429773723,2.3979645355908987,66.13312119930549,26,26,3,6
70,550,0.4909867512939536,0.17707094503135284,0.31391580626260074,2.7728250459555497,67.04887048853668,550,0.5234670613447393,0.21583299316478924,0.3076340681799501,2.4253338364495107,66.58649915302789,26,26,3,6
75,549,0.4952632806233743,0.17709867938392138,0.31816460123945295,2.796538530644395,67.35582614019275,549,0.5265478911125089,0.21586572001990578,0.3106821710926031,2.439238110914294,66.81214467379512,26,26,3,6
80,548,0.5030522260395075,0.17719553211467484,0.32585669392483263,2.838966761949446,67.90000495319235,548,0.5295191091053252,0.21596890532351481,0.31355020378181037,2.4518303147025806,67.02224147220221,26,26,3,6
85,547,0.5121207491836433,0.17727679923459252,0.33484394994905076,2.8888199211333214,68.5175610182002,547,0.5385734285881552,0.21603186199598978,0.3225415665921654,2.493027758091317,67.66727469545776,26,26,3,6
90,546,0.5188267914746236,0.1773306567628713,0.34149613471175233,2.925759149295912,68.96242808752812,546,0.5448312496942492,0.21602335294884858,0.3288078967454007,2.522094219245166,68.10493014427756,26,26,3,6
95,545,0.522187347436854,0.17737669023402267,0.3448106572028313,2.9439457165871343,69.18030891780171,545,0.5481302714164379,0.2159586229535077,0.3321716484629302,2.5381263499464026,68.33594669352483,26,26,3,6
100,544,0.5235690480484965,0.17747888921035812,0.3460901588381383,2.950035637353649,69.2637556598983,544,0.5517625308006863,0.21595604139607566,0.3358064894046106,2.554976129557415,68.58256586437273,26,26,3,6
105,543,0.5193470033609905,0.17754249300731087,0.34180451035367965,2.925198326124691,68.98280420418413,543,0.5386238624989993,0.21601298010348208,0.3226108823955172,2.4934791522295043,67.67216854866456,26,26,3,6
110,542,0.5108096264426206,0.17751897372178788,0.33329065272083275,2.877493125006311,68.41220115410832,542,0.5346889771670509,0.21602170151987285,0.318667275647178,2.4751632516785,67.3918386898472,26,26,3,6
115,541,0.5086971256815879,0.17748441062837045,0.3312127150532174,2.8661510263385006,68.27036402923376,541,0.5386903457578424,0.21600365409282826,0.32268669166501407,2.4938945964605694,67.67751949385729,26,26,3,6
120,540,0.5110645767228231,0.17736772643154977,0.3336968502912734,2.8813842687443736,68.43980828042487,540,0.5367060305251993,0.21594534952507569,0.32076068100012356,2.4853789706773783,67.54113118350274,26,26,3,6
125,539,0.5112584270005112,0.1773249308702632,0.333933496130248,2.8831728538756054,68.45587393956434,539,0.5366474429344248,0.21598655280848772,0.32066089012593707,2.4846335846207177,67.53403944521155,26,26,3,6
130,538,0.5160905690839557,0.1773109325226051,0.33877963656135057,2.910652838725328,68.7819950825186,538,0.5404494910965205,0.21600857990915512,0.3244409111873654,2.501981594082109,67.80094373453893,26,26,3,6
135,537,0.5176839449834979,0.17732788639959268,0.3403560585839052,2.9193600369032935,68.886908624069,537,0.53790791889238,0.21607274283532313,0.32183517605705686,2.489476052527084,67.61733402254733,26,26,3,6
140,536,0.5135053430316145,0.17736890305795583,0.3361364399736587,2.8951261138702824,68.6047991773547,536,0.5384764245839598,0.2160489213098448,0.32242750327411507,2.492381916647981,67.65921897657236,26,26,3,6
145,535,0.508785535440604,0.177363445980612,0.331422089459992,2.868604252852758,68.28470206480901,535,0.5429499087646136,0.21605471803376644,0.32689519073084716,2.5130203760686114,67.97235675340028,26,26,3,6
150,534,0.5132261756677536,0.17741894365730712,0.3358072320104465,2.8927360578759487,68.58261593246746,534,0.551271845923808,0.21598426059840029,0.3352875853254077,2.5523704569789887,68.5475487369834,26,26,3,6
155,533,0.5111794980597234,0.17748414146711855,0.33369535659260485,2.8801418190617705,68.43970683277315,533,0.5510858478548768,0.21600919518726636,0.33507665266761044,2.5512147636915183,68.53329640218477,26,26,3,6
160,532,0.5133340573709632,0.17750212267636115,0.33583193469460204,2.891988273891929,68.58428136761817,532,0.5524370747519751,0.21604439063253397,0.3363926841194411,2.5570535441098556,68.622048368757,26,26,3,6
165,531,0.5155692711104751,0.17753737046259707,0.338031900647878,2.904004209181939,68.73203205931267,531,0.5462473581496494,0.21607840025727626,0.33016895789237316,2.528005379062663,68.19873121425148,26,26,3,6
170,530,0.5158206780447495,0.17754144953355133,0.3382792285111982,2.905353535188249,68.74857256071034,530,0.5413479087587619,0.21608797392381726,0.32525993483494464,2.505219975590203,67.85830997038032,26,26,3,6
175,529,0.5190744663355926,0.1775558037971496,0.341518662538443,2.9234440960804324,68.96391736070207,529,0.5386545377155968,0.21609907169111717,0.3225554660244796,2.492627726256625,67.66825612229773,26,26,3,6
180,528,0.5135729295645134,0.17751567886808695,0.33605725069642645,2.893113063810847,68.59946542066538,528,0.5301832561276042,0.2160771488150829,0.3141061073125213,2.4536757312608324,67.06271762735281,26,26,3,6
185,527,0.5127544794798768,0.17745377353089117,0.33530070594898564,2.889510148346417,68.54843492964986,527,0.5310796405111435,0.2160240948326212,0.31505554567852234,2.458427801410913,67.13166387466116,26,26,3,6
190,526,0.5140001113383899,0.17745433320444143,0.3365457781339484,2.8965204853364783,68.63234666688639,526,0.5320810819668894,0.2160562078810743,0.31602487408581514,2.462697495180363,67.20181626888723,26,26,3,6
195,525,0.5106338028817466,0.17742852853466978,0.33320527434707686,2.8779689889721882,68.40639348241531,525,0.5303260015559195,0.21611343387419865,0.3142125676817208,2.453924275085215,67.07046008562186,26,26,3,6
200,524,0.5162086764994296,0.17744345192176564,0.33876522457766395,2.9091446931894938,68.78103330579809,524,0.5357006277412912,0.21608713860203058,0.3196134891392607,2.4790953834966336,67.45945461616942,26,26,3,6
205,523,0.5172653436488736,0.17738084660018347,0.33988449704869006,2.9161285085914037,68.85558519003611,523,0.537907897713907,0.21598212467522443,0.3219257730386826,2.4905204471099966,67.62374600311483,26,26,3,6
210,522,0.5201610898025345,0.17736153957963513,0.3427995502228994,2.9327727478875585,69.04840479988715,522,0.5413342943621406,0.21593265335778236,0.3254016410043583,2.5069589334652176,67.86821872055098,26,26,3,6
215,521,0.5104171129693245,0.17739816965338434,0.3330189433159401,2.8772400186914044,68.39371275664406,521,0.5436038458906014,0.21601552638952645,0.3275883195010749,2.5165035818321537,68.02050107986138,26,26,3,6
220,520,0.503548800274409,0.1774305976591774,0.32611820261523156,2.838004306572111,67.91824892728675,520,0.536476525916378,0.2160920757922061,0.3203844501241718,2.482629332656572,67.51438097154994,26,26,3,6
225,519,0.510924202884886,0.17739159125237497,0.3335326116325111,2.8802053089314383,68.42865052140488,519,0.528919632698272,0.21618610043393316,0.31273353226433886,2.44659407629174,66.96263377805435,26,26,3,6
230,518,0.5193413902565284,0.17730945980436302,0.34203193045216534,2.9290111809575827,68.99781727774646,518,0.5324697464509627,0.21625371133430113,0.3162160351166615,2.462245587211362,67.21562268371734,26,26,3,6
235,517,0.5261066783348797,0.17724547525503861,0.34886120307984103,2.9682375675760664,69.4432280553812,517,0.5430209161932706,0.21634242618586288,0.3266784900074078,2.510006593559941,67.95728092906094,26,26,3,6
240,516,0.5323238318447007,0.1772935898705235,0.3550302419741772,3.0024990313155357,69.83672498578477,516,0.5618651191007097,0.21638608787055202,0.34547903123015766,2.596586151309471,69.2239447512684,26,26,3,6
245,515,0.5402049152302986,0.17728522794095058,0.362919687289348,3.047094907479983,70.32807011593388,515,0.5670074504601237,0.21639541879593233,0.35061203166419136,2.6202377740483938,69.5557496448226,26,26,3,6
250,514,0.5347307531278988,0.17730197951667778,0.35742877361122094,3.015932222446505,69.98749747538163,514,0.5705686752520671,0.21630452070929015,0.35426415454277693,2.6378028225258516,69.78830859347704,26,26,3,6
