mode,date,start,past_start,future_start,cosine,incoming_speed,outgoing_speed,static_loss,constant_velocity_loss,constant_velocity_skill
raw,2001-02-14,42,0,84,0.11258218869985838,0.5684460424361477,0.4776693253233932,0.07249023450377538,0.1451541911104699,-1.0023964897355944
raw,2001-03-06,56,14,98,0.2952687248097125,0.5971380358223024,0.5408344265332555,0.09091487712295325,0.13855504018136525,-0.5240084413685502
raw,2001-03-26,70,28,112,0.29377114524583525,0.5447141110943272,0.4997563959644798,0.07949257819945776,0.1165751507195812,-0.46649100280881806
raw,2001-04-13,84,42,126,0.42928709760572176,0.4776693253233937,0.464124149816,0.06908374379054338,0.07925320470812099,-0.14720483227444392
raw,2001-05-03,98,56,140,0.20847360477805996,0.5408344265332554,0.463640693235191,0.06905979754205793,0.12170312030332713,-0.7622860858983698
raw,2001-05-23,112,70,154,0.05125981356694542,0.49975639596447974,0.33330416522637396,0.036337962739688034,0.10671927566901622,-1.9368535719383706
raw,2001-06-12,126,84,168,0.08998452100545823,0.4641241498160002,0.4198789054663608,0.05656411021876314,0.10853279939264704,-0.9187572998654743
raw,2001-07-02,140,98,182,0.2551859252421137,0.46364069323519136,0.5510129822025492,0.09262558590630061,0.11335392825567725,-0.22378635607601205
raw,2001-07-20,154,112,196,0.363850342683668,0.3333041652263738,1.459804698150835,0.33778811801944614,0.3350816109663502,0.008012440073277283
raw,2001-08-09,168,126,210,0.14811562707455128,0.4198789054663604,1.54069351083377,0.34777576813446104,0.355603647485419,-0.022508409349358383
raw,2001-08-29,182,140,224,0.005886504752409024,0.551012982202549,1.5928866201145935,0.3584522600760304,0.3752242246960482,-0.04678995360905325
raw,2001-09-18,196,154,238,0.09949546439669764,1.459804698150836,1.2955121227676405,0.32081766618329777,0.3534422310492398,-0.10169192131490079
raw,2001-10-08,210,168,252,0.22686211535140235,1.540693510833771,0.3153931962572225,0.03256377920952502,0.3489693553157878,-9.716488189850919
raw,2001-10-26,224,182,266,0.10618950377849255,1.592886620114593,0.24506397371797498,0.019825362991886013,0.36171788944320116,-17.245208906956332
raw,2001-11-15,238,196,280,-0.15588293055162916,1.29551212276764,0.26663346305581836,0.023349568641276058,0.3464635206970063,-13.838112258936876
raw,2001-12-05,252,210,294,0.1470763793157109,0.3153931962572225,0.28574026014309695,0.026826760522001763,0.04984666770398194,-0.8580949296170357
raw,2001-12-25,266,224,308,0.26673832249152507,0.24506397371797511,0.296380122431076,0.028834317622352224,0.035394092225306796,-0.22749886745609915
raw,2002-01-14,280,238,322,0.07154569563302919,0.2666334630558184,0.27719148166259766,0.025137881268859925,0.04442697101433524,-0.7673315638327116
raw,2002-02-01,294,252,336,0.3401309000738541,0.2857402601430966,0.20574384164780382,0.013973800745397705,0.027412820242339226,-0.9617297213406799
raw,2002-02-21,308,266,350,0.2922535218691791,0.29638012243107603,0.1991971788058709,0.01313519919055913,0.03033425271056552,-1.3093865780404865
raw,2002-03-13,322,280,364,0.3372285682409595,0.2771914816625981,0.19283947261136758,0.012305295323651618,0.025446985596622618,-1.067970327190098
raw,2002-04-02,336,294,378,0.06703476488005188,0.2057438416478038,0.18501360305004927,0.011329514482825894,0.023375992497488784,-1.0632828117148199
raw,2002-04-22,350,308,392,0.3684971783003407,0.19919717880587098,0.19603839085441935,0.0127025400883789,0.016227750387799816,-0.2775201081747425
raw,2002-05-10,364,322,406,-0.027572058132025592,0.19283947261136755,0.21716879908662245,0.015595075167504765,0.028390993897033923,-0.8205102310883265
raw,2002-05-30,378,336,420,-0.00046938095858128226,0.18501360305004932,0.5899705401924912,0.1057080573130591,0.1147774065908771,-0.08579619669822058
raw,2002-06-19,392,350,434,0.2859129773852317,0.19603839085441904,0.5754623212410315,0.10074118449898266,0.0929664596313337,0.07717523777703328
raw,2002-07-09,406,364,448,0.2530611128379892,0.21716879908662234,0.7582228318979705,0.16110941993223124,0.1517604276013591,0.058028837387687715
raw,2002-07-29,420,378,462,0.6918175775329869,0.5899705401924911,1.0990536662018517,0.2902677406280527,0.18105375558909076,0.37625257564845305
raw,2002-08-16,434,392,476,0.6998770172721009,0.5754623212410316,0.7378224561311328,0.15628137284695334,0.08220395277060637,0.4740003157567034
raw,2002-09-05,448,406,490,0.5575652199321716,0.7582228318979707,0.6665112510781881,0.13401156862154817,0.1279098254789425,0.04553146571873312
raw,2002-09-25,462,420,504,-0.39625439648938143,1.0990536662018522,1.3190290352135692,0.333801106165793,0.34967445853903606,-0.047553324659622476
raw,2002-10-15,476,434,518,-0.09120995957888284,0.7378224561311321,0.7858005825437433,0.17452365976671333,0.2762127543190916,-0.5826665260647559
raw,2002-11-04,490,448,532,-0.19837383102706943,0.6665112510781885,0.3771177723677887,0.045894761282902895,0.19167930908732714,-3.176496483025246
raw,2002-11-22,504,462,546,-0.18433816215402204,1.3190290352135687,0.2491564813772117,0.020462724522605374,0.35044249653044074,-16.125896218917646
raw,2002-12-12,518,476,560,-0.5148696625681197,0.7858005825437427,0.4618201918750556,0.06700398774895093,0.27005421388951073,-3.030420023675963
raw,2003-01-01,532,490,574,-0.23459940001585197,0.3771177723677884,0.5223466593051252,0.08468137305470187,0.14405227092495446,-0.7011092962781862
