,raw,raw,raw,raw,raw,raw,raw,raw,raw,standardised,standardised,standardised,standardised,standardised,standardised,standardised,standardised,standardised,N
,q,d_emp,d_th,ratio,excess,n_pairs,n_indep,gap,angle_deg,q,d_emp,d_th,ratio,excess,n_pairs,n_indep,gap,angle_deg,
T,,,,,,,,,,,,,,,,,,,
26,1.0,0.5125982494457911,0.17663158657722322,2.902075780323037,0.3359666628685679,559,54.65384615384615,1.9478386593934711,68.59336212716178,1.0,0.5266493095098864,0.21599515924906942,2.4382458909766305,0.310654150260817,559,54.65384615384615,1.8384111678792183,66.81008145660041,26
133,0.19548872180451127,0.2897838130037293,0.11345834305021446,2.5540987574221545,0.17632546995351484,199,10.68421052631579,1.5159607639537107,53.89919082288085,0.19548872180451127,0.3222385236090703,0.1625588867428942,1.982287957709307,0.1596796368661761,199,10.68421052631579,1.4106792978419993,51.72924503454038,26
240,0.10833333333333334,0.2564806363486964,0.08203733122211522,3.126389322127968,0.17444330512658118,99,5.920833333333333,1.4553592665707642,53.66224347742,0.10833333333333334,0.2547867682337885,0.1203989702248877,2.1161872710197107,0.13438779800890077,99,5.920833333333333,1.3537624195723983,48.07148439575812,26
347,0.07492795389048991,0.25055450655584705,0.07012309705674621,3.57306675078953,0.18043140949910083,64,4.095100864553314,1.385852499899236,54.40905006586598,0.07492795389048991,0.23001647637824119,0.0983507175617455,2.3387371447883405,0.13166575881649567,64,4.095100864553314,1.3288549214618426,47.64812637884414,26
455,0.05714285714285714,0.24381012007220856,0.06201864194925264,3.931239259829465,0.18179147812295593,43,3.123076923076923,1.3469863069045076,54.5758488410848,0.05714285714285714,0.20736343425823228,0.08450125162269896,2.453968790712323,0.12286218263553332,43,3.123076923076923,1.30765254676646,46.234270546877,26
562,0.046263345195729534,0.21182033715158805,0.05515339325591079,3.8405676359520684,0.15666694389567726,31,2.5284697508896796,1.3381674313009315,51.31768421286287,0.046263345195729534,0.18488648916769876,0.07375070412900217,2.5069115115742044,0.11113578503869659,31,2.5284697508896796,1.2918282623929207,44.23551959805315,26
669,0.03886397608370702,0.19837470243372657,0.049773520848718514,3.985546914325511,0.14860118158500807,23,2.12406576980568,1.3115581435607002,50.18509412288245,0.03886397608370702,0.16488065755687992,0.06687543557412816,2.465489101362454,0.09800522198275176,23,2.12406576980568,1.2756059929796368,41.818150333585294,26
777,0.03346203346203346,0.19374861360485238,0.043296769586483284,4.474897676092175,0.15045184401836909,17,1.8288288288288288,1.3010078849580862,50.44902922538611,0.03346203346203346,0.14109010979735306,0.060713410238756226,2.32387061182224,0.08037669955859683,17,1.8288288288288288,1.2657772036094836,38.21088483765599,26
884,0.029411764705882353,0.2083952649635695,0.03545986977199405,5.876932608707959,0.17293539519157544,13,1.6074660633484164,1.3085269414372918,53.470918719234106,0.029411764705882353,0.15472840369252033,0.05379196958779031,2.8764219804221587,0.10093643410473002,13,1.6074660633484164,1.2593048436341348,42.375810260003625,26
991,0.026236125126135216,0.21526756688469123,0.028981492486295952,7.427759870768615,0.18628607439839528,9,1.4339051463168517,1.3043284884444153,55.11985486636075,0.026236125126135216,0.1783890717206321,0.0481830017115068,3.7023237528605484,0.1302060700091253,9,1.4339051463168517,1.2523477270285375,47.418485878378156,26
1099,0.023657870791628753,0.2244878841827974,0.024388995495514303,9.204474379606404,0.2000988886872831,6,1.2929936305732483,1.29923120719707,56.7256325139737,0.023657870791628753,0.20444069590947686,0.043139437702642065,4.739067238629212,0.1613012582068348,6,1.2929936305732483,1.2505967964032474,51.94828288031412,26
1206,0.02155887230514096,0.22405972598125756,0.02235196857904246,10.024160744004416,0.2017077574022151,4,1.1782752902155886,1.2776389397886065,56.906486755437854,0.02155887230514096,0.24961686970029834,0.03897243605859427,6.404959375005566,0.21064443364170407,4,1.1782752902155886,1.2494288111999485,57.88886944649901,26
1313,0.019801980198019802,0.24571489621461723,0.02109295728450239,11.649143972578521,0.22462193893011484,2,1.0822543792840822,1.2728597335274479,59.353871782460125,0.019801980198019802,0.2529002470578189,0.03674732425976181,6.882140459264507,0.2161529227980571,2,1.0822543792840822,1.2344919786230997,58.476314660050875,26
1421,0.018296973961998593,0.2667442927222034,0.018473847288708434,14.439022286670227,0.24827044543349497,1,1.0,1.2884031054574216,61.65211692859818,0.018296973961998593,0.26006269928510634,0.036456816975319196,7.133445014170203,0.22360588230978715,1,1.0,1.2092006429050208,59.25018228851587,26
