T,q,d_emp,d_th,ratio,excess,n_pairs,n_indep,gap,angle_deg
26,1.0,0.41205642934711084,0.08013616662503963,5.141953336439707,0.3319202627220712,559,54.65384615384615,2.640873898562096,79.03467999643027
81,0.32098765432098764,0.3062790985174524,0.09352253180807842,3.2749230864063947,0.21275656670937398,336,17.54320987654321,1.784400225021633,69.80918773210601
137,0.1897810218978102,0.2636144258091846,0.08070216565836683,3.266509933886195,0.18291226015081777,198,10.372262773722628,1.6272337017342848,66.37853093245495
193,0.13471502590673576,0.22871911412871346,0.07104710255016938,3.2192602642339305,0.15767201157854407,130,7.362694300518135,1.551594062659227,62.96146304515219
249,0.10441767068273092,0.20004696041878314,0.06321305886449705,3.164646103388258,0.1368339015542861,98,5.706827309236948,1.5139398406110305,59.701232802440856
305,0.08524590163934426,0.1850177261904379,0.057285387772852435,3.2297542773746897,0.12773233841758547,75,4.659016393442623,1.485857222155512,58.1296738452141
361,0.07202216066481995,0.18396271322234622,0.052356110292390526,3.5136818261513114,0.13160660292995568,59,3.936288088642659,1.4711468270141004,58.81058525986383
417,0.06235011990407674,0.17598301452897766,0.04842616701384856,3.6340479823367255,0.1275568475151291,49,3.407673860911271,1.4628252995172832,58.09839784981566
473,0.05496828752642706,0.16774533812834275,0.04498833513734632,3.728640715781717,0.12275700299099643,41,3.004228329809725,1.4471802928200783,57.22794563380354
529,0.04914933837429111,0.16429445871038498,0.042803315161893334,3.8383582694232996,0.12149114354849164,35,2.6862003780718338,1.4196847991979173,56.99343908842206
585,0.044444444444444446,0.17644862287710647,0.040963540090268764,4.30745542226765,0.1354850827868377,29,2.429059829059829,1.4086785865672107,59.47441928791767
640,0.040625,0.17052717203108525,0.03840144553546615,4.440644607338874,0.1321257264956191,25,2.2203125,1.4037293974839455,58.9004551312542
696,0.03735632183908046,0.16498631466350966,0.03599066871945446,4.584141404806065,0.12899564594405522,22,2.0416666666666665,1.4045263669484043,58.35370271718681
752,0.034574468085106384,0.17750783026049186,0.0339345495550987,5.230888065046414,0.14357328070539316,18,1.889627659574468,1.3970447157944348,60.80444755487464
808,0.03217821782178218,0.19245239382852775,0.031285062538896,6.151574528235515,0.16116733128963173,16,1.7586633663366336,1.4071856195930375,63.466946222692485
864,0.03009259259259259,0.22030032534655908,0.029251359673492287,7.531284966086422,0.19104896567306678,13,1.6446759259259258,1.4017733275443496,67.37376905205383
920,0.02826086956521739,0.22977602246314338,0.02623005311647261,8.760028866233704,0.20354596934667077,11,1.5445652173913043,1.408273074637152,68.8129107371613
976,0.02663934426229508,0.23158325751054956,0.02428790956031262,9.534919295358607,0.20729534795023694,10,1.4559426229508197,1.4157621118213937,69.2248065272419
1032,0.025193798449612403,0.24529619353225487,0.022062798066835945,11.118090859970108,0.22323339546541893,8,1.376937984496124,1.4136903825731215,70.8809033088083
1088,0.02389705882352941,0.2635336508676853,0.020310242833102326,12.97540620431033,0.243223408034583,7,1.3060661764705883,1.4202486916319086,72.7597675765189
1144,0.022727272727272728,0.29310403998522405,0.019272739424145657,15.20821890104588,0.2738313005610784,5,1.242132867132867,1.4164478636720879,75.26662203802972
1200,0.021666666666666667,0.24888724169001517,0.018986042240098016,13.108958599300486,0.22990119944991716,4,1.1841666666666666,1.4041642708086575,71.53089670730199
