,raw,raw,raw,standardised,standardised,standardised,T,N,null_mode1,null_mode2,null_mode3
,mode1,mode2,mode3,mode1,mode2,mode3,,,,,
5,1.2754749003876862,0.09393153686974619,0.04689686931155815,0.6299889213822025,0.06630262622154186,0.03360013209840614,26,26,18.741635257465234,0.3451713693283746,0.2449756413868992
10,2.826754077084472,0.18236370731979046,0.08313246265821589,1.3528130734498816,0.12149383379946148,0.053334599614092856,26,26,18.741635257465234,0.3451713693283746,0.2449756413868992
15,4.706130496831484,0.2563929735549544,0.11765983359641657,2.243262322260076,0.16608556121721343,0.06939006677395401,26,26,18.741635257465234,0.3451713693283746,0.2449756413868992
20,6.638337689902558,0.3255621690496191,0.14756880270487954,3.1265010203254677,0.20141401496930542,0.08017092529034099,26,26,18.741635257465234,0.3451713693283746,0.2449756413868992
25,8.472556944995988,0.38818826115618266,0.17290024339761545,4.004263591073155,0.24412450345944955,0.09028031848920846,26,26,18.741635257465234,0.3451713693283746,0.2449756413868992
30,9.598261854869106,0.4185687403757707,0.18828105589618144,4.488006048090094,0.27155582931638383,0.09815375281008604,26,26,18.741635257465234,0.3451713693283746,0.2449756413868992
35,10.435425204796788,0.4308931750648389,0.1977690458620787,4.907706503120345,0.28863238190064544,0.09989889625959165,26,26,18.741635257465234,0.3451713693283746,0.2449756413868992
40,11.072568370461413,0.4421194335544892,0.21365506683857186,5.285148008879017,0.30211362437596584,0.10140815083201779,26,26,18.741635257465234,0.3451713693283746,0.2449756413868992
45,11.667117865472326,0.4465856444617827,0.21942938940106368,5.633197296728227,0.3079798637134795,0.1019625278242649,26,26,18.741635257465234,0.3451713693283746,0.2449756413868992
50,12.307043019582656,0.4555102549963634,0.22868723864165855,5.920650847068956,0.3038043645151576,0.10384713241921677,26,26,18.741635257465234,0.3451713693283746,0.2449756413868992
55,12.887538777405542,0.4517997657212898,0.23442688054392025,6.198525667289507,0.29419786219561483,0.10577895330345544,26,26,18.741635257465234,0.3451713693283746,0.2449756413868992
60,13.397005799098398,0.44620766065651896,0.24119580634468168,6.376672834510622,0.2829650387476456,0.11129844739908258,26,26,18.741635257465234,0.3451713693283746,0.2449756413868992
65,13.837374642575595,0.44342364871220086,0.24166302786796404,6.550002091591312,0.2762403541026088,0.10893158091836166,26,26,18.741635257465234,0.3451713693283746,0.2449756413868992
