component,n_triples,mean_cosine,median_cosine,q25_cosine,q75_cosine,mean_residual_cosine,median_residual_cosine,q25_residual_cosine,q75_residual_cosine,mean_erse_outgoing_cosine,median_erse_outgoing_cosine,q25_erse_outgoing_cosine,q75_erse_outgoing_cosine,mean_outgoing_erse_attributed_fraction,median_outgoing_erse_attributed_fraction,q25_outgoing_erse_attributed_fraction,q75_outgoing_erse_attributed_fraction,mean_outgoing_residual_energy_fraction,median_outgoing_residual_energy_fraction,q25_outgoing_residual_energy_fraction,q75_outgoing_residual_energy_fraction,mean_incoming_speed,median_incoming_speed,q25_incoming_speed,q75_incoming_speed,mean_outgoing_speed,median_outgoing_speed,q25_outgoing_speed,q75_outgoing_speed,positive_fraction,all_positive_window_fraction,mean_positive_correlation_fraction,replicate
market_1,462,-0.01423204069656025,-0.003498176748413157,-0.16835802875784484,0.15189753719952126,-0.012113546963941452,-0.011267968181311224,-0.18285536105901393,0.15574076384129076,-0.06500014153752941,-0.06346207116654892,-0.18188634323279962,0.05301692256091704,0.036056944023774636,0.01643374917381174,0.0036859001059651453,0.05069714806839315,0.9639430559762253,0.9835662508261882,0.9493028519316069,0.9963140998940349,0.059019678736604436,0.05790575781068556,0.0503727846959329,0.06624960476327026,0.05898359372196147,0.05790575781068555,0.050372784695932885,0.06617474576320567,0.49567099567099565,0.36147186147186144,0.9953777749344251,0
block_2_3,462,0.06398610365212805,0.07713637318046677,-0.17812140675784932,0.2934579698116185,0.06550392987526973,0.07872202131817571,-0.1762538326124468,0.29235303870208834,-0.0012621909572911572,0.0020741470833652445,-0.03782575840919058,0.03473631412618797,0.004745547004084466,0.0011092227279797529,0.0001551594882148455,0.003629938018201606,0.9952544529959155,0.9988907772720202,0.9963700619817983,0.9998448405117851,0.49600370145804296,0.41559563358997775,0.33836312615636227,0.5541752857494466,0.49703207611574174,0.41559563358997786,0.338363126156362,0.5543930632121288,0.5952380952380952,0.36147186147186144,0.9953777749344251,0
block_4_6,462,0.01507363168114548,0.006500189901589185,-0.193660197728098,0.2480005555780336,0.01536339248002147,0.005253112485513424,-0.19238215998837385,0.24495465674306766,-0.009238653512912115,-0.0026009752454725413,-0.022437104235195727,0.018577957569251517,0.014686971333998922,0.00042503074862210166,0.00011126084903548272,0.0013469339884609466,0.985313028666001,0.9995749692513779,0.998653066011539,0.9998887391509645,0.9519005738761208,0.8766029104980425,0.7108457815182896,1.1547310745011694,0.9513689473610066,0.8764018853388361,0.7108457815182896,1.1507388000835983,0.5108225108225108,0.36147186147186144,0.9953777749344251,0
top_3,462,0.06422014346512883,0.07686725104612534,-0.17536548293679577,0.29177663053575886,0.06546047365827008,0.07697991262258483,-0.1723190121112575,0.291929016628658,-0.01102841689306105,-0.007027540774039127,-0.024421297447959168,0.004511731501348104,0.002602656934850956,0.00025904214608296616,3.9314479060970076e-05,0.0009375427581445328,0.997397343065149,0.999740957853917,0.9990624572418555,0.9999606855209391,0.49847222063376373,0.4181691406012036,0.34184473661893844,0.5563734544744194,0.49951132914085367,0.4181691406012039,0.3418447366189381,0.5582835065306782,0.5974025974025974,0.36147186147186144,0.9953777749344251,0
top_6,462,-0.003600249846114227,-0.0005259741592280223,-0.19978308498110098,0.2069789196640491,-0.004127557524960686,-0.0028978902020586703,-0.19427068258672778,0.19450410459242667,-0.005219120271682976,-0.003970131905878407,-0.015223407653373938,0.005392531652618308,0.013555638053598667,0.00010034917765538998,1.987145669649082e-05,0.000356466324200444,0.9864443619464014,0.9998996508223446,0.9996435336757996,0.9999801285433035,0.8640582151455559,0.7888270990262893,0.6442369171651074,1.015019322094724,0.862755313826499,0.7876456700250394,0.6442369171651074,1.0123930853332723,0.5,0.36147186147186144,0.9953777749344251,0
flag_nested,462,0.022473013248820728,0.019002414030393225,-0.15609483852979844,0.19839157373186955,0.023210142826264074,0.02136334715991105,-0.1547583376097699,0.19809618340781274,-0.012459930712013192,-0.009084686280744839,-0.029130169151329946,0.009003564295525332,0.008423720262831828,0.0003854703152895156,8.206789425074801e-05,0.0013762281720869074,0.9915762797371682,0.9996145296847105,0.9986237718279131,0.9999179321057492,0.47389894378962133,0.4374322124342119,0.3646429600452725,0.5583296617177275,0.4738730710614613,0.43675223486856185,0.36464296004527263,0.5583296617177274,0.5216450216450217,0.36147186147186144,0.9953777749344251,0
market_1,462,0.02074824564902887,0.017882645131687334,-0.15557859353367098,0.19702565860117946,0.022141000767298098,0.011586909346551488,-0.15831469662811473,0.19550700401359516,-0.0705990398242676,-0.07614150065863384,-0.20667703108072893,0.05486433301308327,0.04128918205039895,0.022999951664810003,0.005146113939228175,0.05856285069243419,0.958710817949601,0.9770000483351899,0.9414371493075658,0.9948538860607719,0.05981021789270991,0.05755623127052505,0.050712468797576474,0.06705524393126344,0.059898197228007155,0.057604140167531404,0.05074851201430068,0.06713532040162275,0.5281385281385281,0.35714285714285715,0.995686989529354,1
block_2_3,462,0.05014060497442406,0.06981293503066449,-0.19462563909183772,0.28498311750367905,0.049965893683149236,0.06851619158150651,-0.19611871194247626,0.2841486307834919,0.00081177524660773,-0.0027386858120000343,-0.035094606372229484,0.03849420473869704,0.0033765904157018667,0.0009168422458055159,7.509561984544999e-05,0.0038012359542633767,0.9966234095842982,0.9990831577541945,0.9961987640457366,0.9999249043801546,0.5094073828205857,0.4115968450449785,0.32669215814924996,0.6019069964250222,0.5108967326327883,0.41459081906803696,0.32724611546766885,0.6036972211214666,0.5714285714285714,0.35714285714285715,0.995686989529354,1
block_4_6,462,-0.010640536430597437,-0.023479991285459873,-0.23638192108621506,0.20675507545042368,-0.012074249795703085,-0.02027456464689375,-0.23381021721043466,0.20247833733062715,-0.004409568193578253,-0.0019515339518591658,-0.02512378604619278,0.01964976727384886,0.012262091559662121,0.000490326999847801,0.00012317183565488388,0.0015085764903133014,0.9877379084403378,0.9995096730001523,0.9984914235096867,0.9998768281643451,0.9772650884683518,0.9097174962546035,0.7002095205844024,1.2068287140540859,0.9761253685531212,0.909717496254604,0.7002095205844028,1.2016656346718186,0.47619047619047616,0.35714285714285715,0.995686989529354,1
top_3,462,0.049847675605636195,0.06731767050372857,-0.19155841220623931,0.2814887762031045,0.049894209007637524,0.06746084690453469,-0.1919571328890518,0.2812518039911521,-0.008759713874540862,-0.00813424963922198,-0.02503087469176745,0.007078170308396291,0.0008056932169314072,0.00028207887150316635,5.791519186218452e-05,0.0010496505309492699,0.9991943067830685,0.9997179211284968,0.9989503494690507,0.9999420848081378,0.5116722240706091,0.4138494979256554,0.3285103497433876,0.6041943245373594,0.5131605403719802,0.4165686191664511,0.3288361369611629,0.6059636771501942,0.5714285714285714,0.35714285714285715,0.995686989529354,1
top_6,462,-0.017755050938312294,-0.030212521406645244,-0.2345671717213046,0.20467206987475262,-0.018429910179065277,-0.02482930488317561,-0.2329557981430726,0.20333760632560058,0.000280870981610552,-0.0035968969324484497,-0.014714037518502934,0.005927826420396393,0.012131635642468388,0.00011591703826047128,2.2903563382553616e-05,0.00038857481209517153,0.9878683643575316,0.9998840829617395,0.9996114251879048,0.9999770964366175,0.8850445089079586,0.8201672936550959,0.6528484547372141,1.062976563055806,0.8831649611965579,0.8201672936550961,0.6528484547372142,1.0505094275531899,0.4696969696969697,0.35714285714285715,0.995686989529354,1
flag_nested,462,0.005537174272084228,0.012064552983809818,-0.16870476935436612,0.16797338796029862,0.0050968369747754405,0.010283388892067483,-0.16224760079101624,0.1705517509679993,-0.00722033127033386,-0.010494575861822682,-0.03235015355932118,0.009715508191437067,0.0073178621447449275,0.00046369343092211857,0.0001077017888347076,0.0016733435003419839,0.9926821378552552,0.9995363065690779,0.998326656499658,0.9998922982111653,0.4867460733340659,0.45255218922057083,0.37305581711876423,0.5798272542533152,0.48654397531928745,0.4525521892205705,0.37424199485953885,0.5783773226145217,0.5151515151515151,0.35714285714285715,0.995686989529354,1
market_1,462,0.058346946162044604,0.07337301867224394,-0.10448524558193785,0.19831679075477254,0.06413409445772852,0.07518700152096737,-0.1042497712868663,0.22771572476593313,-0.06985829663308178,-0.0707212043535897,-0.20868097269623337,0.06618374644639025,0.03906200870867404,0.021142417376737888,0.0048739420375431,0.05568078159600384,0.960937991291326,0.9788575826232622,0.9443192184039961,0.9951260579624569,0.05985113776354864,0.057803443218706924,0.05018308924519604,0.06782107702172795,0.05977758126336619,0.0578034432187069,0.050183089245195996,0.0676580498318787,0.6190476190476191,0.3528138528138528,0.995009916192182,2
block_2_3,462,0.0565247297618928,0.084295806881351,-0.1796846182791919,0.2759059598930014,0.05630060864254242,0.08414889098596948,-0.18176058901638412,0.2801378548176738,-0.0007514258886564493,-0.0025192881079025833,-0.03769231927282388,0.03542704074397135,0.0036008630538683956,0.0008962190762086819,6.292739912006073e-05,0.003898838639511182,0.9963991369461316,0.9991037809237913,0.9961011613604889,0.9999370726008799,0.4834691357158321,0.40626764172587304,0.32496619167686625,0.5683641486991964,0.48543352250348004,0.4062676417258731,0.3249661916768664,0.5708950368931085,0.5887445887445888,0.3528138528138528,0.995009916192182,2
block_4_6,462,0.04285147359727327,0.046959885314667105,-0.1551537084753958,0.25225766304834174,0.046195496023432585,0.054016792848318604,-0.1538055071954713,0.2471467031969404,-0.0007131784029596411,-0.0018543035057189418,-0.026095383099244987,0.022802077622164536,0.013000114572358366,0.0005624231972708449,0.00011326332676717121,0.0020653433820625733,0.9869998854276416,0.9994375768027292,0.9979346566179375,0.9998867366732328,0.9398236768198123,0.8820109824148382,0.6893402061416969,1.1386556024576624,0.941679891757663,0.8820109824148379,0.6893402061416968,1.1489504369049086,0.5541125541125541,0.3528138528138528,0.995009916192182,2
top_3,462,0.056367306243467453,0.08072508296118355,-0.17726036308204396,0.2802855380887147,0.056522095194883236,0.08121014827602463,-0.17761296880122046,0.28035129722950614,-0.010455630569159826,-0.008674935741827112,-0.027490799335576663,0.007434607462563681,0.0009635332005666428,0.00032050519123250076,6.539450094433796e-05,0.001140908061178364,0.9990364667994335,0.9996794948087675,0.9988590919388216,0.9999346054990557,0.4859434520647215,0.40862083197280724,0.3284180856372782,0.5699975457455849,0.4879115600928828,0.4086208319728076,0.3284180856372782,0.5720934680720706,0.5909090909090909,0.3528138528138528,0.995009916192182,2
top_6,462,0.03307589248903864,0.04561675434617686,-0.1564286822107769,0.22260609742386137,0.038846500371601866,0.051856272447486806,-0.12969571297910432,0.21799163084992473,0.005023717299047522,-0.00458407648208708,-0.01710429202465496,0.008220298109211795,0.01271110945534998,0.00016226993756829344,3.809345727659452e-05,0.0004641268347577443,0.9872888905446501,0.9998377300624317,0.9995358731652423,0.9999619065427234,0.858830843678671,0.7836760370382951,0.6252092843546402,1.019285953618506,0.8599867381625572,0.7836760370382954,0.6252092843546404,1.0285580996588566,0.5562770562770563,0.3528138528138528,0.995009916192182,2
flag_nested,462,0.04095653500499362,0.056810817514950734,-0.12714786612560433,0.21138617769438206,0.042969337140760185,0.056671018659674444,-0.12286284831920824,0.2106752631343075,-0.004925637009624719,-0.010836706112297367,-0.03146898403457134,0.011228059634989337,0.007002828143510315,0.0005518800871283647,0.00012165723995991029,0.001850348292111087,0.9929971718564897,0.9994481199128716,0.9981496517078889,0.9998783427600401,0.46860931097932573,0.44505167558720415,0.35632257603626255,0.550057291567794,0.46984388476774985,0.44505167558720404,0.3563225760362627,0.5519216744864032,0.5692640692640693,0.3528138528138528,0.995009916192182,2
market_1,462,0.05243245251342681,0.06033070257147946,-0.13189002900499014,0.2260569429592201,0.056873855278762785,0.0609813157941837,-0.12219620316097021,0.24012172258211528,-0.06275288794953066,-0.08001168624867808,-0.18452652453046117,0.057084028953569704,0.03629600495682739,0.01694312374901591,0.005073747511558341,0.04933976373600485,0.9637039950431725,0.9830568762509841,0.9506602362639951,0.9949262524884417,0.06097049434178071,0.059897994027251544,0.05327179537677592,0.06817801186198164,0.06105258909576293,0.060059252813490116,0.05346750611398457,0.06817801186198164,0.6082251082251082,0.3225108225108225,0.9953084682148721,3
block_2_3,462,0.04349656346711771,0.04581638992714234,-0.1585566098464965,0.2604121770787916,0.04380647022875913,0.04457820788383533,-0.15830343635800342,0.26012631475987386,-0.005905111694657542,-0.003588558934190084,-0.05088382487156246,0.03523131787762876,0.0038976513926834637,0.0012130837590579313,7.841783351755782e-05,0.004372091360753394,0.9961023486073166,0.9987869162409421,0.9956279086392466,0.9999215821664824,0.4612038790345987,0.37660639401971235,0.31618770292389026,0.49410340741483866,0.46782692251256996,0.37730475790362294,0.3161877029238901,0.5005665998181886,0.5627705627705628,0.3225108225108225,0.9953084682148721,3
block_4_6,462,0.0439995756764277,0.06392744440432965,-0.15702882547083943,0.2502251264788595,0.04478906802645747,0.05962817031233164,-0.15470743858554065,0.24687227650013843,-0.004757185370608449,-0.003802288133801935,-0.02402035989491408,0.02023127343155001,0.012036181799490293,0.00047649321955695045,0.00010982638426926261,0.001744617601002918,0.9879638182005097,0.9995235067804431,0.998255382398997,0.9998901736157307,0.9339208892861761,0.8720808398733872,0.6691319395909038,1.118554199300484,0.9359910090903403,0.8720808398733872,0.6691319395909036,1.1230356344925791,0.5454545454545454,0.3225108225108225,0.9953084682148721,3
