,raw,raw,raw,raw,raw,raw,raw,raw,raw,standardised,standardised,standardised,standardised,standardised,standardised,standardised,standardised,standardised,N
,q,d_emp,d_th,ratio,excess,n_pairs,n_indep,gap,angle_deg,q,d_emp,d_th,ratio,excess,n_pairs,n_indep,gap,angle_deg,
T,,,,,,,,,,,,,,,,,,,
29,1.0,0.39614056885432586,0.09090388404963906,4.357795852133325,0.3052366848046868,555,48.827586206896555,2.4306107566281088,77.4457642508461,1.0,0.4134839415744964,0.10717517359582218,3.858019797885492,0.30630876797867423,555,48.827586206896555,2.2927255350379836,77.51396622929454,29
102,0.28431372549019607,0.2543026942836996,0.08549208890201304,2.974575747881997,0.16881060538168657,263,13.882352941176471,1.7643377973873122,64.53470353505088,0.28431372549019607,0.2889472517645554,0.11298349953503031,2.557428765737318,0.17596375222952507,263,13.882352941176471,1.6234718227621237,65.48961973999457,29
175,0.1657142857142857,0.2135204240001661,0.06871709062258391,3.1072390007441975,0.1448033333775822,147,8.09142857142857,1.6374729910210821,61.00056106462709,0.1657142857142857,0.22446453425913998,0.09554819795537273,2.3492283377649845,0.12891633630376725,147,8.09142857142857,1.504544154264478,58.33969579641112,29
248,0.11693548387096774,0.17569352388999607,0.05724818781956097,3.068979658251538,0.1184453360704351,98,5.709677419354839,1.575705400228238,56.420441722764664,0.11693548387096774,0.1840327088640624,0.08136778965648281,2.261739069489397,0.10266491920757959,98,5.709677419354839,1.4601834787695707,53.23727859442666,29
321,0.09034267912772585,0.1602338742908237,0.04881566003146953,3.2824276920055415,0.11141821425935416,69,4.411214953271028,1.5233778694642952,55.0491809928877,0.09034267912772585,0.15827669882999396,0.07075282218908385,2.237037250712153,0.0875238766409101,69,4.411214953271028,1.4336594873848671,49.79146553430511,29
394,0.07360406091370558,0.1586479861888665,0.04314998255643764,3.676663970405185,0.11549800363242885,53,3.5939086294416245,1.493058789372906,55.85387239413027,0.07360406091370558,0.14467358253319332,0.06316642214344793,2.290355819182643,0.08150716038974538,53,3.5939086294416245,1.4074406769060182,48.29560445197625,29
467,0.06209850107066381,0.14602191845723708,0.037936434327113834,3.8491208002875656,0.10808548413012325,42,3.032119914346895,1.4885303715854588,54.37348237663885,0.06209850107066381,0.13405426908763,0.05571631186633316,2.406014766541518,0.07833795722129683,42,3.032119914346895,1.3992861518435764,47.47485088259538,29
540,0.053703703703703705,0.14274784306407215,0.03413014350912794,4.182456573201778,0.10861769955494421,33,2.6222222222222222,1.4710879200860307,54.48252631697667,0.053703703703703705,0.13658662721869644,0.049958104327565735,2.734023419366036,0.08662852289113071,33,2.6222222222222222,1.4027258153640103,49.57380469533588,29
613,0.04730831973898858,0.1407496597107904,0.03146002347281415,4.47392100112124,0.10928963623797625,27,2.3099510603588906,1.4522011642016506,54.6195733473112,0.04730831973898858,0.13670442845698372,0.04536272155649041,3.0135852472331286,0.09134170690049331,27,2.3099510603588906,1.402770381496287,50.70118134453946,29
686,0.04227405247813411,0.1377919727706644,0.028936772320820404,4.761829385909817,0.10885520044984401,22,2.064139941690962,1.4371091329514107,54.53104589394954,0.04227405247813411,0.12736883167908117,0.042266457962552295,3.0134730426649146,0.08510237371652887,22,2.064139941690962,1.3930195077079488,49.198893232020765,29
759,0.03820816864295125,0.1317404095470398,0.026837511210135806,4.908816190723565,0.104902898336904,18,1.865612648221344,1.4343573677293604,53.712123216556975,0.03820816864295125,0.11357735661336481,0.038618290308961446,2.941024983361549,0.07495906630440335,18,1.865612648221344,1.393511219751076,46.57298935834439,29
832,0.03485576923076923,0.11880458982996235,0.023979721649353667,4.954377351296925,0.09482486818060869,15,1.7019230769230769,1.4474981578686703,51.50620676231539,0.03485576923076923,0.09620377572739383,0.03521508036347498,2.7318914151102214,0.06098869536391885,15,1.7019230769230769,1.405103047968445,42.50952284759841,29
