T,q,d_emp,d_th,ratio,excess,n_pairs,n_indep,gap,angle_deg
29,1.0,0.39614056885432586,0.09090388404963906,4.357795852133325,0.3052366848046868,555,48.827586206896555,2.4306107566281088,77.4457642508461
84,0.34523809523809523,0.2807052696336015,0.09027915877976977,3.1093031152224624,0.1904261108538317,334,16.857142857142858,1.8197296182434697,67.29926182731344
140,0.20714285714285716,0.2305042601212508,0.07622297748755243,3.02407840416485,0.1542812826336984,183,10.114285714285714,1.6817898878129494,62.460349755901234
196,0.14795918367346939,0.206566090888005,0.06470276551093396,3.192538823600947,0.14186332537707105,129,7.224489795918367,1.623339996376817,60.52917648846207
252,0.11507936507936507,0.17745168272842593,0.056410130989878675,3.145741369759716,0.12104155173854725,94,5.619047619047619,1.5709593590220146,56.90964140975599
307,0.09446254071661238,0.1621046273078396,0.05052781247852001,3.208225714832841,0.11157681482931958,74,4.612377850162867,1.5327450789716743,55.080918606440385
363,0.07988980716253444,0.15823129768523253,0.04548389578127606,3.4788422356373916,0.11274740190395646,59,3.9008264462809916,1.5010292822196902,55.31401289343044
419,0.06921241050119331,0.1517398662886183,0.04123637846551409,3.679757338911759,0.11050348782310421,49,3.379474940334129,1.4890179684836304,54.86540095218666
475,0.061052631578947365,0.14313049753784293,0.03735491696218441,3.831637416909227,0.10577558057565853,41,2.9810526315789474,1.4848915689856035,53.895074689610574
530,0.05471698113207547,0.14389684260397745,0.034984147370421714,4.113201361758466,0.10891269523355573,34,2.671698113207547,1.4729787495588609,54.54277857124204
586,0.04948805460750853,0.1432682032461907,0.032448049536668515,4.415310174014861,0.11082015370952217,29,2.416382252559727,1.4602362858968734,54.92916510359521
642,0.045171339563862926,0.14530513564144049,0.0305020033713125,4.763789901685661,0.11480313227012798,25,2.205607476635514,1.4432573805005506,55.718517363906706
698,0.04154727793696275,0.14395432863999721,0.02890773494440622,4.97978582261261,0.11504659369559099,21,2.0286532951289398,1.4315941157892302,55.76601987403988
753,0.03851261620185923,0.12872319672281748,0.027177981488739775,4.7363045256377605,0.10154521523407771,18,1.8804780876494025,1.431052436135055,52.99658567831345
809,0.03584672435105068,0.11553901505585136,0.025047671885425702,4.612764634747518,0.09049134317042566,16,1.750309023485785,1.4399338586092454,50.50108537122959
865,0.03352601156069364,0.11576181709231086,0.02331282135651062,4.965585903225815,0.09244899573580023,13,1.6369942196531793,1.4434299438713825,50.959614273332285
921,0.031487513572204126,0.12085652049877776,0.022145170663336714,5.457466204984656,0.09871134983544105,11,1.5374592833876222,1.4383005688017412,52.377857502782
976,0.02971311475409836,0.10739450667170665,0.020600535595242338,5.213190024851065,0.0867939710764643,10,1.4508196721311475,1.4434118041074915,49.614151642736495
1032,0.02810077519379845,0.10620652129624254,0.019370556835035087,5.482884266091371,0.08683596446120745,8,1.372093023255814,1.4390336493954092,49.62438318744057
1088,0.02665441176470588,0.1163293877736823,0.01814308012316358,6.4117772166569775,0.09818630765051872,7,1.3014705882352942,1.4412805174047116,52.26168773295737
1144,0.025349650349650348,0.13923414769088147,0.01775097088923778,7.843748297469048,0.1214831768016437,5,1.2377622377622377,1.4476136427095252,56.99195652874209
1200,0.024166666666666666,0.14179501734407718,0.017433492699039356,8.133483048516753,0.12436152464503783,4,1.18,1.4453701459643005,57.52219116322446
