,raw,standardised,T,N,null_mode1
,mode1,mode1,,,
10,0.09841809553517028,0.02184298989935493,250,29,1.9748602478070927
20,0.2605435427529041,0.061074756827514474,250,29,1.9748602478070927
30,0.46201704451753656,0.11293935885451514,250,29,1.9748602478070927
40,0.6840419349967872,0.17675727151558293,250,29,1.9748602478070927
50,0.9183577084767632,0.24542346519569863,250,29,1.9748602478070927
60,1.1265629168018039,0.3162029482137224,250,29,1.9748602478070927
70,1.338614302291347,0.3909290257688446,250,29,1.9748602478070927
80,1.5419620429091365,0.4658402249963479,250,29,1.9748602478070927
90,1.739789701959319,0.541220632363546,250,29,1.9748602478070927
100,1.945089371309932,0.6189995974616487,250,29,1.9748602478070927
110,2.161091023144073,0.7008287644240824,250,29,1.9748602478070927
120,2.379578312411937,0.7839656068429635,250,29,1.9748602478070927
130,2.6080093736256544,0.8706318291542564,250,29,1.9748602478070927
140,2.829800703006449,0.9569581744325473,250,29,1.9748602478070927
150,3.049286948138505,1.0445795201072299,250,29,1.9748602478070927
160,3.2730547733220177,1.1386249623389744,250,29,1.9748602478070927
170,3.500777705249276,1.2392316453111223,250,29,1.9748602478070927
180,3.7312754974928772,1.3448663348612573,250,29,1.9748602478070927
190,3.9807321622336844,1.4550217411229662,250,29,1.9748602478070927
200,4.212712319510464,1.5655990303211105,250,29,1.9748602478070927
210,4.438351558934642,1.6777849430444267,250,29,1.9748602478070927
220,4.654566189968409,1.7900158290929815,250,29,1.9748602478070927
230,4.8875502514792695,1.8996857619585765,250,29,1.9748602478070927
240,5.1124930029240865,2.0055362218072834,250,29,1.9748602478070927
250,5.326621038530145,2.10638477941893,250,29,1.9748602478070927
260,5.475416480819709,2.1962811773221538,250,29,1.9748602478070927
270,5.6168696940817515,2.2849350934233934,250,29,1.9748602478070927
280,5.736381754319573,2.3723543455680467,250,29,1.9748602478070927
290,5.856002168385283,2.4574572321179575,250,29,1.9748602478070927
300,5.995108008968198,2.5469568847745983,250,29,1.9748602478070927
310,6.172320352971101,2.6403714220624255,250,29,1.9748602478070927
320,6.336529408534199,2.728786854508545,250,29,1.9748602478070927
330,6.511882125767133,2.8263510240605196,250,29,1.9748602478070927
340,6.682376564308075,2.92839539732652,250,29,1.9748602478070927
350,6.829880104748161,3.0307571469066614,250,29,1.9748602478070927
360,6.945637647850416,3.1303794913775604,250,29,1.9748602478070927
