component,n_triples,mean_cosine,median_cosine,q25_cosine,q75_cosine,mean_residual_cosine,median_residual_cosine,q25_residual_cosine,q75_residual_cosine,mean_erse_outgoing_cosine,median_erse_outgoing_cosine,q25_erse_outgoing_cosine,q75_erse_outgoing_cosine,mean_outgoing_erse_attributed_fraction,median_outgoing_erse_attributed_fraction,q25_outgoing_erse_attributed_fraction,q75_outgoing_erse_attributed_fraction,mean_outgoing_residual_energy_fraction,median_outgoing_residual_energy_fraction,q25_outgoing_residual_energy_fraction,q75_outgoing_residual_energy_fraction,mean_incoming_speed,median_incoming_speed,q25_incoming_speed,q75_incoming_speed,mean_outgoing_speed,median_outgoing_speed,q25_outgoing_speed,q75_outgoing_speed,positive_fraction,all_positive_window_fraction,mean_positive_correlation_fraction,replicate
market_1,450,-0.0005812530569794733,0.0013446201207946609,-0.0840538965996023,0.08674692196561172,0.010221616203432258,0.010008891392420987,-0.07826061340105626,0.09701257511069984,-0.10506258869220282,-0.11207118125998461,-0.17475402152117192,-0.0403602674971372,0.019762964146521178,0.01305188466906515,0.002679547094419088,0.030539005823203624,0.9802370358534789,0.9869481153309348,0.9694609941767964,0.9973204529055809,0.06096227157148091,0.06046547135590703,0.05540101962797495,0.06516982419472445,0.06087153788652137,0.060384844870627334,0.05533971324288453,0.06515228212562614,0.5044444444444445,0.0044444444444444444,0.9958337574215438,0
block_2_3,450,0.026480432041010665,0.03394960000604171,-0.1273097363696849,0.1816611686275888,0.026491084765376295,0.03403021989081348,-0.12904542765179383,0.1814973036187085,-0.0009162380254428598,-0.00044668236155686496,-0.02540679339886014,0.024047685482518306,0.0011275938158924732,0.00041051572554101634,1.577775148098315e-05,0.0012519504256191527,0.9988724061841076,0.999589484274459,0.9987480495743808,0.999984222248519,0.39516076897216923,0.35397552745708083,0.30526481220089163,0.45214578461101923,0.3949291670794025,0.3534737852683947,0.3052648122008917,0.45214578461101923,0.5466666666666666,0.0044444444444444444,0.9958337574215438,0
block_4_6,450,0.041287505353650104,0.054291053207189785,-0.10459631142237859,0.18713268071567507,0.04161803552456061,0.05425381150914545,-0.10426198687390592,0.18643914609516712,-0.0046595644396997035,-0.0016855378650117536,-0.012286984238478675,0.009288797967770886,0.001801921132499974,0.00011754449466699901,2.0501716435916695e-05,0.00041777151238839294,0.9981980788675,0.999882455505333,0.9995822284876116,0.9999794982835641,0.9257315538725688,0.8801516492630181,0.7378701391064983,1.0864605358235406,0.9287447503639128,0.8832927437624609,0.7388486911825195,1.0922889219728493,0.5777777777777777,0.0044444444444444444,0.9958337574215438,0
top_3,450,0.025867361930067077,0.03769469289945848,-0.1302352973808245,0.17713045831786772,0.026186366144748275,0.03795087433102677,-0.12997356323084236,0.17754684232512194,-0.017228495615752116,-0.01620483084148135,-0.02642278163207063,-0.006353016873133019,0.0005721020615187214,0.0002959768650654948,6.84038954017474e-05,0.0007074974939093037,0.9994278979384813,0.9997040231349346,0.9992925025060907,0.9999315961045983,0.39919021405488536,0.3589602117736618,0.31040035150739287,0.45500940300802795,0.3989516437454322,0.3573117293568105,0.31040035150739287,0.45500940300802817,0.5466666666666666,0.0044444444444444444,0.9958337574215438,0
top_6,450,0.0441990777667821,0.04361164327300899,-0.08889055749112557,0.18347689178179666,0.04446845003807062,0.043646531318935505,-0.08793758113125695,0.18323118073540579,-0.009691774976811868,-0.0068241474854341495,-0.011516651433352445,-0.0023435387058302394,0.0015302597265230223,5.100498998450442e-05,1.20458186220751e-05,0.00014061578864280055,0.9984697402734769,0.9999489950100156,0.9998593842113572,0.9999879541813779,0.9248233398793271,0.8777828895107904,0.7450065715268083,1.0499434156904117,0.9279356383493881,0.8806091928502708,0.7473062325723466,1.0622328512319075,0.5888888888888889,0.0044444444444444444,0.9958337574215438,0
flag_nested,450,0.036158055945939564,0.04771989567602214,-0.07921117825605009,0.1469275315763578,0.03663193127635664,0.048052406120684,-0.07893334059979637,0.14742768282344199,-0.019696829460665807,-0.01782331663130867,-0.028043177848159642,-0.006237690749538494,0.0013531575019729613,0.0003302650306759025,7.115007275904084e-05,0.0008019471823223767,0.9986468424980269,0.9996697349693241,0.9991980528176776,0.999928849927241,0.45300697525467,0.43096516455766654,0.37793543454008693,0.5108116314641608,0.4539943045800254,0.4318016484068504,0.3798852162884402,0.5131569972520602,0.5933333333333334,0.0044444444444444444,0.9958337574215438,0
market_1,450,0.003527794867127449,0.005806367913378057,-0.07728328294544895,0.08534256034099313,0.014327914164108217,0.013894046851988393,-0.061046192642649794,0.09932425905464136,-0.10059215933679087,-0.10133900221043399,-0.15984543728864806,-0.03695291265990493,0.018435754071887578,0.01128318324718064,0.0025086022836063593,0.02563668871904079,0.9815642459281124,0.9887168167528193,0.9743633112809592,0.9974913977163936,0.061169553703576345,0.06087974747971109,0.056000341033932616,0.06550178559788782,0.06120349876051795,0.06089061168074279,0.0560362224381382,0.06557152518876315,0.52,0.0022222222222222222,0.9962030403862464,1
block_2_3,450,0.019455918014899164,0.00933404037694918,-0.14752374667718354,0.19042994762475146,0.019451193145183367,0.009422153736567539,-0.14831982366307908,0.19058918447501066,-0.0052261230250167535,-0.0050172178723000525,-0.029229411557411784,0.01881590931118226,0.0011441901969983378,0.00025009065770881245,9.504079767075346e-07,0.0011758345629408196,0.9988558098030017,0.9997499093422912,0.9988241654370592,0.9999990495920232,0.3968504749504331,0.35722423965275196,0.3036909122774529,0.44243513848386923,0.396145601466646,0.35579924334228685,0.3036909122774526,0.4414405786978183,0.5177777777777778,0.0022222222222222222,0.9962030403862464,1
block_4_6,450,0.012081865869463514,0.015467185672983438,-0.13734698807026796,0.16318426294372368,0.013238936071010801,0.014990881384336296,-0.13535419200160037,0.1619722057852757,-0.006652369424328939,-0.0007187748597910608,-0.012780058817904777,0.008713600733268684,0.004374690060186586,0.00010715395704341546,2.12636979577685e-05,0.0004322341163806309,0.9956253099398132,0.9998928460429566,0.9995677658836194,0.9999787363020423,0.9439984220413771,0.8643830760015947,0.7439845539069777,1.0956603512249536,0.9452495615017604,0.8660799132045909,0.7466331012529577,1.0956603512249525,0.5288888888888889,0.0022222222222222222,0.9962030403862464,1
top_3,450,0.018915966248089767,0.009497945257341288,-0.14593552827087147,0.1834925514637712,0.019242973612903592,0.01023617874376944,-0.14569068746739833,0.1837310584337591,-0.01678990948889223,-0.01564929774445611,-0.026291949558239457,-0.00533826242164879,0.0005452147950295761,0.00027733313843303353,6.46818859327547e-05,0.0006919248378453036,0.9994547852049704,0.999722666861567,0.9993080751621547,0.9999353181140672,0.40087972036043523,0.3621843236869907,0.3095283110400313,0.445903073141257,0.4001731262491526,0.3607397981652341,0.3095469392662573,0.4449548012527691,0.5155555555555555,0.0022222222222222222,0.9962030403862464,1
