,raw,raw,raw,raw,raw,raw,standardised,standardised,standardised,standardised,standardised,standardised,T,N,P,Q
,n_pairs,d_emp,d_th,excess,ratio,angle_deg,n_pairs,d_emp,d_th,excess,ratio,angle_deg,,,,
lag,,,,,,,,,,,,,,,,
5,533,0.005623692769452015,0.11950064020904912,-0.1138769474395971,0.04705993842053211,,533,0.004696394413037537,0.15549314704809739,-0.15079675263505984,0.030203224400525128,,132,132,3,6
10,532,0.011895715293531485,0.1194972245365389,-0.1076015092430074,0.09954804674056768,,532,0.009692290893768848,0.15548672945183312,-0.14579443855806426,0.06233516473038517,,132,132,3,6
15,531,0.01864650550818649,0.11949083108906251,-0.10084432558087603,0.1560496762658577,,531,0.014894968585942985,0.15548356546269293,-0.14058859687674993,0.09579770403140721,,132,132,3,6
20,530,0.026084614728170318,0.11949097117308664,-0.09340635644491632,0.218297788293861,,530,0.020465295281492265,0.15548689409238867,-0.1350215988108964,0.13162070926268554,,132,132,3,6
25,529,0.033440165353606804,0.11950541085622295,-0.08606524550261614,0.27982134962774774,,529,0.02618545248389105,0.15550517316109508,-0.12931972067720404,0.16838959085151667,,132,132,3,6
30,528,0.040903639048980596,0.11952998198257758,-0.078626342933597,0.34220400915765736,,528,0.03207471913355915,0.15553627414694932,-0.12346155501339016,0.20622018438769618,,132,132,3,6
35,527,0.04882981236499829,0.11954827500345838,-0.0707184626384601,0.4084526720572564,,527,0.03831442421720196,0.15556344765540464,-0.11724902343820268,0.24629451709037656,,132,132,3,6
40,526,0.05690452915647738,0.11956735755352425,-0.06266282839704687,0.4759202705554825,,526,0.044836406137865,0.1555750090440682,-0.11073860290620322,0.28819799795200157,,132,132,3,6
45,525,0.06462392283280406,0.11959293630021413,-0.054969013467410066,0.5403657175084208,,525,0.05158617201765105,0.15558623874947422,-0.10400006673182317,0.33155999163084965,,132,132,3,6
50,524,0.0723871876004334,0.1196206489611618,-0.047233461360728396,0.6051395660287375,,524,0.05836390054468079,0.15559150164603713,-0.09722760110135634,0.37510982236970586,,132,132,3,6
55,523,0.0802337560596909,0.11965098807733049,-0.039417232017639595,0.6705649267838539,,523,0.06536173196755661,0.15559700933947854,-0.09023527737192193,0.4200706186129301,,132,132,3,6
60,522,0.088908749146402,0.11968416853919411,-0.030775419392792117,0.742861401232747,,522,0.07241912850350805,0.15559443890875946,-0.0831753104052514,0.46543519814339,,132,132,3,6
65,521,0.09796416413635886,0.11969731353394822,-0.021733149397589357,0.8184324379892999,,521,0.07966250896787841,0.1555750394993368,-0.07591253053145838,0.5120519925577008,,132,132,3,6
70,520,0.10634896166095359,0.11971212467372759,-0.013363163012774001,0.888372518245792,,520,0.08724356150663409,0.15554133721730035,-0.06829777571066625,0.5609027353593452,,132,132,3,6
75,519,0.11461842540127813,0.11968520485329266,-0.00506677945201453,0.9576657828490558,,519,0.09487106738464361,0.1554941053862345,-0.0606230380015909,0.6101264555913019,,132,132,3,6
80,518,0.12269549105500248,0.11965269609350493,0.0030427949614975497,1.0254302248159932,7.7298962906379245,518,0.10255465802592396,0.15544055462863038,-0.052885896602706414,0.6597677052230136,,132,132,3,6
85,517,0.13078455598650757,0.11955413804672363,0.011230417939783938,1.0939358362936373,14.789546972973405,517,0.11032281663360623,0.1553682705730941,-0.045045453939487876,0.7100730170109223,,132,132,3,6
90,516,0.13872640580641543,0.11942479646069176,0.01930160934572367,1.1616214548213757,19.310604837680298,516,0.11826013449111308,0.15527012098042026,-0.03700998648930717,0.7616412851641033,,132,132,3,6
95,515,0.14682223109705148,0.11927893233318139,0.027543298763870086,1.2309150344080335,22.972565953261128,515,0.12634673651105832,0.1551735068902664,-0.028826770379208083,0.8142287884258914,,132,132,3,6
100,514,0.15485189468187355,0.11913639484819605,0.0357154998336775,1.2997866426895517,26.052231444771415,514,0.1342288497160965,0.1550740088041356,-0.020845159088039106,0.8655792853438945,,132,132,3,6
105,513,0.16365785742224673,0.11901587000007773,0.044641987422169,1.375092728575944,28.995850059527573,513,0.14236517615403887,0.15498464693525352,-0.012619470781214642,0.9185759942629249,,132,132,3,6
110,512,0.1721347892680379,0.1188927674757713,0.053242021792266614,1.447815480475855,31.528818363119615,512,0.15060808497253872,0.15489391387397103,-0.004285828901432309,0.9723305532525993,,132,132,3,6
115,511,0.18091195514563208,0.11879848658035055,0.06211346856528152,1.522847305157128,33.902185145282026,511,0.1590747951679749,0.1548329681066017,0.004241827061373216,1.027396148980705,9.12122665208411,132,132,3,6
120,510,0.18960584357449733,0.11867798391281814,0.0709278596616792,1.5976496846608332,36.066809687471,510,0.1676910363373489,0.15473102515322482,0.01296001118412407,1.083758323007879,15.873881728696476,132,132,3,6
125,509,0.198879155369783,0.11856855469263963,0.08031060067714338,1.677334735886165,38.19644877051292,509,0.1766456588430337,0.15465246263815044,0.02199319620488327,1.14221044935018,20.585267800597254,132,132,3,6
130,508,0.20863102195282154,0.11849325261037139,0.09013776934245016,1.760699595603477,40.26493263667645,508,0.18556915747938835,0.15458873360958067,0.030980423869807677,1.2004054444746914,24.321747436883676,132,132,3,6
135,507,0.21380618940609356,0.11841796084689574,0.09538822855919782,1.8055216276061923,41.31087020097969,507,0.18995490451153316,0.1545316461963873,0.03542325831514587,1.2292297997662436,25.949242714490616,132,132,3,6
140,506,0.21473831496265752,0.11833714859781275,0.09640116636484478,1.8146314788476032,41.508293657979344,506,0.1914391122878306,0.15447285148576761,0.03696626080206297,1.2393058744401366,26.48780169942571,132,132,3,6
145,505,0.21622323308888755,0.11826308242900054,0.09796015065988702,1.828324009892923,41.809489778484675,505,0.19278088571364338,0.15440630427033633,0.03837458144330705,1.2485298875887891,26.968517006500054,132,132,3,6
150,504,0.2160285638315874,0.11815441357607151,0.09787415025551588,1.8283579706694701,41.79295729622771,504,0.19404767191338226,0.15431758998183281,0.03973008193154945,1.2574565993172049,27.421962743507162,132,132,3,6
155,503,0.21614752723821054,0.11804967991136517,0.09809784732684537,1.830987829873828,41.835940234184385,503,0.1952869590749034,0.15424195151892967,0.041045007555973734,1.266107937249072,27.85360124650598,132,132,3,6
160,502,0.2162029561860433,0.11791510704193145,0.09828784914411184,1.833547554760392,41.872397804305756,502,0.19648045251193735,0.1541549086258106,0.04232554388612675,1.27456500907711,28.26651709269424,132,132,3,6
165,501,0.21639228359477727,0.1178222070929976,0.09857007650177968,1.8366001531780667,41.92646561373937,501,0.19752834669636252,0.15407383150075873,0.04345451519560378,1.282036960931875,28.624732330607983,132,132,3,6
170,500,0.2168019568172369,0.117744171084484,0.09905778573275291,1.84129672679658,42.019657457124495,500,0.19866353864237768,0.15400507665069404,0.044658461991683635,1.2899804536507296,29.00095904317198,132,132,3,6
175,499,0.21732438780000943,0.11766976739013706,0.09965462040987237,1.8469008023060416,42.13328790298942,499,0.1997666574802928,0.15392584436774887,0.04584081311254393,1.297811022579316,29.364851730890653,132,132,3,6
180,498,0.21860247221233062,0.11759406165816223,0.10100841055416838,1.8589584297869803,42.389367425190684,498,0.20107861297242294,0.15385191964371786,0.04722669332870508,1.3069620024116055,29.784614849165486,132,132,3,6
185,497,0.2201505807168796,0.11757264140061617,0.10257793931626343,1.8724643598568147,42.683406639904895,497,0.20208319242650047,0.15377116661972054,0.04831202580677993,1.3141813050443756,30.108433879577408,132,132,3,6
190,496,0.22163812707389366,0.11756590036581174,0.10407222670808192,1.8852245964540428,42.96056400852353,496,0.20364424165682274,0.1537004530075051,0.049943788649317644,1.3249423646583456,30.58749198196717,132,132,3,6
195,495,0.22322130160207596,0.11755383201958276,0.10566746958249319,1.898885793573199,43.25350939116686,495,0.20496759393182215,0.15361795170714918,0.051349642224672976,1.3342684995733036,30.993015522738958,132,132,3,6
200,494,0.22440703123858247,0.11754661505564525,0.10686041618293722,1.9090896929048164,43.47063348238526,494,0.20618957467713747,0.15357804473838318,0.05261152993875429,1.3425719478873226,31.351553850150292,132,132,3,6
205,493,0.22589380488606314,0.11753280685712282,0.10836099802894032,1.921963840791005,43.741429686413895,493,0.20707175113236595,0.15353845461355753,0.05353329651880842,1.3486637706074802,31.610297146777793,132,132,3,6
210,492,0.22735384020290894,0.11753218327179026,0.10982165693111869,1.934396468047895,44.0025831300506,492,0.20825564594697404,0.15352473017989499,0.05473091576707906,1.3564957626236975,31.94261177939353,132,132,3,6
215,491,0.22811615140801972,0.11753070024020522,0.1105854511678145,1.940906937011383,44.13820038886623,491,0.20955859449912012,0.15350003676587906,0.05605855773324106,1.3652022430375215,32.30605677944058,132,132,3,6
220,490,0.22982113929030254,0.11752837002316502,0.11229276926713752,1.955452451565562,44.439044689281594,490,0.21091802664939735,0.15348511777253698,0.05743290887686037,1.374192037054532,32.67698847195121,132,132,3,6
225,489,0.23018608044160127,0.11753609772104123,0.11264998272056004,1.9584288138263886,44.50159103039332,489,0.21215102236477912,0.1534730444045906,0.05867797796018853,1.3823340977422702,33.00852457235392,132,132,3,6
230,488,0.23137458933834104,0.11754912511525158,0.11382546422308946,1.968322512919503,44.70645325538161,488,0.21319693555523475,0.15348067263899737,0.059716262916237384,1.389080018281496,33.28182200479559,132,132,3,6
235,487,0.23254968299916762,0.11755934622666095,0.11499033677250667,1.9781471270757063,44.90803146590311,487,0.2141839465389292,0.15348742453600425,0.06069652200292494,1.3954494785902611,33.537263566267434,132,132,3,6
240,486,0.23347183650530517,0.11757212133954786,0.11589971516575731,1.985775486954423,45.06441708571496,486,0.2152724100101738,0.15349029205073608,0.06178211795943772,1.4025148244490648,33.817298445848856,132,132,3,6
245,485,0.234453215177864,0.11757278250060037,0.11688043267726363,1.994111308683766,45.23211956182844,485,0.21597572376954383,0.15347865143381675,0.06249707233572707,1.4072036843682922,34.00012018578038,132,132,3,6
250,484,0.23516299323878614,0.11757646288100561,0.11758653035778054,2.0000856249331562,45.35225711300452,484,0.2168002999815286,0.15346984143602682,0.06333045854550179,1.4126573530858881,34.21165023565168,132,132,3,6
255,483,0.235188047371229,0.11756922399495423,0.11761882337627477,2.000421873851295,45.35773951287907,483,0.21713845089524247,0.1534235674770344,0.06371488341820808,1.4152874585434563,34.308661435486634,132,132,3,6
260,482,0.23485499422669961,0.11754808078173194,0.11730691344496767,1.9979483515582694,45.30474250033452,482,0.21787920471878386,0.15335691706959984,0.06452228764918402,1.4207328165047886,34.51127233234403,132,132,3,6
265,481,0.2358224097869719,0.11753168851102107,0.11829072127595082,2.006458111633941,45.47157052571329,481,0.2187488320244286,0.15331162388768624,0.06543720813674236,1.426824832177635,34.73902401196859,132,132,3,6
270,480,0.23688521897066964,0.11751957621714305,0.11936564275352658,2.0157085874184273,45.65274507010129,480,0.21999952297099654,0.153270586947715,0.06672893602328153,1.4353668720929782,35.05731937242671,132,132,3,6
275,479,0.2375963669201775,0.11750084432477151,0.12009552259540598,2.0220822095836417,45.77511390187432,479,0.22126800837166186,0.153234263456764,0.06803374491489786,1.4439851987417553,35.37506482269609,132,132,3,6
280,478,0.23839081135411433,0.1174680837173085,0.12092272763680582,2.0294092132107227,45.913170700678094,478,0.22252497375965916,0.15319461523565883,0.06933035852400032,1.4525639391263827,35.68715931424011,132,132,3,6
285,477,0.23872544534060353,0.11743992890028015,0.12128551644032337,2.0327451453356087,45.97350917277902,477,0.22368328272568147,0.1531521152186717,0.07053116750700977,1.4605301559583743,35.973027827293656,132,132,3,6
290,476,0.2394518893027614,0.1174062101477015,0.1220456791550599,2.0395163850491533,46.0995273848566,476,0.2247661649351044,0.1531166031013239,0.07164956183378049,1.4679411662912014,36.23660443207653,132,132,3,6
295,475,0.2407720974262001,0.11738856343799423,0.12338353398820587,2.0510694600447876,46.319975703948984,475,0.22597384202151743,0.15308814143281524,0.0728857005887022,1.4761028509885532,36.52500199438968,132,132,3,6
300,474,0.24270813847446376,0.1173721527837051,0.12533598569075866,2.067851127530475,46.63867833083191,474,0.22727760739914674,0.15306089282060273,0.07421671457854401,1.484883585943346,36.83217822550041,132,132,3,6
305,473,0.24425886188640547,0.11731741996230949,0.12694144192409598,2.0820340403401167,46.89810545324329,473,0.2282538846824681,0.1530259106327294,0.07522797404973869,1.4916028516915019,37.06328659301458,132,132,3,6
310,472,0.24593888023074137,0.11725709069812253,0.12868178953261883,2.09743290377133,47.17669545148887,472,0.22897452154272135,0.1529692242686079,0.07600529727411345,1.4968665928556397,37.23962374865053,132,132,3,6
315,471,0.24807056404236758,0.11725872344355334,0.13081184059881423,2.115583018109396,47.51401106735775,471,0.22979038611376773,0.15295657570606602,0.07683381040770171,1.502324336518568,37.42634146392324,132,132,3,6
320,470,0.24921092807581136,0.1172439068046604,0.13196702127115095,2.125576798553981,47.6952922209649,470,0.23032113668496676,0.15292455053623366,0.0773965861487331,1.5061096199226356,37.55245592677922,132,132,3,6
325,469,0.25023458130670595,0.11724560637172109,0.13298897493498485,2.1342768317761114,47.85471127650324,469,0.23118963819149668,0.15289765057643623,0.07829198761506045,1.5120548767093116,37.75193327315041,132,132,3,6
330,468,0.25077545551209407,0.11726885067904352,0.13350660483305055,2.138466046695116,47.93511979147549,468,0.23198067600222014,0.15288334419339814,0.079097331808822,1.5173704972646562,37.93013029777467,132,132,3,6
335,467,0.2510385128835317,0.11730856255915298,0.1337299503243787,2.139984562140937,47.96974429154003,467,0.232561936333386,0.15284476127737057,0.07971717505601544,1.5215564759288742,38.06650752673539,132,132,3,6
340,466,0.2515407532976467,0.11734357888449137,0.13419717441315532,2.143626056822879,48.04204067946227,466,0.2331265794924778,0.15282157353484455,0.08030500595763326,1.5254821299122605,38.19522653410327,132,132,3,6
345,465,0.25228273592867323,0.11737628324945507,0.13490645267921816,2.1493501833969897,48.15144205034474,465,0.2336910002902362,0.1527901666004695,0.0809008336897667,1.5294897930264977,38.325092191100794,132,132,3,6
350,464,0.2527466817685225,0.11740942881461365,0.13533725295390886,2.1526949268069666,48.21768548840024,464,0.2341756429276555,0.1527558724249962,0.0814197705026593,1.5330058295640108,38.437707924060504,132,132,3,6
355,463,0.253424258671191,0.11744896418629414,0.13597529448489687,2.15773940985309,48.31551370693496,463,0.2348673443970818,0.152732142014658,0.08213520238242378,1.5377728701961182,38.59222401576831,132,132,3,6
360,462,0.254400846226934,0.11748961293642322,0.13691123329051075,2.165304999043593,48.45841143806963,462,0.2350395466870156,0.15271233245954424,0.08232721422747136,1.5390999724876906,38.63354885096957,132,132,3,6
365,461,0.25506689846334196,0.11753384026640876,0.1375330581969332,2.1701571044151464,48.55295531309965,461,0.23558547574032998,0.1526945459048526,0.08289092983547738,1.5428545554412179,38.754520035919434,132,132,3,6
370,460,0.2561002620784863,0.1175764294953151,0.1385238325831712,2.1781598844068553,48.70294855504625,460,0.2356708622230377,0.1526948416640967,0.08297602055894102,1.5434107639436472,38.77273479981051,132,132,3,6
375,459,0.25681736983980974,0.11761853249417671,0.13919883734563304,2.1834770796219956,48.80468581383428,459,0.2357833704207802,0.15270423142649772,0.08307913899428249,1.5440526317980363,38.79479274359317,132,132,3,6
380,458,0.257138071627799,0.11765443365202607,0.13948363797577293,2.1855366061963184,48.847502100614186,458,0.23564125075484965,0.15268893283936616,0.08295231791548349,1.5432765582476897,38.76766213578915,132,132,3,6
385,457,0.25764340981651157,0.11768658594173666,0.13995682387477493,2.1892334436828986,48.918497339100654,457,0.23545095860793497,0.15270693973624044,0.08274401887169452,1.541848451777059,38.723043906843166,132,132,3,6
390,456,0.2579379150208476,0.11772538551243522,0.1402125295084124,2.19101355156405,48.95678877565167,456,0.23530530444344996,0.1527290835762426,0.08257622086720737,1.5406712260273938,38.68704926581643,132,132,3,6
395,455,0.25839099367608326,0.11777220447966988,0.14061878919641338,2.193989615951252,49.01751932730623,455,0.23518931548581382,0.15276281506082096,0.08242650042499286,1.5395717563346525,38.65489330202974,132,132,3,6
400,454,0.2590492736643621,0.11779908878182893,0.14125018488253316,2.1990770586021857,49.11164746734388,454,0.23508095943220125,0.15280642243154913,0.08227453700065213,1.5384232919758831,38.62221772840687,132,132,3,6
405,453,0.25972117246273824,0.11783717182952601,0.14188400063321222,2.204068278543502,49.20582314334895,453,0.2349816259440598,0.15284510187816125,0.08213652406589855,1.5373840774523004,38.5925086778365,132,132,3,6
