T,q,d_emp,d_th,ratio,excess,n_pairs,n_indep,gap,angle_deg
132,1.0,0.3587756930581437,0.20098282711816076,1.785106211324285,0.15779286593998296,195,10.594696969696969,1.511252381149467,62.97912656494044
182,0.7252747252747253,0.29241975119445257,0.15525351994113046,1.883498366448202,0.1371662312533221,136,7.684065934065934,1.5135051695900372,59.75680169420361
233,0.5665236051502146,0.2459054445249608,0.12358476619097994,1.9897714912933069,0.12232067833398086,102,6.002145922746781,1.5280259469453243,57.14735194750042
284,0.4647887323943662,0.20923463669609665,0.10265223321233577,2.038286261763985,0.10658240348376088,80,4.924295774647887,1.5470304544396767,54.06313456155392
335,0.3940298507462687,0.18493890135477042,0.08772978208763521,2.1080515299813567,0.09720911926713521,65,4.174626865671642,1.5640949329841898,52.044173129903825
386,0.34196891191709844,0.16629473090189079,0.07600958987497236,2.1878125007045535,0.09028514102691843,54,3.623056994818653,1.5903584997990403,50.452349385585386
437,0.30205949656750575,0.14893081056143626,0.06677788434330852,2.2302415242114493,0.08215292621812774,45,3.2002288329519453,1.621445417438105,48.45998162464519
488,0.27049180327868855,0.1392491599580567,0.05976112094350965,2.33009618560677,0.07948803901454704,38,2.86577868852459,1.6436527204339488,47.77543558788526
538,0.24535315985130113,0.13386610443967573,0.05430653496963636,2.4650091285426767,0.07955956947003937,33,2.599442379182156,1.6596878686703478,47.79402652098806
589,0.22410865874363328,0.13016098980349758,0.04982973671956892,2.61211474056176,0.08033125308392866,28,2.3743633276740237,1.6767617919229942,47.993821699186235
640,0.20625,0.12791124475158108,0.04580513457279364,2.792508873613376,0.08210611017878744,24,2.18515625,1.6965386287513053,48.448096666679376
691,0.191027496382055,0.12540752859233906,0.04232523086189775,2.962949664740851,0.0830822977304413,21,2.023878437047757,1.7161437490950537,48.6948940997907
742,0.1778975741239892,0.12492469307989734,0.0394718550038176,3.164905552774629,0.08545283807607974,18,1.8847708894878705,1.731570683944052,49.285427861763424
793,0.1664564943253468,0.12281312241918799,0.036866900012020504,3.3312570999770688,0.08594622240716748,16,1.7635561160151325,1.7397355768497649,49.40680514914828
844,0.15639810426540285,0.12302117284366103,0.03471607696698767,3.5436369426374053,0.08830509587667336,14,1.6569905213270142,1.7426432647336525,49.98001980318314
894,0.1476510067114094,0.12617417937926464,0.032456863636373436,3.887442138366845,0.09371731574289122,12,1.5643176733780761,1.7595721345002984,51.25273202378699
945,0.13968253968253969,0.13554610243377982,0.030686517775618344,4.417122314916963,0.10485958465816148,10,1.4798941798941798,1.7678115691254028,53.70301082310729
996,0.13253012048192772,0.1413632340703144,0.028943802949265875,4.884058750610722,0.11241943112104852,9,1.4041164658634537,1.7838296448757565,55.24890921828413
1047,0.12607449856733524,0.14679734708541298,0.027458669170475066,5.346120242537348,0.11933867791493791,7,1.3357211079274116,1.8048329280438469,56.58980055083567
1098,0.12021857923497267,0.15124702028147427,0.026019261702659256,5.812886699472196,0.12522775857881502,6,1.27367941712204,1.8118523881514559,57.67967085375991
1149,0.11488250652741515,0.1574395064377632,0.024970192324460138,6.3050978699727365,0.13246931411330307,5,1.2171453437771975,1.8042214382990385,58.95976172219567
1200,0.11,0.16400882310412612,0.023991777611986665,6.8360429875852455,0.14001704549213945,4,1.1654166666666668,1.7941958422074957,60.228452064343976
