component,n_triples,mean_cosine,median_cosine,q25_cosine,q75_cosine,positive_fraction,mean_incoming_speed,mean_outgoing_speed,replicate,mean_abs_cross_correlation,original_mean_abs_cross_correlation,median_relative_spectrum_error,median_abs_lag1_error,mean_relative_gap_1,mean_relative_gap_3,mean_relative_gap_6
market_1,464,0.05761679281174319,0.08455816093300009,-0.24207303804308258,0.363537051281746,0.5646551724137931,0.6946828915167164,0.6951044746357125,0,0.010378703386487617,0.4114730500409479,0.000649931853654038,9.575470597088243e-05,0.06263298394230898,0.04171685843443538,0.03767151057151355
block_2_3,464,0.03134816434088186,0.04698031524226247,-0.17724056019407977,0.24655050113247312,0.5668103448275862,1.2298930948221931,1.2270864441011933,0,0.010378703386487617,0.4114730500409479,0.000649931853654038,9.575470597088243e-05,0.06263298394230898,0.04171685843443538,0.03767151057151355
block_4_6,464,0.03236922547310779,0.023863691923236063,-0.0939550044778124,0.1731201583945944,0.5603448275862069,1.5663637949831182,1.5644935706985554,0,0.010378703386487617,0.4114730500409479,0.000649931853654038,9.575470597088243e-05,0.06263298394230898,0.04171685843443538,0.03767151057151355
top_3,464,0.05738386642418418,0.056565253422661,-0.10178375903841012,0.23978297242046145,0.5818965517241379,1.1478795885289828,1.144601939620799,0,0.010378703386487617,0.4114730500409479,0.000649931853654038,9.575470597088243e-05,0.06263298394230898,0.04171685843443538,0.03767151057151355
top_6,464,0.03744813846984148,0.037941292799243756,-0.08513601013300173,0.16714078245869185,0.5818965517241379,1.3728623627348244,1.3718449748972106,0,0.010378703386487617,0.4114730500409479,0.000649931853654038,9.575470597088243e-05,0.06263298394230898,0.04171685843443538,0.03767151057151355
flag_nested,464,0.050027186951774674,0.051700775731802484,-0.09341831893650114,0.19718453055647792,0.5754310344827587,1.1505464845846567,1.1493762074174827,0,0.010378703386487617,0.4114730500409479,0.000649931853654038,9.575470597088243e-05,0.06263298394230898,0.04171685843443538,0.03767151057151355
market_1,464,0.039636733056619404,0.018820490631975377,-0.2878405203631033,0.40715754525706177,0.5150862068965517,0.7561244740682338,0.7529271807428317,1,0.009884738321288937,0.4114730500409479,0.000651607684787563,5.875547497282384e-05,0.05437791328369857,0.04433061512386877,0.036897857968237295
block_2_3,464,0.04488576514835889,0.04807941836837269,-0.14249837933389445,0.24949735476877993,0.5646551724137931,1.2356311948645116,1.233951904874276,1,0.009884738321288937,0.4114730500409479,0.000651607684787563,5.875547497282384e-05,0.05437791328369857,0.04433061512386877,0.036897857968237295
block_4_6,464,0.02947588665548504,0.028807151130885052,-0.1155968520491482,0.16591522585217428,0.5538793103448276,1.6011943969379774,1.6010530138294128,1,0.009884738321288937,0.4114730500409479,0.000651607684787563,5.875547497282384e-05,0.05437791328369857,0.04433061512386877,0.036897857968237295
top_3,464,0.058001257309756415,0.05798484481893142,-0.12016969599896703,0.23178431456244034,0.5969827586206896,1.1258023184134687,1.1249413144468532,1,0.009884738321288937,0.4114730500409479,0.000651607684787563,5.875547497282384e-05,0.05437791328369857,0.04433061512386877,0.036897857968237295
