component,n_triples,mean_cosine,median_cosine,q25_cosine,q75_cosine,positive_fraction,mean_incoming_speed,mean_outgoing_speed,replicate,mean_relative_gap_1,mean_relative_gap_3,mean_relative_gap_6
market_1,462,-0.04661391916202569,-0.04158932789887643,-0.4011485584355481,0.2678868678432558,0.4588744588744589,0.33689218067756643,0.3365533573581632,0,0.1576696523764227,0.12536898736469287,0.07274780078921604
block_2_3,462,-0.003877778537601532,-0.004719753631230849,-0.27523921197501044,0.2679068309260797,0.4935064935064935,0.6258531839522518,0.6238606589501663,0,0.1576696523764227,0.12536898736469287,0.07274780078921604
block_4_6,462,0.007633647395908284,0.005267540275413927,-0.1920894162088121,0.22811305590228437,0.5064935064935064,1.022674098102142,1.0230093138799647,0,0.1576696523764227,0.12536898736469287,0.07274780078921604
top_3,462,0.02294251790195552,0.02913186304957758,-0.19571866292535273,0.26848101944771924,0.5324675324675324,0.5660134656578706,0.5642128486814394,0,0.1576696523764227,0.12536898736469287,0.07274780078921604
top_6,462,0.01371616298424896,0.01685553373478513,-0.16789551778293366,0.20866917091226148,0.5173160173160173,0.9365421285701311,0.9378944136751219,0,0.1576696523764227,0.12536898736469287,0.07274780078921604
flag_nested,462,-0.003503632373742473,0.002170874328280607,-0.16912847528277294,0.16205335933860338,0.5064935064935064,0.6358882309983837,0.6353798377596334,0,0.1576696523764227,0.12536898736469287,0.07274780078921604
market_1,462,0.05486382512325455,0.05552648075374945,-0.23559410788246915,0.36626612441440565,0.5476190476190477,0.3188381866548382,0.31894175517158835,1,0.18038533917070004,0.12964646732445462,0.06940955554764226
block_2_3,462,0.02691024705520428,0.0364764740213392,-0.21486558810049428,0.29120261644917983,0.538961038961039,0.6126801564481639,0.6142648304410504,1,0.18038533917070004,0.12964646732445462,0.06940955554764226
block_4_6,462,0.005850008781599307,0.017740627742597846,-0.19656129574418646,0.22783866166325445,0.5238095238095238,1.0194135315196557,1.0182973218220615,1,0.18038533917070004,0.12964646732445462,0.06940955554764226
top_3,462,0.0016290657059643133,0.006713953505533535,-0.1930605496358916,0.19598109230507402,0.5064935064935064,0.5625870347309742,0.5648720418296502,1,0.18038533917070004,0.12964646732445462,0.06940955554764226
top_6,462,0.024397071584374645,0.037093621204637085,-0.15662350987382684,0.21985583484156307,0.5670995670995671,0.9398166954385617,0.9373148157640436,1,0.18038533917070004,0.12964646732445462,0.06940955554764226
flag_nested,462,0.026061564551637627,0.02676930565755093,-0.1429956443798622,0.2034890678708046,0.5562770562770563,0.6268256695309222,0.6269319412806706,1,0.18038533917070004,0.12964646732445462,0.06940955554764226
market_1,462,-0.008418596868648915,0.033731058351327656,-0.3517574907270299,0.30700407896808884,0.525974025974026,0.353025867340002,0.35469177740019336,2,0.16382978523823077,0.1446049192594511,0.06586110082595636
block_2_3,462,0.02545790480802924,0.040680349453100506,-0.21574698978920673,0.2748887413131675,0.5584415584415584,0.5943240535541394,0.5975332972746921,2,0.16382978523823077,0.1446049192594511,0.06586110082595636
block_4_6,462,0.030402139445606165,0.018323817434524752,-0.1562153642927569,0.24771122157516426,0.538961038961039,1.0231678947605152,1.0253588865150796,2,0.16382978523823077,0.1446049192594511,0.06586110082595636
top_3,462,0.031681961464701654,0.02685378209172289,-0.13385634473116736,0.20756264209156294,0.5606060606060606,0.5202009132434686,0.5215241739305738,2,0.16382978523823077,0.1446049192594511,0.06586110082595636
top_6,462,0.026217685136450234,0.02719538517623342,-0.15812528040362267,0.2245213964361836,0.538961038961039,0.9679694599870634,0.9698972214192979,2,0.16382978523823077,0.1446049192594511,0.06586110082595636
flag_nested,462,0.01298391078968716,0.03598135597237269,-0.1464857054549223,0.19963562307200475,0.5584415584415584,0.6448660224233579,0.6469246898960588,2,0.16382978523823077,0.1446049192594511,0.06586110082595636
market_1,462,-0.0009845291567275945,0.013139719420670095,-0.35832500797885397,0.35312628649161193,0.5064935064935064,0.3456479459526237,0.3420378773193458,3,0.16879471381013006,0.13506412602309947,0.06797396825609316
block_2_3,462,-0.0030883921119092034,0.0160517838915208,-0.2544356090286028,0.24217996974692543,0.5173160173160173,0.6214752226453106,0.6187632637463859,3,0.16879471381013006,0.13506412602309947,0.06797396825609316
block_4_6,462,0.004597711488615032,0.007886068386612766,-0.17787841131280252,0.208637225060519,0.5043290043290043,1.0317464399774698,1.0362825302231429,3,0.16879471381013006,0.13506412602309947,0.06797396825609316
top_3,462,0.009515546355341057,0.023369889246789274,-0.19857784739753884,0.19851703589641992,0.5303030303030303,0.5466284666116678,0.5472385964747725,3,0.16879471381013006,0.13506412602309947,0.06797396825609316
top_6,462,-0.002688458996045976,0.0005589735394906574,-0.17232884271695925,0.17235954764880695,0.5,0.9626604034072564,0.9670897636949577,3,0.16879471381013006,0.13506412602309947,0.06797396825609316
flag_nested,462,-0.00729472806879735,0.02234294130872549,-0.17313210376870608,0.19145071915066336,0.5238095238095238,0.6505552078928921,0.6488765247040689,3,0.16879471381013006,0.13506412602309947,0.06797396825609316
market_1,462,-0.0003943075575001965,0.01652388616625402,-0.31164666847143874,0.3178296084924834,0.5238095238095238,0.30475428193662646,0.30422805949092485,4,0.17678515212868676,0.12412169562690885,0.07376549247561612
block_2_3,462,-0.04908137577985086,-0.06331716599074227,-0.29095351084039445,0.20238294713032196,0.45021645021645024,0.5972174657537669,0.5967444115512514,4,0.17678515212868676,0.12412169562690885,0.07376549247561612
block_4_6,462,-0.0106144902953519,-0.014131073089031804,-0.2052548143462488,0.17280136826317727,0.47186147186147187,1.0149814458744228,1.013487131873902,4,0.17678515212868676,0.12412169562690885,0.07376549247561612
top_3,462,-0.036844509926117465,-0.033606567289896624,-0.23733570281718894,0.16894657323603787,0.45454545454545453,0.560452315477465,0.5603455040784422,4,0.17678515212868676,0.12412169562690885,0.07376549247561612
top_6,462,0.005073964251532288,0.008324386835967014,-0.16462312046735839,0.1651328359383005,0.5151515151515151,0.9362575399565454,0.9349324751841316,4,0.17678515212868676,0.12412169562690885,0.07376549247561612
flag_nested,462,-0.024275071577577287,-0.023029816643047846,-0.1870331214604707,0.15043248463166692,0.45670995670995673,0.6120382407839967,0.6112608587433163,4,0.17678515212868676,0.12412169562690885,0.07376549247561612
market_1,462,0.053230592027119855,0.036446649646343636,-0.241384619065297,0.3643593157112086,0.538961038961039,0.3045558892609618,0.30394675118472403,5,0.1782352072601983,0.12745413905139277,0.06664426816543449
block_2_3,462,0.017131096257448155,0.042377876245353815,-0.22022747313403862,0.27576981689568625,0.5367965367965368,0.5959202319176423,0.5950164692133135,5,0.1782352072601983,0.12745413905139277,0.06664426816543449
