component,n_triples,mean_cosine,median_cosine,q25_cosine,q75_cosine,positive_fraction,mean_incoming_speed,mean_outgoing_speed,replicate,mean_relative_gap_1,mean_relative_gap_3,mean_relative_gap_6
market_1,446,0.03795468001130792,0.03423532179821616,-0.17053122122263514,0.2290452522068994,0.5358744394618834,0.21203032384178955,0.21187364632582104,0,0.31177486859879017,0.12585777340235973,0.11922560059569688
block_2_3,446,0.03438670327484416,0.002929826418759612,-0.27000192664719486,0.3675739781055861,0.5022421524663677,0.5177562861841137,0.5146528569395793,0,0.31177486859879017,0.12585777340235973,0.11922560059569688
block_4_6,446,0.011516917321428392,0.005542279239924211,-0.21183226010313927,0.21761496820401768,0.5089686098654709,0.6884821438905042,0.6856514757984237,0,0.31177486859879017,0.12585777340235973,0.11922560059569688
top_3,446,0.03140159548968225,0.011582207145007435,-0.2127116621396788,0.3033949059373377,0.5224215246636771,0.4813394143872146,0.4782286092808139,0,0.31177486859879017,0.12585777340235973,0.11922560059569688
top_6,446,0.015427352736514306,0.020944815129043195,-0.10423157516799289,0.13040692807752904,0.5582959641255605,0.5818500612767642,0.5810510165953726,0,0.31177486859879017,0.12585777340235973,0.11922560059569688
flag_nested,446,0.026896794936123795,0.010164527442890332,-0.14569897313399338,0.20161537869649182,0.5179372197309418,0.45632550199752026,0.45464587662516165,0,0.31177486859879017,0.12585777340235973,0.11922560059569688
market_1,446,0.040418432897242125,0.03797591566425661,-0.14635714318318066,0.22798688884813434,0.5650224215246636,0.1615875308624088,0.16162567650096532,1,0.3130195843237127,0.1487935203000245,0.11398400071559153
block_2_3,446,0.030670701878782437,0.02660157767296932,-0.19195085588815203,0.2515591216367581,0.5426008968609866,0.4331435074461709,0.434351793137807,1,0.3130195843237127,0.1487935203000245,0.11398400071559153
block_4_6,446,0.0043322920718945855,0.01554781761408766,-0.16732088773815235,0.1775218116505473,0.5246636771300448,0.6545745570550796,0.6549784642354177,1,0.3130195843237127,0.1487935203000245,0.11398400071559153
top_3,446,0.020877170897226408,0.033813388308028214,-0.16147041276259017,0.1908940664124003,0.547085201793722,0.43461538822655027,0.4358023721967104,1,0.3130195843237127,0.1487935203000245,0.11398400071559153
top_6,446,0.005179101803405023,0.012789462503395577,-0.1060653081711332,0.13247084385607272,0.5381165919282511,0.5772051360790299,0.5766912403130876,1,0.3130195843237127,0.1487935203000245,0.11398400071559153
flag_nested,446,0.017041773356047077,0.021809072360989085,-0.11969428696858596,0.1534973801026137,0.5493273542600897,0.3997868280479447,0.40012715354647294,1,0.3130195843237127,0.1487935203000245,0.11398400071559153
market_1,446,0.05066154922843586,0.04091819777236183,-0.16105582773750718,0.23560118044012224,0.5627802690582959,0.17135610556098282,0.17136487714020832,2,0.33242295079185774,0.1357141530676968,0.12172510344735023
block_2_3,446,0.02492985170675267,0.03457463175215069,-0.23276145261401582,0.2940841569914006,0.5426008968609866,0.47755397870961924,0.4761024399122448,2,0.33242295079185774,0.1357141530676968,0.12172510344735023
block_4_6,446,0.0014199052989699883,0.0016080690833751893,-0.19204048907336166,0.18975706276108295,0.5044843049327354,0.6788246629993573,0.6772231714981899,2,0.33242295079185774,0.1357141530676968,0.12172510344735023
top_3,446,0.008811710531265024,0.0074111037282433845,-0.21526314578968803,0.2546618378238748,0.5134529147982063,0.47092793032127916,0.4693496108986702,2,0.33242295079185774,0.1357141530676968,0.12172510344735023
top_6,446,0.007803885625369996,0.013157988434878459,-0.09294937490121637,0.10767579090229694,0.5291479820627802,0.5739285557231091,0.5728951211864075,2,0.33242295079185774,0.1357141530676968,0.12172510344735023
flag_nested,446,0.02038018915362048,0.0243817023872133,-0.14776475358022342,0.17477084769029616,0.547085201793722,0.4229570285370912,0.42207311951608123,2,0.33242295079185774,0.1357141530676968,0.12172510344735023
market_1,446,0.02491420344773663,0.03863758202445125,-0.1785993872780442,0.24733371064764909,0.5515695067264574,0.17958487591004196,0.18037923516176133,3,0.317692544332901,0.1377224367957951,0.13211973829967913
