component,n_triples,mean_cosine,median_cosine,q25_cosine,q75_cosine,positive_fraction,mean_incoming_speed,mean_outgoing_speed,replicate,mean_abs_cross_correlation,original_mean_abs_cross_correlation,median_relative_spectrum_error,median_abs_lag1_error,mean_relative_gap_1,mean_relative_gap_3,mean_relative_gap_6
market_1,446,0.03673134724749503,0.06774707446911318,-0.19122756627586035,0.2636229684092264,0.5605381165919282,0.8723455654445987,0.8722264848122111,0,0.010233182056538219,0.31831520286799636,0.0006840562094823707,0.00012220792559523505,0.025931760342644654,0.017455910171084752,0.014080687647697187
block_2_3,446,0.02210987183907189,0.020026883146796466,-0.11536587886181615,0.16034389716827985,0.5582959641255605,1.4062560086458475,1.405839280651703,0,0.010233182056538219,0.31831520286799636,0.0006840562094823707,0.00012220792559523505,0.025931760342644654,0.017455910171084752,0.014080687647697187
block_4_6,446,0.013657256134922732,0.01684312682440501,-0.07781809533128409,0.10774212288820663,0.547085201793722,1.8129400781424092,1.8143532482674953,0,0.010233182056538219,0.31831520286799636,0.0006840562094823707,0.00012220792559523505,0.025931760342644654,0.017455910171084752,0.014080687647697187
top_3,446,0.037159775057474864,0.026960738637925537,-0.07486816947041194,0.1521883598440674,0.5650224215246636,1.3812404290181612,1.3812559110345966,0,0.010233182056538219,0.31831520286799636,0.0006840562094823707,0.00012220792559523505,0.025931760342644654,0.017455910171084752,0.014080687647697187
top_6,446,0.028273833838298956,0.027691718380685695,-0.04428544237578046,0.098892229880012,0.5986547085201793,1.7940276329938072,1.7959359238167225,0,0.010233182056538219,0.31831520286799636,0.0006840562094823707,0.00012220792559523505,0.025931760342644654,0.017455910171084752,0.014080687647697187
flag_nested,446,0.030563003281528618,0.04172235503409591,-0.06439041278996324,0.13075554345231724,0.5986547085201793,1.4145121961347595,1.4147746213475398,0,0.010233182056538219,0.31831520286799636,0.0006840562094823707,0.00012220792559523505,0.025931760342644654,0.017455910171084752,0.014080687647697187
market_1,446,0.024253119302839465,0.02241808525611983,-0.19100069029718325,0.2368494502881413,0.5246636771300448,0.8335825480153275,0.8318706123286738,1,0.010285986523347009,0.31831520286799636,0.000688863689815063,0.00011107068408509196,0.026707105711540384,0.017168689796217895,0.013555392264466552
block_2_3,446,0.017598029413852214,0.016185528741378144,-0.11341498951334715,0.16760823656540863,0.531390134529148,1.3933469728732655,1.390714722830094,1,0.010285986523347009,0.31831520286799636,0.000688863689815063,0.00011107068408509196,0.026707105711540384,0.017168689796217895,0.013555392264466552
block_4_6,446,0.008673665574119726,0.009562478793559835,-0.08625415381448126,0.10446773803991374,0.5358744394618834,1.826758518597987,1.8253695394791611,1,0.010285986523347009,0.31831520286799636,0.000688863689815063,0.00011107068408509196,0.026707105711540384,0.017168689796217895,0.013555392264466552
top_3,446,0.029037379715067545,0.02612069106797762,-0.08697004317829349,0.14349342904322443,0.5650224215246636,1.3836158786232875,1.3813900741419491,1,0.010285986523347009,0.31831520286799636,0.000688863689815063,0.00011107068408509196,0.026707105711540384,0.017168689796217895,0.013555392264466552
top_6,446,0.030228997448740705,0.030033592948379484,-0.046138383554028675,0.1071145239481888,0.6143497757847534,1.8125438170262222,1.8108140499227003,1,0.010285986523347009,0.31831520286799636,0.000688863689815063,0.00011107068408509196,0.026707105711540384,0.017168689796217895,0.013555392264466552
flag_nested,446,0.025193829028845587,0.025715985923573985,-0.06421752063704037,0.11193665817842217,0.5695067264573991,1.392744265184409,1.3905104365111196,1,0.010285986523347009,0.31831520286799636,0.000688863689815063,0.00011107068408509196,0.026707105711540384,0.017168689796217895,0.013555392264466552
market_1,446,0.05916772029417051,0.08445500059649755,-0.12140155155167606,0.2658258246344787,0.5964125560538116,0.8143812973794918,0.8118439471178053,2,0.010273826374403973,0.31831520286799636,0.0006861703598555818,0.00011623811854690608,0.029332247614311104,0.018586394780686914,0.014340235960064193
block_2_3,446,0.0268815617391724,0.031796899080992605,-0.11994556369451054,0.1723500651827657,0.5426008968609866,1.3929194639728353,1.3927220209605,2,0.010273826374403973,0.31831520286799636,0.0006861703598555818,0.00011623811854690608,0.029332247614311104,0.018586394780686914,0.014340235960064193
block_4_6,446,0.008218133248991677,0.005029311425539547,-0.08427771287422714,0.09917684966289761,0.5201793721973094,1.8089354781329425,1.8102944935440224,2,0.010273826374403973,0.31831520286799636,0.0006861703598555818,0.00011623811854690608,0.029332247614311104,0.018586394780686914,0.014340235960064193
top_3,446,0.039574316704894884,0.04374565644927096,-0.05282733897183675,0.14991306927885995,0.6098654708520179,1.3705537080224084,1.3733387513404542,2,0.010273826374403973,0.31831520286799636,0.0006861703598555818,0.00011623811854690608,0.029332247614311104,0.018586394780686914,0.014340235960064193
top_6,446,0.01919832044345601,0.014054787941284565,-0.042898958805560515,0.08157357982822014,0.5695067264573991,1.7883701958898723,1.7890553981367172,2,0.010273826374403973,0.31831520286799636,0.0006861703598555818,0.00011623811854690608,0.029332247614311104,0.018586394780686914,0.014340235960064193
