replicate,null,component,n_origins,n_finite_addition,mean_addition_cosine,median_addition_cosine,q25_addition_cosine,q75_addition_cosine,positive_addition_fraction,mean_addition_previous_speed,mean_addition_next_speed,mean_full_cosine,mean_deletion_outgoing_cosine,mean_deletion_attributed_fraction,mean_full_residual_cosine
0,volatility,market_1,464,464,0.030314528117686052,0.028716466689577745,-0.15639829155805784,0.21600674851096127,0.5560344827586207,0.04657926248159113,0.04655471485778045,0.05361288414872023,0.6357623887280839,0.4349626903559982,-0.07588306795059815
0,volatility,block_2_3,464,464,0.02004224029364896,0.03756267234526203,-0.18313345404895462,0.24566333127687556,0.5323275862068966,0.35529476352056016,0.357654118860312,0.05066895206144668,0.6163779069747986,0.4627989145249269,-0.03970355552262481
0,volatility,block_4_6,464,464,0.004085960602450233,-0.01092107842607699,-0.1777522720673463,0.19389749042415275,0.4870689655172414,0.7800830721062503,0.7812995253188046,0.03196193706035838,0.5238023052773723,0.4087726534525575,-0.012146188369591695
0,volatility,top_3,464,464,0.019379595612407034,0.035629655485960414,-0.18155216510472438,0.244686125770884,0.5280172413793104,0.35722792543219767,0.35958389734848617,0.05065880704039469,0.6164870375487329,0.46162727478065346,-0.04083386435473308
0,volatility,top_6,464,464,0.00016204039641158437,-0.004770984993243469,-0.186616239426765,0.17790224349308115,0.4956896551724138,0.7302909551450854,0.7299604283735931,0.039809508717325,0.5253727368084742,0.41163316242734416,-0.013407007753731366
0,volatility,flag_nested,464,464,0.005126708346976554,-0.00752176289942041,-0.14594364398804652,0.17004287010181632,0.4870689655172414,0.3790068191136555,0.3798562159643755,0.03169630387424125,0.5417417956259079,0.3974347492817603,-0.0243768395405983
1,volatility,market_1,464,464,0.04463137366338741,0.04877061231266901,-0.13759414245097012,0.24724726422248638,0.5732758620689655,0.04662470412061343,0.046739610101056595,0.11549565188285406,0.6404945851986864,0.4436095738863423,-0.021483166281314
1,volatility,block_2_3,464,464,0.018428000195187044,0.011957505306319428,-0.2250366776124495,0.26132394854512697,0.5129310344827587,0.4102262719338321,0.4060993027853238,0.08224549114126248,0.5711947635048688,0.43036975184163234,-0.020620949605935288
1,volatility,block_4_6,464,464,0.00378006731971499,0.0033627071681057003,-0.1851606739920338,0.22007514953904292,0.5043103448275862,0.8645109951906932,0.860676919941647,0.04704145004445182,0.4723964405731834,0.3732318560234498,-0.00862647045283768
1,volatility,top_3,464,464,0.019353054235418516,0.018394526943544678,-0.214027035207586,0.2553353599365277,0.5193965517241379,0.41180878995579223,0.4077335555512515,0.08341598156240053,0.5728655494100062,0.4308273633835085,-0.01984490704956844
1,volatility,top_6,464,464,0.020638254879654296,0.021504393576037034,-0.16783455669124964,0.23779773695263087,0.5344827586206896,0.7885748675436915,0.7876050299090983,0.0425767949634491,0.49393502801764877,0.38863362334872326,-0.01648170881322797
1,volatility,flag_nested,464,464,0.016345743483187663,0.021990159416525983,-0.14422052144733216,0.1928509676819728,0.5258620689655172,0.42007699171725,0.41797222918806726,0.06515495310925373,0.5008553493694506,0.3679761391663875,-0.006521830808991185
2,volatility,market_1,464,464,0.03991345603315876,0.06908205498282431,-0.1592433711265187,0.2227049137552451,0.5862068965517241,0.04783346672049773,0.047693204363362884,0.08956088221694226,0.6245449198004527,0.42681046585332477,-0.04381951696556143
2,volatility,block_2_3,464,464,-0.002371301980482515,-0.036924215944998715,-0.2203830147762639,0.22475045169667834,0.45905172413793105,0.3784945503607201,0.37645189048565064,0.08337621510730488,0.5944768206908376,0.4555042007730204,-0.027844950399696845
2,volatility,block_4_6,464,464,0.027966072424058033,0.029539451549898278,-0.13295168873824997,0.19616016456765697,0.5344827586206896,0.8006440557638475,0.7975232429587574,0.09141145492955685,0.5228244860283258,0.40515306747147334,0.028272967433993813
2,volatility,top_3,464,464,-0.0028087571356533113,-0.03584010500866686,-0.2171495730967071,0.22418535618837213,0.45689655172413796,0.38029079868281823,0.37826238804607665,0.08349149911979037,0.5951748921494039,0.45503704574499937,-0.027904413385051344
2,volatility,top_6,464,464,0.03470001665197321,0.03697488015226369,-0.14856098507138488,0.21495397539757258,0.5517241379310345,0.7451481967708758,0.74268575213066,0.09418816815714302,0.5393259875530575,0.4267399052465623,0.032547503318154154
2,volatility,flag_nested,464,464,0.02277812353655103,0.013711180956968261,-0.12275350659552746,0.18383001392220158,0.5280172413793104,0.39064586925836814,0.3891563922683321,0.09539003825199924,0.5474622468257756,0.3987641130153446,0.02333143736812354
3,volatility,market_1,464,464,0.0242437931547637,0.021876827797123778,-0.16077186785417352,0.21755212059578327,0.5301724137931034,0.04568148230583683,0.045704722010132294,0.09273047180486024,0.6430368926000651,0.4388978681564656,-0.04117891353332977
3,volatility,block_2_3,464,464,0.04386211748587337,0.03372634880888469,-0.17776122852177273,0.28700113181133746,0.5538793103448276,0.38620263302609975,0.3859467326662857,0.07325058345818083,0.5776816336308153,0.46124248853443417,-0.01884090933943649
3,volatility,block_4_6,464,464,0.026309639796943965,0.036265070249128076,-0.16627036946224338,0.2139303513673155,0.5387931034482759,0.8041829371731075,0.8074067094789215,0.036361796450586,0.5041487964818834,0.40493454443808413,-0.002626690790832223
