replicate,null,component,n_origins,n_finite_addition,mean_addition_cosine,median_addition_cosine,q25_addition_cosine,q75_addition_cosine,positive_addition_fraction,mean_addition_previous_speed,mean_addition_next_speed,mean_full_cosine,mean_deletion_outgoing_cosine,mean_deletion_attributed_fraction,mean_full_residual_cosine
0,calendar,market_1,462,462,-0.0032135478196732895,-0.008225351230674834,-0.18373993963795507,0.16049043430767806,0.487012987012987,0.04620222237102571,0.04624180116841268,0.023640200075102286,0.6272925812375197,0.4247268675547336,-0.08555106356049569
0,calendar,block_2_3,462,462,0.014679047300140243,0.02431440373195317,-0.24866435699722172,0.26511027489302325,0.525974025974026,0.42882069661314626,0.42793456278478625,0.058936684983064105,0.5507592436798633,0.4716301656821654,-0.03276303439465042
0,calendar,block_4_6,462,462,0.0007847962763974406,-0.005990437386903103,-0.19652633557987584,0.20117665122045214,0.48917748917748916,0.7640060284628016,0.7644099419119211,0.021862343578425467,0.507163175490303,0.40985541588692176,-0.03217172523754285
0,calendar,top_3,462,462,0.013841185198958711,0.02512206691240875,-0.24320089301467998,0.26725432603283206,0.5194805194805194,0.4307227456536291,0.42983862238681597,0.058264645912146355,0.5516003193338692,0.4706396183792275,-0.0336120264094223
0,calendar,top_6,462,462,-0.007477408185394408,-0.021074849607813955,-0.2094788155177279,0.16285098915135038,0.4675324675324675,0.6591751838457095,0.6611092054723978,0.010274067109182687,0.5523530405727596,0.4209118249688834,-0.043173997318095535
0,calendar,flag_nested,462,462,0.006462745857659744,0.008018503540083544,-0.16428828180470156,0.18045041429591113,0.5151515151515151,0.3872908277565766,0.38723564739123656,0.0339805447380233,0.5231936867869477,0.40667637465503653,-0.03171483642555552
1,calendar,market_1,462,462,0.0075645411443180845,0.007082651439017384,-0.14868789903645602,0.1804911033001213,0.512987012987013,0.04744907270717641,0.047370828535019574,0.048972390013829546,0.6394431104143017,0.43289661927976925,-0.0796069693427477
1,calendar,block_2_3,462,462,-0.023616209018234715,-0.04203993205149398,-0.27120590571792047,0.18836729053524515,0.461038961038961,0.40242846704055957,0.4024521276255721,0.012023602302963713,0.5805757807257894,0.46224809113244636,-0.06980203997702424
1,calendar,block_4_6,462,462,-0.010433763634553202,-0.01980561013556688,-0.2053649127705451,0.18592977997335872,0.48268398268398266,0.7797153193729749,0.7825623899894955,0.021925644757548313,0.49750728324973137,0.406310011679957,-0.03352278455176049
1,calendar,top_3,462,462,-0.02335374588562203,-0.03930200773662824,-0.26924726059000903,0.1865849874331501,0.46320346320346323,0.40453951074007266,0.4045615917465973,0.012612543242388724,0.5812108565448646,0.4613836014383459,-0.0703254335719251
1,calendar,top_6,462,462,-0.011809134489052344,-0.019537385698949042,-0.18271842860145762,0.1783642722980095,0.47619047619047616,0.6948926091533137,0.6980591740868347,0.011394003827442564,0.5253979261223388,0.4076192001980208,-0.054057112297992475
1,calendar,flag_nested,462,462,-0.007678607206174916,-0.015195053412519866,-0.18363583176834036,0.16472903389273696,0.4805194805194805,0.3878174071892812,0.3888801753372269,0.020221316707236245,0.5239050404680833,0.40183296901975973,-0.04704615287028595
2,calendar,market_1,462,462,0.011083257512009953,0.007312824832470297,-0.1380549330426857,0.1807357311533575,0.512987012987013,0.04629206349988144,0.04626874893094048,0.04004226637009656,0.6388760537327819,0.43218135264565055,-0.095090071177624
2,calendar,block_2_3,462,462,-0.03792870053450618,-0.03803779898210323,-0.2701411706966197,0.20021747922953947,0.4458874458874459,0.40490472974703556,0.404692023880945,0.021925401986271936,0.6011528968478834,0.4806091400862421,-0.06085830158035935
2,calendar,block_4_6,462,462,-0.005135293606191527,-0.004309082315601245,-0.18964100081117077,0.18775311731181604,0.48484848484848486,0.7355989828115046,0.7347974133681633,0.005987355008639103,0.5261800945931737,0.4153701455759115,-0.06528202877948482
2,calendar,top_3,462,462,-0.03654969437129113,-0.03498966858161595,-0.2656586378100089,0.1979501234336642,0.45670995670995673,0.4069200065642086,0.4067025596385033,0.022015482513241917,0.6012062821465195,0.4790304111359564,-0.06088534272174977
2,calendar,top_6,462,462,0.009768561367006575,0.019216139880900547,-0.15394487233803036,0.1669174467602923,0.525974025974026,0.6418576758908467,0.6408704991345715,0.007079126392852134,0.5571825952524936,0.4142366456786038,-0.0753407761651597
2,calendar,flag_nested,462,462,-0.010893674077191924,-0.0071519777743974805,-0.16740059995525186,0.15403471414086842,0.48484848484848486,0.3722057098174516,0.37180318970838033,0.008581649233674061,0.5510595896833721,0.4157484801065158,-0.06555320440593235
3,calendar,market_1,462,462,-0.01750127561459602,-0.015790290185178156,-0.1845124685459848,0.16543923462182947,0.4588744588744589,0.046168363744245086,0.04613669331142298,0.02857151608511157,0.631239325166222,0.42198685296974314,-0.07829370835410852
3,calendar,block_2_3,462,462,-0.021096581382408195,-0.030909189921004946,-0.2489939327396253,0.2185139773991509,0.4523809523809524,0.35693563748130924,0.35711457457884005,0.04492991749545552,0.6009124138938439,0.4521482259790661,-0.05310813225391658
3,calendar,block_4_6,462,462,-0.018107113004425197,-0.030255118946470167,-0.20648881469780017,0.1757953976481577,0.4653679653679654,0.7410563664293545,0.7416753014608776,0.023896022182053545,0.5219421205575502,0.39447589069762495,-0.04442580020298952
3,calendar,top_3,462,462,-0.02008922245371861,-0.03345024789462354,-0.24675714443339103,0.21398403716977646,0.45021645021645024,0.3590344403470702,0.3592101642983986,0.04508847777032065,0.6012380614443545,0.45147774379865313,-0.052979453561472024
3,calendar,top_6,462,462,-0.016705749307137585,-0.01645063237141777,-0.19907828883154632,0.1555382978473276,0.4696969696969697,0.6858578497312003,0.6864890040645323,0.022905696224280982,0.5285770053840356,0.40358020041328074,-0.04833504102358717
3,calendar,flag_nested,462,462,-0.02087132546315369,-0.03529751721218198,-0.1828194000561105,0.14723617416922252,0.4264069264069264,0.36416937572515,0.36441462889389276,0.030807685521735132,0.5418978724242555,0.3879076022417979,-0.04296155101540736
4,calendar,market_1,462,462,0.020754525984462213,0.005306878062424102,-0.146404506009063,0.2032163610442447,0.512987012987013,0.046507816706806086,0.0465055434413855,0.03919950834040888,0.649087276324551,0.4466056327901652,-0.08551302598542695
4,calendar,block_2_3,462,462,-0.01864689848717218,-0.01736613677934143,-0.2915898681466314,0.21979816006893926,0.4805194805194805,0.4032250861150884,0.40246917901732226,0.02682499674643271,0.5578233475862239,0.4555304874427652,-0.06390460931541758
4,calendar,block_4_6,462,462,-0.007646554839271588,-0.013370453303549546,-0.20168816239624124,0.1698837924206249,0.487012987012987,0.7775291265625368,0.7825827617332136,-0.012177441650457642,0.48375528619829716,0.3783305796600367,-0.061003752078840685
