replicate,null,component,n_origins,n_finite_addition,mean_addition_cosine,median_addition_cosine,q25_addition_cosine,q75_addition_cosine,positive_addition_fraction,mean_addition_previous_speed,mean_addition_next_speed,mean_full_cosine,mean_deletion_outgoing_cosine,mean_deletion_attributed_fraction,mean_full_residual_cosine
0,calendar,market_1,450,450,-0.018511269550716847,-0.022001849446161674,-0.10739400593368531,0.07228439822114462,0.43555555555555553,0.047627161999595546,0.047494958124924345,0.011946737769291,0.6428437204820011,0.42258366193654967,-0.09427106905055199
0,calendar,block_2_3,450,450,-0.010744904324932712,-0.010118904257561711,-0.1490580836099592,0.1320707976426753,0.47333333333333333,0.3143830598228369,0.31437970268158844,0.007646418583483532,0.6142240618840183,0.4236891046075339,-0.08320418413812654
0,calendar,block_4_6,450,450,0.0023555092780475025,-0.0008403121996818819,-0.13237383334865707,0.13958417052579614,0.49777777777777776,0.7192792752819356,0.7184110225444101,0.02445724879769047,0.5732140763617996,0.41216243809735403,-0.04713544012509165
0,calendar,top_3,450,450,-0.011441054253118128,-0.009276198696756728,-0.14522521322196108,0.12782039729318145,0.4688888888888889,0.31751951976365245,0.317511564570724,0.00683299044760608,0.6144945328203776,0.4229278943607316,-0.08399922634979294
0,calendar,top_6,450,450,-0.004417498896783781,-0.004588525729873278,-0.1302482201850601,0.11584751674939153,0.49333333333333335,0.7072778957039663,0.7061985535967793,0.027534857680871154,0.5874631861533094,0.41963491379799805,-0.05323002086740606
0,calendar,flag_nested,450,450,-0.0024960231092089934,-0.00453463009074531,-0.10704268851215562,0.10841539103136384,0.4822222222222222,0.35501442374042425,0.3546880526629004,0.019127652383015885,0.5841460796044708,0.4010077871065418,-0.05859954777781053
1,calendar,market_1,450,450,-0.00519502441515556,-0.0025821440020409123,-0.08968890017320506,0.0791451355645546,0.4888888888888889,0.048107155649319125,0.04815867598823137,0.019115878649745746,0.6447540494605412,0.4230801755537721,-0.09885821460273007
1,calendar,block_2_3,450,450,0.009342668463885484,0.0102049482670603,-0.13129299791450458,0.14391292038148423,0.5266666666666666,0.3095145023341156,0.3096438987933563,0.05782963224256055,0.5968079152139284,0.4095907570059598,-0.06803784517040146
1,calendar,block_4_6,450,450,0.031082152968584426,0.04084406002333035,-0.1275916593088932,0.1720524789541921,0.5666666666666667,0.7614148364923221,0.762772102731693,0.04799092226119941,0.5249618160015603,0.3816368387986676,-0.02613581090412353
1,calendar,top_3,450,450,0.008565957229475112,0.004525463191050277,-0.12846720114548546,0.13971832777893634,0.5111111111111111,0.3127334007254871,0.3128711405248279,0.05688549289229412,0.5978225802524197,0.40895519784379025,-0.06849048919582729
