replicate,null,component,n_origins,n_finite_addition,mean_addition_cosine,median_addition_cosine,q25_addition_cosine,q75_addition_cosine,positive_addition_fraction,mean_addition_previous_speed,mean_addition_next_speed,mean_full_cosine,mean_deletion_outgoing_cosine,mean_deletion_attributed_fraction,mean_full_residual_cosine
0,volatility,market_1,450,450,0.008767848004171873,0.01007044492551919,-0.07462540473838694,0.09783061825628331,0.52,0.04984150085979876,0.049865012943015166,0.047383140103433675,0.6482428839795633,0.4291987014419518,-0.08227864025067873
0,volatility,block_2_3,450,450,0.052339490605675346,0.04593591085354093,-0.0762446919041449,0.20216424909766578,0.6044444444444445,0.3177442842671201,0.31804446422789395,0.059375520645697406,0.6148222409188266,0.4286206805340593,-0.06288821734157173
0,volatility,block_4_6,450,450,-0.0017485244707375082,0.01020064822979566,-0.1503654946953129,0.14198824700545437,0.5222222222222223,0.7512977338847203,0.753787819594689,0.025410874057505452,0.5340269236259961,0.38313202790996614,-0.058757678335783145
0,volatility,top_3,450,450,0.05091249268606541,0.046330387094194805,-0.07310507837740778,0.19853067725464113,0.5977777777777777,0.3211415875353071,0.3214431735287132,0.058546953539983654,0.6157547779559659,0.4283876671620856,-0.06367706519290478
0,volatility,top_6,450,450,-0.010231488204051288,-0.00779947740871204,-0.13104827352157938,0.11647798378582241,0.48444444444444446,0.7437394534973628,0.7461182841225469,0.04051211115867525,0.549137082353205,0.38531997889461556,-0.0523785416239393
0,volatility,flag_nested,450,450,0.006566173062560296,0.010588866055760255,-0.11085186037250769,0.12273420490306937,0.5311111111111111,0.36728347436271036,0.36821376587626764,0.035367030487271967,0.5587035229842867,0.3847032862424647,-0.05903719751963917
1,volatility,market_1,450,450,0.01761459942020748,0.01165503257526643,-0.08635784263664528,0.1120480841232599,0.5333333333333333,0.049661098541057644,0.04971116474018455,0.06889185095110946,0.6422853569363014,0.4234884796274328,-0.06521742199350036
1,volatility,block_2_3,450,450,0.03866343269411676,0.04307986192813483,-0.11106513654465647,0.19088996096815433,0.5844444444444444,0.32304398182831645,0.32713144971706065,0.06511151656989872,0.612117794408712,0.4346750508934027,-0.0552991277229401
1,volatility,block_4_6,450,450,0.03126153784649412,0.0381605568556857,-0.12606431794660844,0.19388812797186056,0.5733333333333334,0.7986890846507457,0.8020767976830199,0.029758840995897703,0.49762147686236885,0.3821734164361895,-0.02356559677649788
1,volatility,top_3,450,450,0.036721660934616755,0.04096056758188654,-0.11124612308480449,0.1853632426195859,0.5844444444444444,0.3264557242479474,0.330529809807888,0.06340423620692948,0.6130309786317404,0.43410733150863623,-0.056850596765453114
1,volatility,top_6,450,450,0.028390731093303555,0.025998655231960995,-0.09889508700251864,0.17498282859081643,0.5444444444444444,0.7851711260425174,0.7865810976378824,0.033614976954696514,0.5069694522462105,0.387500936800227,-0.018965377980914747
1,volatility,flag_nested,450,450,0.029521308005307847,0.031829445226195824,-0.07951173847148356,0.16173598130989747,0.5777777777777777,0.38455850321226553,0.386647873602137,0.03953223058528971,0.5267788439889189,0.37716617117952456,-0.02837186701044986
2,volatility,market_1,450,450,0.012950799883410918,0.02723751007485221,-0.10225783878842043,0.11041210831928751,0.5488888888888889,0.05046655557434257,0.05043160110968951,0.06483316504883958,0.6438145835309762,0.42375631291937227,-0.06034892395458255
2,volatility,block_2_3,450,450,0.0449225370112448,0.02201872934873962,-0.10049621240080153,0.1866954810973691,0.5377777777777778,0.30834928960800134,0.30897643435713273,0.08186809024230829,0.6237267083585237,0.42529307002508393,-0.04509123203789037
2,volatility,block_4_6,450,450,0.01574007416400425,0.012414853691765152,-0.12783120219005228,0.17697983043564167,0.5266666666666666,0.7468467641658495,0.7497497210472529,0.07443910233408661,0.5482278784071252,0.40714909001699806,-0.008700204745380523
2,volatility,top_3,450,450,0.043756999620515304,0.020998945021415888,-0.09950433069452433,0.18418823357296482,0.54,0.3117486507275526,0.3123737033402485,0.08074379287643625,0.6243563054652125,0.42494248378416644,-0.04615310203451993
2,volatility,top_6,450,450,0.007069809644033006,0.009204662463688895,-0.12206805363401384,0.1392439278978016,0.5177777777777778,0.7407319616208933,0.7435325808171181,0.07886495471475706,0.5554506729474918,0.4147185196404938,-0.011700137571881477
2,volatility,flag_nested,450,450,0.020104514567019317,0.010766942773135333,-0.09081678398502299,0.14068321811830756,0.5177777777777778,0.3630290045478625,0.3641902909455842,0.07574795014478883,0.5674293921704698,0.4019171167241705,-0.01685304786638241
3,volatility,market_1,450,450,0.0015450590503039397,0.005130380984517158,-0.08895045879407473,0.09446415678708411,0.52,0.05012184101640685,0.050210754527029465,0.043610011454785214,0.646572544650288,0.4275317902526446,-0.07450989242189537
3,volatility,block_2_3,450,450,0.025708643049621668,0.03140863644567032,-0.12180846336068492,0.16866151725843415,0.5622222222222222,0.30965073964481077,0.31006373866018816,0.060114906111083576,0.6142782184451637,0.4262725525282458,-0.049299020554248126
3,volatility,block_4_6,450,450,0.010032552847445007,0.01427221559751251,-0.15240438528170258,0.18788831614594784,0.5133333333333333,0.8129884934333826,0.8118101631263608,0.012168626780746315,0.47977870887347723,0.3753806369333182,-0.02159093482260191
3,volatility,top_3,450,450,0.02505259081190119,0.033381372107672995,-0.11895456805863701,0.16298867289754043,0.5577777777777778,0.31316091518339306,0.3135788822403227,0.059287012521090095,0.6149927908577238,0.4256166069983274,-0.05059601250467024
3,volatility,top_6,450,450,0.008847088285300155,0.013049309114398938,-0.14089822113455275,0.15750569679570586,0.5311111111111111,0.8093798407420729,0.8079293964921123,0.013652698881462023,0.490844517878878,0.37741793822631114,-0.023800026798772703
3,volatility,flag_nested,450,450,0.012745406122824801,0.01693061239780136,-0.1045902717128335,0.14532084008201124,0.5333333333333333,0.38801867074432345,0.38766417490411387,0.022873818363947467,0.5128171387688962,0.36828137723274473,-0.02668106058803064
4,volatility,market_1,450,450,0.018515789616426217,0.012966033695033213,-0.08616472245924181,0.12143408385241915,0.5377777777777778,0.049685180871635176,0.049723238450021426,0.0629316116521008,0.6454437438240883,0.42498983090449133,-0.05945975242127891
4,volatility,block_2_3,450,450,0.03815385319120791,0.04159300167451027,-0.1110519493264641,0.19659271060162337,0.5844444444444444,0.3378836206840142,0.3390017027169977,0.03703152499199109,0.5831164024736722,0.42651646300370205,-0.05844773629172268
4,volatility,block_4_6,450,450,0.004525680458764102,0.015643634926047173,-0.13536564720742722,0.1492068985590488,0.5222222222222223,0.7830164556809376,0.7840750382366249,0.02574459237952136,0.5006969440288332,0.37928812828208114,-0.02992164026806017
4,volatility,top_3,450,450,0.0379116709945071,0.039656948749780964,-0.11099705651777705,0.19110883018584912,0.5911111111111111,0.34121679632348684,0.34233403396954404,0.036938513093143555,0.5838923086967811,0.42588242241162044,-0.05899382692730121
4,volatility,top_6,450,450,-0.0027549293100491666,-0.002276099148789453,-0.13210897140067687,0.1380994385993791,0.49333333333333335,0.7614528923374242,0.7624568324978085,0.038135288655219444,0.5229651097913944,0.38528593177536524,-0.02656673966605543
