label,T,component,observed,calendar_null_mean,calendar_p,volatility_null_mean,volatility_p,calendar_p_holm,volatility_p_holm
cac40_full,250,market_1,0.0149977420167942,-0.088309606111678,0.01,-0.05155328047780438,0.01,0.04,0.04
cac40_full,250,block_2_3,-0.0076907397175604,-0.05753550482686872,0.02,-0.027595340199907264,0.12,0.04,0.12
cac40_full,250,block_4_6,-0.0164048642307948,-0.020675802680443712,0.4,-0.006145137555742454,0.8,0.4,0.8
cac40_full,250,top_3,-0.0070882192270031,-0.05798160318736178,0.02,-0.02812301305868448,0.1,0.04,0.1
cac40_full,250,top_6,-0.0116085423924206,-0.022825015754076045,0.23,-0.00809627356137765,0.58,0.23,0.58
cac40_full,250,flag_nested,-0.012757513676868,-0.03044984026468676,0.09,-0.01128659716700145,0.55,0.09,0.55
dax_full,250,market_1,0.0068587903368287,-0.09010502553266916,0.01,-0.05134290964481105,0.01,0.04,0.04
dax_full,250,block_2_3,0.0060723263482327,-0.05568734828450392,0.01,-0.02680471261451495,0.04,0.04,0.08
dax_full,250,block_4_6,-0.0022451632383722,-0.03938191654069126,0.02,-0.01962189624968785,0.2,0.04,0.4
dax_full,250,top_3,0.0056800789263006,-0.0562111737656034,0.01,-0.02723678825161231,0.04,0.04,0.08
dax_full,250,top_6,-0.004055033792253,-0.047729618235706255,0.01,-0.03177327583610834,0.07,0.04,0.21000000000000002
dax_full,250,flag_nested,0.0012818860452643,-0.046097651575225135,0.02,-0.023865532083856625,0.06,0.04,0.12
nikkei_full,250,market_1,0.003966128109473,-0.09383575951288607,0.01,-0.06846924075910478,0.01,0.04,0.04
nikkei_full,250,block_2_3,-0.0007665907679396,-0.07817581808983813,0.01,-0.05117404936391735,0.01,0.04,0.04
nikkei_full,250,block_4_6,-0.0055771034137829,-0.043030625360480176,0.01,-0.027434984555385105,0.06,0.04,0.18
nikkei_full,250,top_3,-0.0019915053763122,-0.07879659902940034,0.01,-0.05212011368132011,0.01,0.04,0.04
nikkei_full,250,top_6,-0.0154829382354136,-0.044963921000769846,0.01,-0.02969545597900011,0.08,0.04,0.21000000000000002
nikkei_full,250,flag_nested,-0.0066470328823767,-0.052760722641963964,0.01,-0.03416627292004196,0.02,0.04,0.08
sp500_full,357,market_1,0.03883025643927,-0.0642736185928976,0.01,-0.031786404044807454,0.01,0.04,0.04
sp500_full,357,block_2_3,0.0626577229082247,-0.032531533680660765,0.01,0.00889542112693698,0.02,0.04,0.06
sp500_full,357,block_4_6,0.0314974605597307,-0.042679892627244816,0.01,-0.01029787282049346,0.03,0.04,0.12
sp500_full,357,top_3,0.0590616739209518,-0.03354672363863519,0.01,0.006978229372760653,0.02,0.04,0.06
sp500_full,357,top_6,0.0151742533588902,-0.055622748094697465,0.01,-0.02545980998220214,0.01,0.04,0.04
sp500_full,357,flag_nested,0.0337761397505083,-0.04238944349923254,0.01,-0.008395101429087632,0.02,0.04,0.08
