replicate,null,component,n_origins,n_finite_addition,mean_addition_cosine,median_addition_cosine,q25_addition_cosine,q75_addition_cosine,positive_addition_fraction,mean_addition_previous_speed,mean_addition_next_speed,mean_full_cosine,mean_deletion_outgoing_cosine,mean_deletion_attributed_fraction,mean_full_residual_cosine
0,calendar,market_1,446,446,-0.005209361513104888,-0.014760398714885187,-0.07624383228821466,0.06415680266134083,0.43946188340807174,0.040473343273146556,0.04044298956859634,0.0163800773092402,0.661020151620742,0.4433260314525973,-0.06954317502770169
0,calendar,block_2_3,446,446,0.04028179619302503,0.03223595907779471,-0.19555016905731162,0.2599963601280619,0.5358744394618834,0.25605931521857994,0.25603577852285697,0.060593380164614186,0.6390737082690968,0.4874623612238348,-0.019174512103724173
0,calendar,block_4_6,446,446,0.006596335605284558,0.007546036999808461,-0.1853339000260275,0.16892917821820436,0.5089686098654709,0.439036763619012,0.4392203936862865,0.025103442176575338,0.5918751308668915,0.45600331614651834,-0.061208646167511246
0,calendar,top_3,446,446,0.03861701409082338,0.0313790931275645,-0.1901808840984981,0.24653702709743136,0.5358744394618834,0.2592387906696789,0.25920388232671515,0.05977670068047417,0.6405658381264596,0.48657411996326,-0.02108764508436282
0,calendar,top_6,446,446,-0.0125438667643563,0.0011342591192085875,-0.11622553457722819,0.11159298488618442,0.5,0.39275786376900307,0.3929574833915878,-0.0023126286179343826,0.6022339312172525,0.4397411487542132,-0.07905009642864008
0,calendar,flag_nested,446,446,0.01046794091017457,0.008507825159268968,-0.139731108780857,0.13049125499006559,0.5112107623318386,0.23272878738460218,0.23277548553876254,0.031067351874056202,0.6118005704789146,0.4539449355137356,-0.05670063978082684
1,calendar,market_1,446,446,0.004011049578586616,-0.006821382811519004,-0.07200301072958529,0.07051715684223638,0.47757847533632286,0.040439222374492094,0.04045978572386327,0.018881710999529837,0.6667047300041833,0.45116578556355963,-0.06756494686304308
1,calendar,block_2_3,446,446,-0.008139693007718931,-0.005715041656158937,-0.20698573006638327,0.18559781854979,0.49327354260089684,0.2554023902714939,0.25597895930960146,0.012274119227416891,0.6150079759288131,0.48184448559539833,-0.05604460295054346
1,calendar,block_4_6,446,446,0.005883844496166447,0.02112657914476497,-0.1559620214976261,0.18682937997871002,0.5291479820627802,0.42532925484373707,0.42598915638034385,0.014125245670382916,0.5967845525164884,0.4518461844582439,-0.039169504812539405
1,calendar,top_3,446,446,-0.008727856973094994,-0.009785415027735993,-0.1992615146591647,0.1768963844226668,0.4910313901345291,0.2587345079680118,0.2592990024098242,0.011521775117531566,0.6161485657477024,0.48001615952421683,-0.056919403264105425
