component,n_triples,mean_cosine,median_cosine,q25_cosine,q75_cosine,mean_residual_cosine,median_residual_cosine,q25_residual_cosine,q75_residual_cosine,mean_erse_outgoing_cosine,median_erse_outgoing_cosine,q25_erse_outgoing_cosine,q75_erse_outgoing_cosine,mean_outgoing_erse_attributed_fraction,median_outgoing_erse_attributed_fraction,q25_outgoing_erse_attributed_fraction,q75_outgoing_erse_attributed_fraction,mean_outgoing_residual_energy_fraction,median_outgoing_residual_energy_fraction,q25_outgoing_residual_energy_fraction,q75_outgoing_residual_energy_fraction,mean_incoming_speed,median_incoming_speed,q25_incoming_speed,q75_incoming_speed,mean_outgoing_speed,median_outgoing_speed,q25_outgoing_speed,q75_outgoing_speed,positive_fraction,all_positive_window_fraction,mean_positive_correlation_fraction,replicate
market_1,446,-0.006596914865704792,-0.009966782299596825,-0.0725230484255456,0.06360682615968438,0.0001708017438027839,-0.003321421535802788,-0.06742737700485602,0.06988467684520047,-0.08566911212211442,-0.08477135181713855,-0.12592790889827762,-0.042608008424464994,0.011216325831376502,0.007279497784405231,0.0021576699827772494,0.01585804993755971,0.9887836741686236,0.9927205022155947,0.9841419500624403,0.9978423300172228,0.05416449166006604,0.05351523086554459,0.049475479919937476,0.05806568306663016,0.054070774901910104,0.05345002276894052,0.049381786780343946,0.05800108422024551,0.47533632286995514,0.0,0.9925079872227017,0
block_2_3,446,0.025817502188577958,0.023059657136812826,-0.15298053140541162,0.2263339546941553,0.025896151754625472,0.022908028362729038,-0.15333509591452932,0.2263339546941553,-0.0025677155003689927,-0.0030247104965427586,-0.02113182522060539,0.01413083647506992,0.0003755964562701151,0.0,0.0,0.0001268537660674418,0.9996244035437298,1.0,0.9998731462339325,1.0,0.35202719470072324,0.25747213447620665,0.20194519119685114,0.3771243146807145,0.3506616347816552,0.257057153480742,0.20154860517165651,0.37672159346283746,0.531390134529148,0.0,0.9925079872227017,0
block_4_6,446,0.018026041418304245,0.018958351089273892,-0.1665293029513374,0.20007879267168782,0.018058431756747595,0.01892483061983018,-0.16658904830417315,0.20008188922839143,-0.0015810716486058104,-0.0009874426768625574,-0.010816771782256077,0.009310743103446074,0.00025012024944351857,5.673825632368512e-05,2.0476630477328506e-06,0.00025128706889054886,0.9997498797505565,0.9999432617436763,0.9997487129311095,0.9999979523369522,0.5968476059327896,0.49604530540859826,0.41399581810001734,0.6927442935900683,0.5958428872239403,0.4954625275315471,0.4134127063739389,0.691157284682112,0.5269058295964125,0.0,0.9925079872227017,0
top_3,446,0.02579468590625901,0.025513947161179225,-0.1489105134397427,0.21745662941787566,0.026110938708790485,0.02581443015429747,-0.14901056841659757,0.21810261933737277,-0.016763131946865246,-0.014254496835413143,-0.02428648125563569,-0.006318916413920248,0.0004944871402091137,0.00020707620338744626,4.987862622563011e-05,0.0005898331769474963,0.9995055128597908,0.9997929237966126,0.9994101668230525,0.9999501213737744,0.3563608298738764,0.2633953541256955,0.207655391265802,0.38025929544627857,0.35500827279674485,0.2615735882504657,0.20728108410813917,0.3800381947825283,0.5358744394618834,0.0,0.9925079872227017,0
top_6,446,0.025063741091122155,0.018571713525447037,-0.11523295526752465,0.1630036690159199,0.02515488188362912,0.018526134617356506,-0.11528450939215078,0.16322911310551338,-0.009427786089281102,-0.00847240478753412,-0.014142085412525388,-0.004553072064986679,0.0001475678336359365,7.355826223642836e-05,2.272280338036503e-05,0.0001999985861214082,0.9998524321663641,0.9999264417377636,0.9998000014138786,0.9999772771966197,0.5292487951551014,0.4682617013449669,0.4182057705263076,0.5687574150087031,0.5283565399426333,0.46802084915337605,0.41666518562868526,0.5682361381463064,0.5381165919282511,0.0,0.9925079872227017,0
flag_nested,446,0.018845651634504135,0.01955815597081207,-0.12015334723538673,0.15264442315743526,0.019275872139790193,0.019798971322886307,-0.11977541096271427,0.1533447779698372,-0.020149262894742098,-0.018514426969384837,-0.029712090099717148,-0.008747775645364081,0.0006709394696546811,0.0003495165131061073,9.860834500724502e-05,0.0008828108965362735,0.9993290605303452,0.9996504834868939,0.9991171891034637,0.9999013916549928,0.3160898995613385,0.26694335166729805,0.22906896509982277,0.3437471692072387,0.3153167993234373,0.26646916787246666,0.22860905083677452,0.3427406881846013,0.5269058295964125,0.0,0.9925079872227017,0
market_1,446,0.014083601453806105,0.017702588581051067,-0.05805489895665801,0.08070270622870006,0.020942979929534842,0.027119715139065588,-0.04874614344037155,0.08892126721321181,-0.08512053426958748,-0.08479194602935183,-0.1260714927823554,-0.04883109478342644,0.010776979025140264,0.007263134055115195,0.0026436786005887003,0.01589402743006957,0.9892230209748598,0.9927368659448847,0.9841059725699304,0.9973563213994113,0.05430154534976149,0.05318486886928514,0.049115029031520735,0.058328344930636065,0.054275259876396274,0.05318486886928515,0.04909269501705238,0.058328344930636045,0.5739910313901345,0.0,0.9914338033293633,1
block_2_3,446,0.07219426304285052,0.1099460620961262,-0.1855590155088409,0.3458704149764874,0.0721688471281272,0.11032968471086835,-0.18800473570767762,0.3458704149764874,0.006756275782774838,0.005190941563664178,-0.01718693342098007,0.02722406717312338,0.0004558496601225418,0.0,0.0,3.75279417499097e-05,0.9995441503398774,1.0,0.9999624720582501,1.0,0.35644249719211923,0.2584905389371154,0.21654649729998748,0.3968406552789077,0.35053611464812406,0.2572525546139579,0.21654649729998754,0.3899956874805061,0.5964125560538116,0.0,0.9914338033293633,1
block_4_6,446,0.026143380115495933,0.034571599997523676,-0.14419047915513078,0.2061731111646892,0.026127720589772353,0.03402024113846161,-0.14415892014037426,0.20635032516877957,-0.0024771353295563524,-0.0016594681447840863,-0.01128454215718787,0.008927177046297488,0.00029500853703282525,5.361498552736155e-05,2.046809914280079e-06,0.000262475145271196,0.9997049914629673,0.9999463850144726,0.9997375248547288,0.9999979531900858,0.6028398570940838,0.4976174655511001,0.4103442868448541,0.6598945405091141,0.5972156767141271,0.49433581909745716,0.4086160272650876,0.6537283848987203,0.5560538116591929,0.0,0.9914338033293633,1
top_3,446,0.07015768298916442,0.10392041578227129,-0.17949514520573268,0.3347633303224078,0.07044226041111852,0.10422032635297954,-0.17809892207664196,0.335039024179771,-0.0166196648280105,-0.014633286637067955,-0.025071134392837296,-0.006248928539071265,0.00048066095937620077,0.00022565319413370144,5.005061140139766e-05,0.0006285906843271072,0.9995193390406238,0.9997743468058663,0.9993714093156729,0.9999499493885986,0.3606669455015954,0.26245475798507323,0.22190637886880618,0.40026314067916907,0.3547774565280467,0.2614006937750876,0.22190637886880638,0.3926634647097929,0.5964125560538116,0.0,0.9914338033293633,1
