,raw,raw,raw,raw,raw,raw,standardised,standardised,standardised,standardised,standardised,standardised,T,N,P,Q
,n_pairs,d_emp,d_th,excess,ratio,angle_deg,n_pairs,d_emp,d_th,excess,ratio,angle_deg,,,,
lag,,,,,,,,,,,,,,,,
14,171,0.0031299223448655817,0.04445993597084125,-0.041330013625975666,0.07039871462969088,,171,0.0020244082867672012,0.052422934161913744,-0.050398525875146545,0.038616844309297974,,357,357,3,6
28,170,0.006397017114916832,0.04441737195626253,-0.0380203548413457,0.14402061250305237,,170,0.004221332804805655,0.05238583228441012,-0.04816449947960447,0.08058157369510595,,357,357,3,6
42,169,0.009736004301130722,0.04439093211789432,-0.034654927816763596,0.219324169072946,,169,0.0065281651270745495,0.05236027145882764,-0.045832106331753095,0.12467783197434013,,357,357,3,6
56,168,0.013081869852741615,0.04438030876919505,-0.03129843891645343,0.29476743662995675,,168,0.008904787728988136,0.05234565866137625,-0.04344087093238811,0.17011511473364305,,357,357,3,6
70,167,0.016365767807221744,0.044380372367752094,-0.02801460456053035,0.36876139009400305,,167,0.011377083603609957,0.05233329517662606,-0.040956211573016106,0.21739666048568201,,357,357,3,6
84,166,0.019679306378721104,0.044406229984043394,-0.02472692360532229,0.4431654384034069,,166,0.01394698456580786,0.05233626280979959,-0.03838927824399173,0.26648797252669687,,357,357,3,6
98,165,0.023000061129673965,0.04444047612449202,-0.021440414994818056,0.5175475857919123,,165,0.016610948833536365,0.05234595919359102,-0.03573501036005466,0.31733010703088094,,357,357,3,6
112,164,0.026489781959440274,0.044474772076303334,-0.01798499011686306,0.5956136641688229,,164,0.019466418290076906,0.052359935691157704,-0.0328935174010808,0.37178079065831054,,357,357,3,6
126,163,0.029977078987841552,0.04450653800396271,-0.014529459016121158,0.6735432665010362,,163,0.022399260912173435,0.05237671447479156,-0.029977453562618123,0.4276568535614046,,357,357,3,6
140,162,0.03345968838765823,0.044527758744491545,-0.011068070356833312,0.751434371077513,,162,0.02537617340240022,0.05238774751880035,-0.02701157411640013,0.484391381654527,,357,357,3,6
154,161,0.03706692810439935,0.04455500179545956,-0.007488073691060214,0.8319364069283172,,161,0.028440212771721006,0.05240192202212055,-0.023961709250399546,0.5427322448156666,,357,357,3,6
168,160,0.040707728839411254,0.0445873515039977,-0.0038796226645864476,0.9129882683379702,,160,0.0315638518145682,0.05242167602061014,-0.020857824206041937,0.6021145108401063,,357,357,3,6
182,159,0.04442342738564525,0.044612751069334065,-0.00018932368368881208,0.9957562876273965,,159,0.03479359639789659,0.05243837502524944,-0.01764477862735285,0.6635140082266705,,357,357,3,6
196,158,0.048241988334597474,0.044637251620949524,0.0036047367136479505,1.080756242437564,8.411084446000773,158,0.03810844522927659,0.052453369212403726,-0.014344923983127138,0.7265204466649404,,357,357,3,6
210,157,0.052152787333365314,0.044671894702170284,0.00748089263119503,1.167463070037,12.093424896604308,157,0.041498659788793024,0.05247588615652087,-0.010977226367727848,0.7908138924041063,,357,357,3,6
224,156,0.05597793620441113,0.044702968895628525,0.011274967308782607,1.252219653131029,14.818521082193474,156,0.04491469545912141,0.052501271788899045,-0.007586576329777633,0.8554972847080297,,357,357,3,6
238,155,0.05991874275487313,0.044739985219923964,0.01517875753494917,1.3392660382057893,17.159927847977833,155,0.04840088107756222,0.052532346145021384,-0.004131465067459164,0.9213538825002447,,357,357,3,6
252,154,0.06395159808177428,0.04478296441588297,0.019168633665891312,1.4280340508028733,19.24525528370058,154,0.051912128370097316,0.05256782461485804,-0.0006556962447607229,0.9875266619921077,,357,357,3,6
266,153,0.0680569137871963,0.04483024371821215,0.023226670068984157,1.5181026945777767,21.141550213665735,153,0.05540690443871742,0.052612172700816286,0.0027947317379011377,1.0531194891682885,7.409028816302835,357,357,3,6
280,152,0.0720585994996491,0.04486448324900519,0.027194116250643913,1.606139072185723,22.830489241715558,152,0.058846502817632,0.052648220133554594,0.006198282684077405,1.1177301467809169,11.01506795654758,357,357,3,6
294,151,0.07606236089558552,0.044910900816234486,0.03115146007935103,1.693628039366566,24.38669495943562,151,0.06238940955573903,0.052694348694355866,0.009695060861383165,1.1839867291579527,13.752012579567728,357,357,3,6
308,150,0.08018064836537811,0.044960886662553476,0.035219761702824634,1.7833422407160417,25.877249730722564,150,0.06597013743759156,0.052745616811159524,0.013224520626432035,1.2507226462774834,16.03292783621319,357,357,3,6
322,149,0.08441493740167842,0.045014957509124015,0.03939997989255441,1.8752641804575398,27.31234577557562,149,0.06960839704412972,0.052798031617502766,0.01681036542662695,1.3183900026502928,18.043905005937127,357,357,3,6
336,148,0.08888698949154424,0.04506610761999114,0.04382088187155309,1.972368908383699,28.73984073562631,148,0.07340907259645753,0.05284868455938219,0.020560388037075335,1.3890425695264588,19.91775516715369,357,357,3,6
350,147,0.09361300146357687,0.04511827009289525,0.048494731370681624,2.0748357876052093,30.162532705297274,147,0.07727753442552546,0.05290323758678716,0.024374296838738298,1.460733557161838,21.64507407645363,357,357,3,6
364,146,0.09720343077966867,0.0451682686241549,0.05203516215551377,2.1520291510063907,31.188419497868104,146,0.07993101045295396,0.05295860471791245,0.02697240573504151,1.5093111096621943,22.73976507114716,357,357,3,6
378,145,0.09885100750610014,0.04521548542675103,0.05363552207934911,2.1862201980832103,31.638831434733316,145,0.08119774737255415,0.05300870076250713,0.028189046610047022,1.5317815038769076,23.2327581214209,357,357,3,6
392,144,0.10046460993317179,0.045269660385950455,0.05519494954722133,2.2192481471398713,32.07022502621412,144,0.08241447324883314,0.053064280071207635,0.0293501931776255,1.5531064048780103,23.6925914269083,357,357,3,6
406,143,0.10216844286749459,0.04532589364802104,0.05684254921947355,2.2540855710619914,32.518301662571595,143,0.08360054652410977,0.0531236521144285,0.030476894409681266,1.5736972741262958,24.129394059801538,357,357,3,6
420,142,0.10390817505553442,0.04538396695804117,0.058524208097493244,2.2895348736614545,32.96780585073602,142,0.08476760799369626,0.053186609298227314,0.031580998695468945,1.5937772516835647,24.54894633894346,357,357,3,6
434,141,0.10551854012546091,0.045438079532275764,0.06008046059318515,2.322249118176497,33.37701628765234,141,0.08587437507305318,0.053244925129717076,0.0326294499433361,1.61281802657893,24.939961670845427,357,357,3,6
448,140,0.10726965282468766,0.045483731805028293,0.061785921019659365,2.358418022613282,33.81827427267937,140,0.08695221009851531,0.05329959441137101,0.0336526156871443,1.6313859619157778,25.314932939156023,357,357,3,6
462,139,0.10882959996314143,0.04553011838654407,0.06329948157659736,2.390277113694148,34.20381767455816,139,0.08799552201442519,0.053350715189927934,0.034644806824497255,1.6493784891385643,25.67258697725464,357,357,3,6
476,138,0.11035532091074803,0.045581258645854085,0.06477406226489393,2.4210678728325457,34.57414011969033,138,0.08901607832641228,0.053400871557672716,0.03561520676873957,1.6669405522768537,26.01694012077395,357,357,3,6
490,137,0.11198516409994172,0.04563250081899831,0.06635266328094341,2.4540658979908154,34.964990021690234,137,0.09002423520267037,0.05344366538414276,0.036580569818527614,1.6844697038572023,26.354373892262895,357,357,3,6
504,136,0.11353516423892597,0.0456849984340863,0.06785016580483967,2.485173867363331,35.33058521946562,136,0.09101503146155718,0.053483256654629066,0.03753177480692811,1.7017481199638145,26.682042419103304,357,357,3,6
518,135,0.11510894903958717,0.04573468885600059,0.06937426018358658,2.5168849273691816,35.69766381399865,135,0.09209480707558867,0.05352699709429926,0.03856780998128941,1.7205300516549427,27.03369912209479,357,357,3,6
532,134,0.11659899404399382,0.04577900507194815,0.07081998897204567,2.546997119328873,36.041339941832184,134,0.09319900287990868,0.05356552957234089,0.039633473307567786,1.7399063095986442,27.38993504966531,357,357,3,6
546,133,0.11815278009941807,0.04583170406597093,0.07232107603344715,2.577970479329046,36.39364917237282,133,0.09439046646640256,0.05360821852335757,0.04078224794304499,1.7607461890433052,27.76797721220275,357,357,3,6
560,132,0.1195358950921012,0.045892431338460424,0.07364346375364078,2.60469736742676,36.70030252670494,132,0.09556601813899679,0.053646244286321254,0.041919773852675535,1.7814111576747276,28.136448142689016,357,357,3,6
574,131,0.1211050923741304,0.04593396765073089,0.07517112472339951,2.636504063724254,37.05034585565701,131,0.09671405799383422,0.05367190956972,0.04304214842411422,1.8019492648794677,28.494509859601926,357,357,3,6
588,130,0.12284463271454547,0.045975936105290924,0.07686869660925455,2.671933257285184,37.43417597704328,130,0.0979139722828396,0.05368650199032558,0.04422747029251402,1.8238098712500193,28.86694754276955,357,357,3,6
602,129,0.12488751178306087,0.046016023894467434,0.07887148788859344,2.7140004983802233,37.88027352816066,129,0.09915958299757101,0.05369512689665598,0.04546445610091503,1.8467147528753947,29.24960784305391,357,357,3,6
616,128,0.12713674878461295,0.046051938016289005,0.08108481076832394,2.760725265018021,38.36506955990075,128,0.10053041179477235,0.05369200052774448,0.04683841126702787,1.8723536244998893,29.6677299705091,357,357,3,6
630,127,0.129455206893572,0.046073694178634036,0.08338151271493797,2.8097422879019947,38.85937308305577,127,0.10206227947903829,0.053671101184520974,0.04839117829451731,1.901624472509865,30.131885249866507,357,357,3,6
644,126,0.13180662360952775,0.046093889379555504,0.08571273422997225,2.8595248824454655,39.35233553069323,126,0.10343839000391547,0.053633493205881955,0.049804896798033516,1.928615568761265,30.54707101355844,357,357,3,6
658,125,0.13409627110367953,0.04607469318009525,0.08802157792358428,2.910410506251847,39.832185307079044,125,0.10476100647926016,0.05357514419464773,0.051185862284612436,1.9554031641733969,30.946106802208284,357,357,3,6
672,124,0.13652494128099152,0.046057268354045,0.09046767292694652,2.964243129477764,40.3318021999689,124,0.1061404124840715,0.05350751673306573,0.052632895751005764,1.98365424083455,31.357581133506592,357,357,3,6
686,123,0.13889407552589803,0.046044532105433925,0.0928495434204641,3.0165161676060666,40.80995977795631,123,0.10735280531569992,0.053438404431173994,0.053914400884525926,2.0089073852114163,31.716513682736863,357,357,3,6
700,122,0.14133841407296777,0.046022323286936985,0.09531609078603079,3.0710838562355973,41.296757961688016,122,0.10857923412540331,0.053354681966914876,0.055224552158488434,2.0350460376229598,32.078344586875204,357,357,3,6
714,121,0.14366154519905594,0.04598196576091533,0.09767957943814061,3.1243019479860568,41.75551806375702,121,0.10995196572510955,0.05326287158341587,0.05668909414169369,2.0643266586352174,32.476894261634115,357,357,3,6
728,120,0.14617190025229593,0.04595702529433754,0.10021487495795839,3.1806214461471263,42.239543297333505,120,0.11137990106949246,0.053215836694291384,0.05816406437520107,2.092984118794105,32.872189834295845,357,357,3,6
742,119,0.1487071477925954,0.04593521785881429,0.10277192993378109,3.2373232287622793,42.71953989550367,119,0.11273786812219373,0.05316948667296849,0.059568381449225244,2.1203490042251993,33.243070023238715,357,357,3,6
756,118,0.15142588355116976,0.04587089903805294,0.10555498451311682,3.3011318009170036,43.23295107057065,118,0.11423795816816397,0.05312161698009603,0.06111634118806794,2.150498510069214,33.64591007021378,357,357,3,6
770,117,0.1543692283520202,0.04580842823399939,0.1085608001180208,3.369887033963896,43.77729358666517,117,0.11572320881548111,0.05307067902849766,0.06265252978698345,2.1805488630236023,34.03970625919863,357,357,3,6
784,116,0.15700966933832683,0.04575429771162263,0.11125537162670421,3.4315829810768315,44.2566232216104,116,0.1169258070403557,0.05302719368008712,0.06389861336026859,2.2050159347629954,34.35490210908047,357,357,3,6
798,115,0.15954822073824568,0.04570111582662359,0.11384710491162209,3.4911230908130135,44.71021108119465,115,0.11813947516016964,0.05298699968327131,0.06515247547689833,2.2295935959074096,34.66835260956628,357,357,3,6
812,114,0.16223104728889742,0.04564639192051918,0.11658465536837824,3.554082600249737,45.18164502117392,114,0.11936089018711751,0.052947151758328315,0.0664137384287892,2.254340152836317,34.9799981125337,357,357,3,6
826,113,0.16472279030455844,0.04559299969161838,0.11912979061294006,3.6128965283861407,45.61309097696133,113,0.1206416336086609,0.052911126984115014,0.06773050662454588,2.2800805895682386,35.30155340464202,357,357,3,6
840,112,0.16735309997476167,0.045526899086160054,0.1218262008886016,3.675916948748134,46.06319965184537,112,0.1220175345686693,0.05286661354399412,0.06915092102467518,2.308026302216799,35.64418237869132,357,357,3,6
854,111,0.16993410379417392,0.04546288444413883,0.12447121935003509,3.737864543174233,46.497958591458584,111,0.12336016411626415,0.05282446269472426,0.07053570142153989,2.3352847870724203,35.97410151409589,357,357,3,6
868,110,0.1729164780490874,0.04541160585073677,0.12750487219835063,3.8077595982279484,46.98859544927595,110,0.12461518424783634,0.05278932925370632,0.07182585499413002,2.3606131392375502,36.2779209257319,357,357,3,6
882,109,0.17565425933876688,0.0453726271866089,0.130281632152158,3.871370697057824,47.43041889202975,109,0.1260135584230313,0.0527644667123123,0.073249091710719,2.3882276515764866,36.60920853067209,357,357,3,6
896,108,0.1789009346206106,0.04532548280688946,0.13357545181372116,3.9470276661546717,47.945797393398664,108,0.12770461943209555,0.052732903037142974,0.07497171639495256,2.4217255655761156,37.00490598180158,357,357,3,6
910,107,0.18225178130645556,0.04527416604394653,0.136977615262509,4.025513824584824,48.4685193263864,107,0.12941308023462406,0.052696240330680454,0.0767168399039436,2.4558313728366317,37.40005678870441,357,357,3,6
924,106,0.18542163996277938,0.045220850388923706,0.14020078957385568,4.1003572106241535,48.95503187379924,106,0.13119859116792165,0.052658701874858174,0.07853988929306348,2.4914892790124443,37.80690800338238,357,357,3,6
938,105,0.18880793009889904,0.045172608054796455,0.1436353220441026,4.179699561952817,49.464427823493736,105,0.13301724560662112,0.05262610565462321,0.08039113995199791,2.5275905171397675,38.21403763933759,357,357,3,6
952,104,0.19239825641334865,0.045128223162989686,0.14727003325035898,4.263368750825033,49.993709830748486,104,0.13497650191719063,0.05260309573012412,0.08237340618706651,2.5659421759068426,38.643481181932586,357,357,3,6
966,103,0.1956834237622664,0.04508961363926177,0.15059381012300466,4.33987803328337,50.46917409853888,103,0.13667286999718653,0.052590665986989034,0.0840822040101975,2.598804701028116,39.00845517335247,357,357,3,6
980,102,0.1985753911639184,0.045061635879574444,0.15351375528434397,4.406750604762858,50.88034079484175,102,0.1382689180898387,0.052587730482392916,0.0856811876074458,2.6292999682907596,39.345722127337794,357,357,3,6
994,101,0.20147432972242932,0.04504706839922378,0.15642726132320553,4.472529220700652,51.28467946856666,101,0.1399390199894351,0.05259920237588773,0.08733981761354737,2.6604779857571614,39.69134345126978,357,357,3,6
1008,100,0.20439282425472854,0.04504078333217591,0.15935204092255262,4.537950034024294,51.684785595651405,100,0.1417237145596694,0.0526202159870661,0.0891034985726033,2.693332056913348,40.054259965589594,357,357,3,6
1022,99,0.2076521389983987,0.04503394218014606,0.16261819681825265,4.611014025104502,52.124905576687404,99,0.1436642723861349,0.05264421774281378,0.09102005464332114,2.728965849354763,40.44341388287415,357,357,3,6
1036,98,0.21096105050092928,0.04502606697145815,0.16593498352947114,4.685309303934023,52.564821042577364,98,0.1459246675855722,0.052664045336372034,0.09326062224920018,2.770859447912377,40.89167264981981,357,357,3,6
1050,97,0.21405215309239126,0.045015035268947325,0.16903711782344394,4.755125744398797,52.970028648247855,97,0.14802776400001183,0.05267729154515234,0.09535047245485949,2.8100868449762615,41.303484886990205,357,357,3,6
1064,96,0.21686080579587363,0.045005789801591596,0.17185501599428205,4.818509057432529,53.333013198701536,96,0.15008744381277148,0.05268976792599711,0.09739767588677437,2.848512144209282,41.70118679396985,357,357,3,6
1078,95,0.22003029487262224,0.044992352011116926,0.1750379428615053,4.890393256575164,53.737325260685694,95,0.15244300729176877,0.05270211675117794,0.09974089054059082,2.8925405029080076,42.149675331614176,357,357,3,6
1092,94,0.22271475105600258,0.04496614192664129,0.1777486091293613,4.9529432927411055,54.07699464045429,94,0.1548481636454591,0.0527045111999867,0.10214365244547241,2.9380438243301303,42.60234895544621,357,357,3,6
1106,93,0.2249522147118517,0.0449434174713789,0.1800087972404728,5.005231630529808,54.35701118113279,93,0.15732368012251732,0.05270942100059796,0.10461425912191936,2.9847355014719774,43.06043824961022,357,357,3,6
1120,92,0.2269054464471685,0.044916490166627916,0.1819889562805406,5.051718101868851,54.59998235814191,92,0.15972198391616646,0.05270982538065325,0.10701215853551321,3.0302127309795877,43.4981338029148,357,357,3,6
1134,91,0.2287244946484129,0.04488330969475288,0.18384118495366003,5.095981027333911,54.825297878513105,91,0.16205913060181737,0.052706185992088164,0.1093529446097292,3.0747648981116638,43.919040646135734,357,357,3,6
