mode,date,start,past_start,future_start,cosine,incoming_speed,outgoing_speed,static_loss,constant_velocity_loss,constant_velocity_skill
standardised,2001-08-06,42,0,84,0.47029452977787656,0.2916974554653904,0.2941012229626402,0.028275137520571498,0.02949460886495488,-0.043128750249089354
standardised,2001-08-24,56,14,98,0.21561003692365582,0.2231593991128988,0.3109277237918169,0.03157544508314647,0.03772232052103538,-0.1946726458392769
standardised,2001-09-20,70,28,112,0.24374570820723754,0.2486006150193338,0.3104552454103044,0.03142867270692854,0.03885782849772005,-0.2363814679693339
standardised,2001-10-10,84,42,126,0.012054595180462275,0.29410122296264024,0.31577690395564006,0.03248786467677833,0.05805659299727761,-0.7870239726397066
standardised,2001-10-30,98,56,140,0.33709037509445483,0.3109277237918174,0.25194418313194844,0.020877208296551746,0.03472985139827826,-0.6635294769758335
standardised,2001-11-19,112,70,154,0.06792196169584695,0.31045524541030484,0.248166319062411,0.020301026893045766,0.04729699196568878,-1.329783227955362
standardised,2001-12-10,126,84,168,0.07436725670013312,0.31577690395563995,0.20014468416219675,0.013270428521348965,0.0421523348041745,-2.176410975452783
standardised,2001-12-31,140,98,182,0.01527655136190939,0.25194418313194833,0.24546968694849966,0.019865472690161628,0.03946117219631592,-0.9864199967342864
standardised,2002-01-22,154,112,196,0.1856870481428213,0.2481663190624108,0.2360849428275934,0.018389570045864723,0.031145386505751382,-0.6936440834708406
standardised,2002-02-11,168,126,210,0.031368050284367247,0.20014468416219688,0.2911166319616788,0.027734853976013312,0.039246040704548214,-0.415044071928067
standardised,2002-03-04,182,140,224,-0.09687720376378726,0.2454696869484998,0.2813271067903985,0.02590089630602869,0.04895975684966484,-0.8902726867513449
standardised,2002-03-22,196,154,238,-0.10775315897723008,0.2360849428275935,0.28566938215093496,0.02672427591573312,0.04875441026684513,-0.824349158068018
standardised,2002-04-12,210,168,252,0.1040967607361148,0.29111663196167864,0.21015423107758197,0.014623994749976,0.03767714934376546,-1.5763924281925288
standardised,2002-05-02,224,182,266,-0.03229861095173979,0.2813271067903985,0.25486245148955355,0.021436954520213842,0.04781023970004483,-1.2302720125175646
standardised,2002-05-22,238,196,280,0.07936009359099215,0.28566938215093524,0.2467756704501048,0.020111620891209103,0.042403784191559435,-1.108422012374664
standardised,2002-06-12,252,210,294,0.21314610212378057,0.21015423107758216,0.25963108066207274,0.022245671612839708,0.028933963989481743,-0.300655898057117
standardised,2002-07-02,266,224,308,-0.035828242383567105,0.254862451489553,0.2995327570845377,0.029468578703209552,0.051654278726512036,-0.7528595201941701
standardised,2002-07-23,280,238,322,0.01404615325026934,0.2467756704501046,0.26956740684388947,0.0239422388039013,0.042770193587933804,-0.7863907355633157
standardised,2002-08-12,294,252,336,0.12995924075901433,0.2596310806620727,0.22406196455255703,0.01660899777880583,0.033468610087160545,-1.0150890820076266
standardised,2002-08-30,308,266,350,-0.06188539606331477,0.29953275708453747,0.21325184016752025,0.01505742658050376,0.04641946900230757,-2.0828288455619064
standardised,2002-09-20,322,280,364,-0.10968242300108215,0.2695674068438897,0.22514777114124687,0.016767076107734685,0.044337559293447626,-1.6443226599892764
standardised,2002-10-10,336,294,378,0.004199918301220869,0.22406196455255722,0.24617296401963443,0.019997419876589245,0.035922979368603336,-0.7963807126267306
standardised,2002-10-30,350,308,392,0.06581351749973112,0.21325184016752052,0.2443343133660883,0.019707457744917296,0.03212310402070647,-0.6299973561527115
standardised,2002-11-19,364,322,406,0.11256747082542748,0.22514777114124676,0.2476766018037238,0.020240680619086387,0.032456393771894465,-0.6035228450415353
standardised,2002-12-10,378,336,420,0.0399228489347674,0.24617296401963434,0.20784679528055092,0.014305860139071758,0.032566263273872874,-1.2764281879793318
standardised,2002-12-31,392,350,434,0.20845586693575505,0.24433431336608827,0.25946872296016715,0.022184478991984353,0.03280351839323048,-0.47866976750199886
standardised,2003-01-22,406,364,448,0.13519411323132566,0.24767660180372403,0.23067384449429437,0.017582605667376978,0.032352888157686145,-0.8400508303336498
standardised,2003-02-11,420,378,462,0.1698650887060958,0.20784679528055083,0.20293326021828464,0.013642519048130334,0.02302335226107018,-0.6876173806204406
standardised,2003-03-04,434,392,476,0.254264401646829,0.2594687229601671,0.21826581983218077,0.015757681841449173,0.02820091191539002,-0.7896612077298097
standardised,2003-03-24,448,406,490,0.11045558083845496,0.2306738444942944,0.24591116781292613,0.019921550110027386,0.03305046434576164,-0.6590307563027387
standardised,2003-04-11,462,420,504,-0.023422321171140393,0.20293326021828453,0.3358311319385179,0.03650769461054626,0.0505222293847288,-0.38387893083048996
standardised,2003-05-02,476,434,518,-0.05806777965136081,0.21826581983218077,0.31005754321685924,0.03143544705076969,0.04899879697117108,-0.5587116318732726
standardised,2003-05-22,490,448,532,-0.04096011502959948,0.24591116781292596,0.2502961665961728,0.02066552179945343,0.04150899171592659,-1.0086108697736553
standardised,2003-06-12,504,462,546,-0.18093247753547492,0.33583113193851827,0.22503652277027344,0.016733098691272968,0.060600762548678855,-2.621610298652261
standardised,2003-07-02,518,476,560,-0.07375864492602366,0.3100575432168593,0.23161762599456767,0.01773150290847954,0.05135439802649433,-1.8962236473443932
standardised,2003-07-23,532,490,574,0.04861743432323763,0.25029616659617315,0.30379479479174437,0.030159205471723016,0.04763433057139214,-0.5794292265442349
standardised,2003-08-12,546,504,588,-0.005005821976448543,0.22503652277027325,0.40077779111651274,0.051275253905074404,0.06669362943972897,-0.30069818012405203
standardised,2003-09-02,560,518,602,0.124650956499858,0.23161762599456767,0.37681320677246866,0.045639696141621666,0.05535026292755596,-0.2127658071123446
standardised,2003-09-22,574,532,616,0.5651647052981703,0.303794794791744,0.3440157864247188,0.03831460728038364,0.02990599291468173,0.2194623659892493
standardised,2003-10-10,588,546,630,0.5073906256251248,0.40077779111651285,0.3138768787251248,0.032187745810049684,0.04196726316615207,-0.303827345158449
standardised,2003-10-30,602,560,644,0.6280726774801144,0.37681320677246855,0.3830826628294722,0.047330068400726656,0.03436794879104221,0.27386648799952795
standardised,2003-11-19,616,574,658,0.07911242172611714,0.3440157864247191,0.27993308054995014,0.025725378663183324,0.05745396730119682,-1.2333574970238095
standardised,2003-12-10,630,588,672,0.14574576314143564,0.3138768787251248,0.2888253983827744,0.027372640930110492,0.049840665718682654,-0.820820499050088
standardised,2003-12-31,644,602,686,-0.25146217960126455,0.38308266282947223,0.2982787733956157,0.029146985767894023,0.09037695254357365,-2.10073066433942
standardised,2004-01-22,658,616,700,0.22248394758686416,0.2799330805499501,0.23310090847885623,0.017959260315690173,0.03377234601520603,-0.8804976052215636
standardised,2004-02-11,672,630,714,-0.12860935816642793,0.2888253983827743,0.657757341487787,0.12640877804252856,0.15834759247330302,-0.25266294734713024
standardised,2004-03-03,686,644,728,-0.5822839726501461,0.2982787733956157,0.6724093202253337,0.13212663835654478,0.20652171743713618,-0.5630588956621729
standardised,2004-03-23,700,658,742,-0.21983271249429193,0.23310090847885606,0.6864731203202257,0.13725418955448868,0.1693469234848853,-0.23381970367947202
standardised,2004-04-13,714,672,756,-0.14181336821475,0.6577573414877865,0.2633251318839524,0.02285411290245598,0.1560184610742983,-5.8267126245592324
standardised,2004-05-03,728,686,770,-0.09751948727041482,0.6724093202253333,0.25875643926101505,0.022085959565350272,0.1565644247670881,-6.088866766410068
standardised,2004-05-21,742,700,784,-0.22023238320788924,0.6864731203202254,0.2750871820882544,0.024919402310006777,0.17459350883902566,-6.006328107994585
standardised,2004-06-14,756,714,798,0.13148477378887602,0.26332513188395223,0.21784408421448495,0.015705152637256543,0.03317701483875209,-1.1124923523537067
standardised,2004-07-02,770,728,812,-0.066077858870622,0.25875643926101505,0.2191027253668075,0.0158757868490705,0.03982251536107029,-1.5083805760091713
standardised,2004-07-23,784,742,826,-0.08319688169740415,0.27508718208825467,0.2728856700271059,0.024476970442408746,0.0522128930005595,-1.1331436062894267
standardised,2004-08-12,798,756,840,-0.028650125463862287,0.21784408421448484,0.28452589798305095,0.02656140431736098,0.04270152424513585,-0.6076531095618845
standardised,2004-09-01,812,770,854,0.415804013977311,0.21910272536680753,0.32152696322757435,0.03373704420251652,0.03024117871994436,0.10362097703602002
standardised,2004-09-22,826,784,868,0.4926962110457454,0.2728856700271057,0.4889926389421156,0.07436881752292808,0.05712497169846431,0.23186930219977553
standardised,2004-10-12,840,798,882,0.43916769778868053,0.2845258979830507,0.5003525297650588,0.07756301099212592,0.0641998794646903,0.1722874261391455
standardised,2004-11-01,854,812,896,0.5131348341762684,0.3215269632275745,0.3712326077040034,0.04430173964423526,0.03807499434754247,0.1405530651097816
standardised,2004-11-19,868,826,910,0.6039259289300708,0.4889926389421155,0.29434218956094377,0.028325073262456552,0.048128138867332027,-0.6991355475547325
standardised,2004-12-10,882,840,924,0.7312060488272489,0.5003525297650587,0.3616068524383176,0.04213572650847445,0.03705915232918722,0.12048146786471614
