T,q,d_emp,d_th,ratio,excess,n_pairs,n_indep,gap,angle_deg
357,1.0,0.15968440544841547,0.08000545153922932,1.9959190577171724,0.07967895390918615,59,3.8669467787114846,1.854732156397743,47.82502784229551
397,0.8992443324937027,0.14987466269293112,0.07171166866896571,2.0899620030427712,0.07816299402396541,51,3.477329974811083,1.8841196295265783,47.42884382376142
437,0.816933638443936,0.135649048830649,0.0653945947974986,2.0743159163337714,0.07025445403315039,44,3.1590389016018308,1.8971171321746836,45.26795743411093
477,0.7484276729559748,0.12975580488742383,0.059929679282385406,2.1651343114322623,0.06982612560503842,39,2.8941299790356396,1.9092389008960793,45.14613411727825
517,0.690522243713733,0.12209405956383505,0.05528029012479247,2.2086363745236115,0.06681376943904258,34,2.6702127659574466,1.9366823762913328,44.27441900597487
557,0.6409335727109515,0.11702952813186034,0.051013024855595474,2.294110738642539,0.06601650327626486,30,2.4784560143626573,1.960143110088063,44.039196320286756
597,0.5979899497487438,0.11368613556474688,0.04772555447696919,2.3820809796899924,0.06596058108777769,27,2.312395309882747,1.987914237799906,44.02262448010819
638,0.5595611285266457,0.10737115503904864,0.044416365941359705,2.4173782065107354,0.06295478909768892,24,2.163793103448276,2.007961570096509,43.11747346721406
678,0.5265486725663717,0.10325933303217488,0.04150363622751938,2.4879587047774816,0.0617556968046555,21,2.036135693215339,2.0464569432535726,42.74823489659785
718,0.4972144846796657,0.10238089707054851,0.03886199509885237,2.634473521241629,0.06351890197169614,19,1.9227019498607243,2.073118694547699,43.28954547460874
758,0.470976253298153,0.09876251973130647,0.036527420931566364,2.703791212534187,0.0622350987997401,17,1.821240105540897,2.0909140549237684,42.89643097900226
798,0.4473684210526316,0.09913208046140333,0.03436628223180872,2.8845738911394005,0.0647657982295946,15,1.7299498746867168,2.104731093345735,43.66625403644796
838,0.42601431980906923,0.09832683540287923,0.03221156950204264,3.0525316500533766,0.06611526590083659,14,1.6473747016706444,2.137910535061003,44.06843997974237
878,0.40660592255125283,0.0959194080365488,0.03065914857410962,3.128573769903994,0.06526025946243919,12,1.5723234624145785,2.150657187783653,43.814276567456304
919,0.38846572361262244,0.09472093860207297,0.02900616666724135,3.265544864604526,0.06571477193483162,11,1.502176278563656,2.1613274137854357,43.94966805601946
959,0.3722627737226277,0.09363193492187183,0.027427818126482078,3.413758049951061,0.06620411679538975,9,1.4395203336809177,2.1712614168302298,44.09472327376705
999,0.35735735735735735,0.09353084936728581,0.02603604360068104,3.5923602987375265,0.06749480576660477,8,1.3818818818818819,2.1933555166258714,44.47383083359413
1039,0.343599615014437,0.09421543931054095,0.024604663022592243,3.8291700733324983,0.0696107762879487,7,1.3286814244465832,2.2152128772601665,45.08468913300653
1079,0.33086190917516217,0.094220217842876,0.023584893723349775,3.9949392584964274,0.07063532411952622,6,1.2794253938832252,2.1845295383586225,45.37584941518701
1119,0.3190348525469169,0.09572789048652378,0.022711926427589773,4.214873220540041,0.073015964058934,5,1.2336907953529936,2.1505535414689403,46.041175251138924
1159,0.3080241587575496,0.09397132393565585,0.02189926680743503,4.291071694863849,0.07207205712822082,4,1.1911130284728213,2.16475436314533,45.77922456790785
1200,0.2975,0.09369315119867555,0.020987507060084728,4.464234410044186,0.07270564413859082,4,1.1504166666666666,2.1775599471875173,45.95532019295334
