,raw,raw,raw,standardised,standardised,standardised,T,N,null_mode1,null_mode2,null_mode3
,mode1,mode2,mode3,mode1,mode2,mode3,,,,,
14,11.162502888195258,0.4755145833247736,0.12492072574974396,2.4873249205752397,0.12756383252189504,0.059926029766075924,357,357,142.25496942924207,2.2457679451571617,1.4539003507207018
28,32.42898055679164,1.1381597313308969,0.2817394539149155,7.644392963585545,0.36412565464203756,0.1419941271965581,357,357,142.25496942924207,2.2457679451571617,1.4539003507207018
42,61.15035505609913,1.8613578468823548,0.4489985517870709,14.787744252134098,0.7052578211837559,0.24850893417021194,357,357,142.25496942924207,2.2457679451571617,1.4539003507207018
56,93.1962754241355,2.603835028091763,0.6048748716811646,23.457570602627033,1.1358196544773702,0.3751842850961453,357,357,142.25496942924207,2.2457679451571617,1.4539003507207018
70,127.2615020794793,3.3935507002742247,0.7531725082818826,33.559388756515744,1.6374791065408771,0.5237951115627735,357,357,142.25496942924207,2.2457679451571617,1.4539003507207018
84,164.87227096738306,4.023995617788089,0.8581608808850582,45.01276538318812,2.166853089606591,0.6638344960260646,357,357,142.25496942924207,2.2457679451571617,1.4539003507207018
98,206.0739811717158,4.713793591464917,0.9314513049791139,57.74801731412265,2.7285766879156705,0.8066042295286687,357,357,142.25496942924207,2.2457679451571617,1.4539003507207018
112,249.6135601716775,5.460649832668831,0.9863624568422124,71.56138487013757,3.3118997095883578,0.949978367850181,357,357,142.25496942924207,2.2457679451571617,1.4539003507207018
126,297.02062639489225,6.1848271697886865,1.0374097851789634,87.05644967499781,3.910752265990232,1.0800445729539723,357,357,142.25496942924207,2.2457679451571617,1.4539003507207018
140,349.1465772851534,7.086897526223183,1.0859061231535336,104.29976337118686,4.57595816478896,1.2055250210049802,357,357,142.25496942924207,2.2457679451571617,1.4539003507207018
154,404.9937584637681,8.083743942752559,1.1157825498505805,123.27884712700393,5.284463081942141,1.342550025634503,357,357,142.25496942924207,2.2457679451571617,1.4539003507207018
168,465.4801312759963,9.117027453183342,1.1070480167120977,143.86435755113442,6.025991484951781,1.4668412415841934,357,357,142.25496942924207,2.2457679451571617,1.4539003507207018
182,528.904267816291,10.153755785977312,1.1507498191775092,165.7482527120077,6.795839704057282,1.5917804854168895,357,357,142.25496942924207,2.2457679451571617,1.4539003507207018
196,593.9718585013601,11.310446296110607,1.1933183057961856,188.5221750656038,7.573396155184186,1.72470565617908,357,357,142.25496942924207,2.2457679451571617,1.4539003507207018
210,659.5840962997349,12.435487827794978,1.245893107257133,212.10278253892972,8.335515812397018,1.8576925681360519,357,357,142.25496942924207,2.2457679451571617,1.4539003507207018
224,726.4318724284568,13.652085986271313,1.2929009390406132,236.00528107766053,9.121931895526968,1.9821140330486378,357,357,142.25496942924207,2.2457679451571617,1.4539003507207018
238,794.4754357025483,14.850788567209202,1.3429765799899605,260.42789540854386,9.916546753786912,2.0997809242789405,357,357,142.25496942924207,2.2457679451571617,1.4539003507207018
252,864.2574152223932,16.044281290611938,1.3957187362101018,285.16218413056214,10.707717796211066,2.206967854665497,357,357,142.25496942924207,2.2457679451571617,1.4539003507207018
266,937.5931229527516,17.10538894282688,1.4150739126410634,310.63068450218753,11.444567354177774,2.2801675302900244,357,357,142.25496942924207,2.2457679451571617,1.4539003507207018
280,1014.2370468657733,17.927384729912376,1.4552654405631746,336.6254067829341,12.13002626831232,2.349646212682212,357,357,142.25496942924207,2.2457679451571617,1.4539003507207018
294,1092.668438175664,18.85863788583306,1.5163420414288535,362.6589469414627,12.843971430807162,2.3964298569190015,357,357,142.25496942924207,2.2457679451571617,1.4539003507207018
308,1172.6911033231615,19.88221554441189,1.5816537218093598,389.06656587498014,13.524776141933138,2.3996125961717953,357,357,142.25496942924207,2.2457679451571617,1.4539003507207018
322,1257.7914643120237,20.818415040179914,1.6738272232089129,416.343965735349,14.13808032173486,2.3675986210856172,357,357,142.25496942924207,2.2457679451571617,1.4539003507207018
336,1345.3245748401991,21.754505460662912,1.788629785208323,443.34294347733254,14.700887025981526,2.337869634324423,357,357,142.25496942924207,2.2457679451571617,1.4539003507207018
350,1430.071210679247,22.612394605079956,1.9189288600233683,468.64400600580086,15.240277365923598,2.296868942099475,357,357,142.25496942924207,2.2457679451571617,1.4539003507207018
364,1510.2436415487127,23.32667344474875,2.048669081958913,492.3644393604257,15.667136034958812,2.2474767864512923,357,357,142.25496942924207,2.2457679451571617,1.4539003507207018
378,1584.0817652033822,23.805482985802087,2.133636308840097,514.8686283362455,15.99362523390021,2.1841173688619335,357,357,142.25496942924207,2.2457679451571617,1.4539003507207018
392,1654.4334847946661,24.413258973937747,2.2272873519163032,536.3127103821585,16.27848552377084,2.135276263795548,357,357,142.25496942924207,2.2457679451571617,1.4539003507207018
406,1720.1398552673224,24.976907293488335,2.3408752110680466,556.6746164804808,16.51551833470201,2.0553306006842,357,357,142.25496942924207,2.2457679451571617,1.4539003507207018
420,1785.6756913911165,25.556860844283722,2.453277465376307,576.0271759376529,16.733721476328288,1.9799467334182437,357,357,142.25496942924207,2.2457679451571617,1.4539003507207018
434,1851.0738170298332,26.048054419400565,2.575319098045877,594.1557044459879,16.909746522716716,1.9175714616127368,357,357,142.25496942924207,2.2457679451571617,1.4539003507207018
448,1918.217620745508,26.483796292917873,2.6845361828232086,612.2583081437975,17.030061901449262,1.8576504523913266,357,357,142.25496942924207,2.2457679451571617,1.4539003507207018
462,1982.4383992650107,26.741304158127832,2.7689151324433086,628.7271519958759,17.093560314383748,1.7973275939550046,357,357,142.25496942924207,2.2457679451571617,1.4539003507207018
476,2043.8238854963574,27.00984326846165,2.8640300036015294,645.1786323909481,17.16324854602142,1.7506543186871113,357,357,142.25496942924207,2.2457679451571617,1.4539003507207018
490,2100.9027512580324,27.28408904084646,2.9758815995481696,659.4927659632626,17.13205370720219,1.7061888306972395,357,357,142.25496942924207,2.2457679451571617,1.4539003507207018
504,2156.6640748584646,27.437741991460616,3.0914169591360228,672.7578278954411,16.986635000095145,1.6657553359241906,357,357,142.25496942924207,2.2457679451571617,1.4539003507207018
518,2210.724203608529,27.60727152937844,3.2222863761247207,683.9297820549143,16.874615020857693,1.6314920391064458,357,357,142.25496942924207,2.2457679451571617,1.4539003507207018
532,2261.8845325562297,27.689922807675543,3.3727749147094386,693.6938502037633,16.67927375551917,1.6185149811693655,357,357,142.25496942924207,2.2457679451571617,1.4539003507207018
546,2312.6416963258944,27.556496375049907,3.4788333642728535,702.2465062085006,16.446719601349507,1.6030058418514757,357,357,142.25496942924207,2.2457679451571617,1.4539003507207018
560,2361.392822728701,27.010870124175465,3.561596038179303,710.7334245256538,16.200130630814876,1.592446746829501,357,357,142.25496942924207,2.2457679451571617,1.4539003507207018
574,2406.710214143926,26.503298092838342,3.596922345547136,718.2514196470944,15.933262112370548,1.5935308262192371,357,357,142.25496942924207,2.2457679451571617,1.4539003507207018
588,2449.026496161652,25.771518087824536,3.646184906926606,724.8881894318536,15.611320244736829,1.6097065855124748,357,357,142.25496942924207,2.2457679451571617,1.4539003507207018
602,2490.1213170425904,25.058814511659428,3.658365127364545,730.5162979005341,15.29854128214725,1.610894301061009,357,357,142.25496942924207,2.2457679451571617,1.4539003507207018
616,2533.2004016123205,24.350596826221445,3.675403335193844,736.9909292871365,14.973586538297281,1.632775946974226,357,357,142.25496942924207,2.2457679451571617,1.4539003507207018
630,2576.758748613226,23.84124127274039,3.743254937493619,742.9537466203244,14.624819846286949,1.6660678777632312,357,357,142.25496942924207,2.2457679451571617,1.4539003507207018
644,2620.197782235491,23.370486355809277,3.8154541465246856,749.2117328057919,14.214395069383606,1.7191861192530926,357,357,142.25496942924207,2.2457679451571617,1.4539003507207018
658,2664.132810667217,22.506241784990372,3.8470011950919942,755.3601443972166,13.675986673987488,1.7777615079112383,357,357,142.25496942924207,2.2457679451571617,1.4539003507207018
672,2709.731461646012,21.718282214761526,3.8930864294941863,762.9340893516816,13.100665433680204,1.8497270239387185,357,357,142.25496942924207,2.2457679451571617,1.4539003507207018
686,2755.248864688555,20.7677027619968,3.900681104661892,771.3635578118945,12.431610195797537,1.92730677506132,357,357,142.25496942924207,2.2457679451571617,1.4539003507207018
700,2800.694203965097,19.609984821159223,3.895859221479544,781.3000885847421,11.612662078261534,2.017857517332032,357,357,142.25496942924207,2.2457679451571617,1.4539003507207018
714,2847.0144731409537,18.326679555703965,3.884562105283976,790.2140536990761,10.773454442592788,2.1092361328166866,357,357,142.25496942924207,2.2457679451571617,1.4539003507207018
728,2890.125342102298,17.262144205492522,3.835563487550359,798.3849402516682,10.028746270361886,2.2160782022706482,357,357,142.25496942924207,2.2457679451571617,1.4539003507207018
742,2933.106041865141,16.23993498238707,3.742194460483271,806.6495197777584,9.305633082141542,2.3172459628468647,357,357,142.25496942924207,2.2457679451571617,1.4539003507207018
756,2974.507747001451,15.41606435396943,3.7265495597623906,814.5572402739222,8.645240491247902,2.4334582578079633,357,357,142.25496942924207,2.2457679451571617,1.4539003507207018
