estimator,label,N,T,split,alpha,current_date,target_window_start,target_date,example,component,loss
3.1 Global Damping,sp500_full,357,357,test,0.225,2019-11-08,2018-08-10,2020-01-10,328,market_1,0.002803816193518327
3.1 Global Damping,sp500_full,357,357,test,0.225,2019-11-08,2018-08-10,2020-01-10,328,block_2_3,0.011321212589156193
3.1 Global Damping,sp500_full,357,357,test,0.225,2019-11-08,2018-08-10,2020-01-10,328,block_4_6,0.073016389441302
3.1 Global Damping,sp500_full,357,357,test,0.225,2019-11-08,2018-08-10,2020-01-10,328,top_3,0.00831785647954586
3.1 Global Damping,sp500_full,357,357,test,0.225,2019-11-08,2018-08-10,2020-01-10,328,top_6,0.03936439316452548
3.1 Global Damping,sp500_full,357,357,test,0.225,2019-11-08,2018-08-10,2020-01-10,328,flag_nested,0.01682868861252989
3.1 Global Damping,sp500_full,357,357,test,0.225,2019-11-29,2018-08-30,2020-01-31,329,market_1,0.002691269937623364
3.1 Global Damping,sp500_full,357,357,test,0.225,2019-11-29,2018-08-30,2020-01-31,329,block_2_3,0.012467739615575235
3.1 Global Damping,sp500_full,357,357,test,0.225,2019-11-29,2018-08-30,2020-01-31,329,block_4_6,0.10346421898280855
3.1 Global Damping,sp500_full,357,357,test,0.225,2019-11-29,2018-08-30,2020-01-31,329,top_3,0.009111463177209492
3.1 Global Damping,sp500_full,357,357,test,0.225,2019-11-29,2018-08-30,2020-01-31,329,top_6,0.05537311599069413
3.1 Global Damping,sp500_full,357,357,test,0.225,2019-11-29,2018-08-30,2020-01-31,329,flag_nested,0.02239194970184233
3.1 Global Damping,sp500_full,357,357,test,0.225,2019-12-19,2018-09-20,2020-02-21,330,market_1,0.0031547931376504357
3.1 Global Damping,sp500_full,357,357,test,0.225,2019-12-19,2018-09-20,2020-02-21,330,block_2_3,0.024021191147307164
3.1 Global Damping,sp500_full,357,357,test,0.225,2019-12-19,2018-09-20,2020-02-21,330,block_4_6,0.08849289611662225
3.1 Global Damping,sp500_full,357,357,test,0.225,2019-12-19,2018-09-20,2020-02-21,330,top_3,0.01662257023867871
3.1 Global Damping,sp500_full,357,357,test,0.225,2019-12-19,2018-09-20,2020-02-21,330,top_6,0.048016574513112996
3.1 Global Damping,sp500_full,357,357,test,0.225,2019-12-19,2018-09-20,2020-02-21,330,flag_nested,0.022597979296480716
3.1 Global Damping,sp500_full,357,357,test,0.225,2020-01-10,2018-10-10,2020-03-12,331,market_1,0.006403891043830323
3.1 Global Damping,sp500_full,357,357,test,0.225,2020-01-10,2018-10-10,2020-03-12,331,block_2_3,0.04097951195146077
3.1 Global Damping,sp500_full,357,357,test,0.225,2020-01-10,2018-10-10,2020-03-12,331,block_4_6,0.14927050858756585
3.1 Global Damping,sp500_full,357,357,test,0.225,2020-01-10,2018-10-10,2020-03-12,331,top_3,0.02744609512786352
3.1 Global Damping,sp500_full,357,357,test,0.225,2020-01-10,2018-10-10,2020-03-12,331,top_6,0.07532913103403871
3.1 Global Damping,sp500_full,357,357,test,0.225,2020-01-10,2018-10-10,2020-03-12,331,flag_nested,0.036393039068577514
3.1 Global Damping,sp500_full,357,357,test,0.225,2020-01-31,2018-10-30,2020-04-02,332,market_1,0.010850637220273907
3.1 Global Damping,sp500_full,357,357,test,0.225,2020-01-31,2018-10-30,2020-04-02,332,block_2_3,0.061631596135232614
3.1 Global Damping,sp500_full,357,357,test,0.225,2020-01-31,2018-10-30,2020-04-02,332,block_4_6,0.36448486785583806
3.1 Global Damping,sp500_full,357,357,test,0.225,2020-01-31,2018-10-30,2020-04-02,332,top_3,0.03992507055585692
3.1 Global Damping,sp500_full,357,357,test,0.225,2020-01-31,2018-10-30,2020-04-02,332,top_6,0.18302144949486068
3.1 Global Damping,sp500_full,357,357,test,0.225,2020-01-31,2018-10-30,2020-04-02,332,flag_nested,0.07793238575699717
3.1 Global Damping,sp500_full,357,357,test,0.225,2020-02-21,2018-11-19,2020-04-23,333,market_1,0.022023821756825823
3.1 Global Damping,sp500_full,357,357,test,0.225,2020-02-21,2018-11-19,2020-04-23,333,block_2_3,0.07678017353919053
3.1 Global Damping,sp500_full,357,357,test,0.225,2020-02-21,2018-11-19,2020-04-23,333,block_4_6,0.3672829364858945
3.1 Global Damping,sp500_full,357,357,test,0.225,2020-02-21,2018-11-19,2020-04-23,333,top_3,0.04655295194733459
3.1 Global Damping,sp500_full,357,357,test,0.225,2020-02-21,2018-11-19,2020-04-23,333,top_6,0.1889036421119199
3.1 Global Damping,sp500_full,357,357,test,0.225,2020-02-21,2018-11-19,2020-04-23,333,flag_nested,0.08582680527202675
3.1 Global Damping,sp500_full,357,357,test,0.225,2020-03-12,2018-12-11,2020-05-13,334,market_1,0.008716264678213292
3.1 Global Damping,sp500_full,357,357,test,0.225,2020-03-12,2018-12-11,2020-05-13,334,block_2_3,0.09560231591190915
3.1 Global Damping,sp500_full,357,357,test,0.225,2020-03-12,2018-12-11,2020-05-13,334,block_4_6,0.37619969275172394
3.1 Global Damping,sp500_full,357,357,test,0.225,2020-03-12,2018-12-11,2020-05-13,334,top_3,0.06266061474106666
3.1 Global Damping,sp500_full,357,357,test,0.225,2020-03-12,2018-12-11,2020-05-13,334,top_6,0.1929757693913583
3.1 Global Damping,sp500_full,357,357,test,0.225,2020-03-12,2018-12-11,2020-05-13,334,flag_nested,0.08811754960354608
3.1 Global Damping,sp500_full,357,357,test,0.225,2020-04-02,2019-01-02,2020-06-03,335,market_1,0.00532465167084184
3.1 Global Damping,sp500_full,357,357,test,0.225,2020-04-02,2019-01-02,2020-06-03,335,block_2_3,0.09046010578500019
3.1 Global Damping,sp500_full,357,357,test,0.225,2020-04-02,2019-01-02,2020-06-03,335,block_4_6,0.09697168698368674
3.1 Global Damping,sp500_full,357,357,test,0.225,2020-04-02,2019-01-02,2020-06-03,335,top_3,0.06040825879620101
3.1 Global Damping,sp500_full,357,357,test,0.225,2020-04-02,2019-01-02,2020-06-03,335,top_6,0.05395185289184834
3.1 Global Damping,sp500_full,357,357,test,0.225,2020-04-02,2019-01-02,2020-06-03,335,flag_nested,0.039894921119630396
3.1 Global Damping,sp500_full,357,357,test,0.225,2020-04-23,2019-01-23,2020-06-23,336,market_1,0.005784933266585468
3.1 Global Damping,sp500_full,357,357,test,0.225,2020-04-23,2019-01-23,2020-06-23,336,block_2_3,0.04498424028223158
3.1 Global Damping,sp500_full,357,357,test,0.225,2020-04-23,2019-01-23,2020-06-23,336,block_4_6,0.06527743569422266
3.1 Global Damping,sp500_full,357,357,test,0.225,2020-04-23,2019-01-23,2020-06-23,336,top_3,0.02933958975928075
3.1 Global Damping,sp500_full,357,357,test,0.225,2020-04-23,2019-01-23,2020-06-23,336,top_6,0.040654296387280166
3.1 Global Damping,sp500_full,357,357,test,0.225,2020-04-23,2019-01-23,2020-06-23,336,flag_nested,0.02525960647104879
3.1 Global Damping,sp500_full,357,357,test,0.225,2020-05-13,2019-02-12,2020-07-14,337,market_1,0.003967703899694697
3.1 Global Damping,sp500_full,357,357,test,0.225,2020-05-13,2019-02-12,2020-07-14,337,block_2_3,0.028687875023144183
3.1 Global Damping,sp500_full,357,357,test,0.225,2020-05-13,2019-02-12,2020-07-14,337,block_4_6,0.10858196751077953
3.1 Global Damping,sp500_full,357,357,test,0.225,2020-05-13,2019-02-12,2020-07-14,337,top_3,0.018979974293409658
3.1 Global Damping,sp500_full,357,357,test,0.225,2020-05-13,2019-02-12,2020-07-14,337,top_6,0.05917768940977212
3.1 Global Damping,sp500_full,357,357,test,0.225,2020-05-13,2019-02-12,2020-07-14,337,flag_nested,0.027375122534292157
3.1 Global Damping,sp500_full,357,357,test,0.225,2020-06-03,2019-03-05,2020-08-03,338,market_1,0.002839022403733016
3.1 Global Damping,sp500_full,357,357,test,0.225,2020-06-03,2019-03-05,2020-08-03,338,block_2_3,0.027013545204510936
3.1 Global Damping,sp500_full,357,357,test,0.225,2020-06-03,2019-03-05,2020-08-03,338,block_4_6,0.05626272756325109
3.1 Global Damping,sp500_full,357,357,test,0.225,2020-06-03,2019-03-05,2020-08-03,338,top_3,0.018749561543255577
3.1 Global Damping,sp500_full,357,357,test,0.225,2020-06-03,2019-03-05,2020-08-03,338,top_6,0.030348942093351667
3.1 Global Damping,sp500_full,357,357,test,0.225,2020-06-03,2019-03-05,2020-08-03,338,flag_nested,0.017312508680113418
3.1 Global Damping,sp500_full,357,357,test,0.225,2020-06-23,2019-03-25,2020-08-21,339,market_1,0.0023428467068009606
3.1 Global Damping,sp500_full,357,357,test,0.225,2020-06-23,2019-03-25,2020-08-21,339,block_2_3,0.024838363539263275
3.1 Global Damping,sp500_full,357,357,test,0.225,2020-06-23,2019-03-25,2020-08-21,339,block_4_6,0.06559656925356894
3.1 Global Damping,sp500_full,357,357,test,0.225,2020-06-23,2019-03-25,2020-08-21,339,top_3,0.017332257114394196
3.1 Global Damping,sp500_full,357,357,test,0.225,2020-06-23,2019-03-25,2020-08-21,339,top_6,0.03523887565876175
3.1 Global Damping,sp500_full,357,357,test,0.225,2020-06-23,2019-03-25,2020-08-21,339,flag_nested,0.018304659826652303
3.1 Global Damping,sp500_full,357,357,test,0.225,2020-07-14,2019-04-12,2020-09-11,340,market_1,0.002337857095757845
3.1 Global Damping,sp500_full,357,357,test,0.225,2020-07-14,2019-04-12,2020-09-11,340,block_2_3,0.021078783795098754
3.1 Global Damping,sp500_full,357,357,test,0.225,2020-07-14,2019-04-12,2020-09-11,340,block_4_6,0.06496847560443338
3.1 Global Damping,sp500_full,357,357,test,0.225,2020-07-14,2019-04-12,2020-09-11,340,top_3,0.014666770636300619
3.1 Global Damping,sp500_full,357,357,test,0.225,2020-07-14,2019-04-12,2020-09-11,340,top_6,0.03590328284206882
3.1 Global Damping,sp500_full,357,357,test,0.225,2020-07-14,2019-04-12,2020-09-11,340,flag_nested,0.01763597019137576
3.1 Global Damping,sp500_full,357,357,test,0.225,2020-08-03,2019-05-03,2020-10-01,341,market_1,0.00199452163512015
3.1 Global Damping,sp500_full,357,357,test,0.225,2020-08-03,2019-05-03,2020-10-01,341,block_2_3,0.014399551919187736
3.1 Global Damping,sp500_full,357,357,test,0.225,2020-08-03,2019-05-03,2020-10-01,341,block_4_6,0.10808815930367228
3.1 Global Damping,sp500_full,357,357,test,0.225,2020-08-03,2019-05-03,2020-10-01,341,top_3,0.010102683605322552
3.1 Global Damping,sp500_full,357,357,test,0.225,2020-08-03,2019-05-03,2020-10-01,341,top_6,0.056644291628472544
3.1 Global Damping,sp500_full,357,357,test,0.225,2020-08-03,2019-05-03,2020-10-01,341,flag_nested,0.022913832289638416
3.1 Global Damping,sp500_full,357,357,test,0.225,2020-08-21,2019-05-23,2020-10-21,342,market_1,0.0025108443670408542
3.1 Global Damping,sp500_full,357,357,test,0.225,2020-08-21,2019-05-23,2020-10-21,342,block_2_3,0.011980688349668922
3.1 Global Damping,sp500_full,357,357,test,0.225,2020-08-21,2019-05-23,2020-10-21,342,block_4_6,0.08074827415947909
3.1 Global Damping,sp500_full,357,357,test,0.225,2020-08-21,2019-05-23,2020-10-21,342,top_3,0.008588130317511933
3.1 Global Damping,sp500_full,357,357,test,0.225,2020-08-21,2019-05-23,2020-10-21,342,top_6,0.04302043569203325
3.1 Global Damping,sp500_full,357,357,test,0.225,2020-08-21,2019-05-23,2020-10-21,342,flag_nested,0.018039803458862014
3.1 Global Damping,sp500_full,357,357,test,0.225,2020-09-11,2019-06-13,2020-11-10,343,market_1,0.0023294710100717486
3.1 Global Damping,sp500_full,357,357,test,0.225,2020-09-11,2019-06-13,2020-11-10,343,block_2_3,0.010972634531780656
3.1 Global Damping,sp500_full,357,357,test,0.225,2020-09-11,2019-06-13,2020-11-10,343,block_4_6,0.06321782335336461
3.1 Global Damping,sp500_full,357,357,test,0.225,2020-09-11,2019-06-13,2020-11-10,343,top_3,0.0078370301397482
3.1 Global Damping,sp500_full,357,357,test,0.225,2020-09-11,2019-06-13,2020-11-10,343,top_6,0.03476030851329659
3.1 Global Damping,sp500_full,357,357,test,0.225,2020-09-11,2019-06-13,2020-11-10,343,flag_nested,0.014975603221038846
3.1 Global Damping,sp500_full,357,357,test,0.225,2020-10-01,2019-07-03,2020-12-01,344,market_1,0.002565332456088365
3.1 Global Damping,sp500_full,357,357,test,0.225,2020-10-01,2019-07-03,2020-12-01,344,block_2_3,0.012117247794443453
3.1 Global Damping,sp500_full,357,357,test,0.225,2020-10-01,2019-07-03,2020-12-01,344,block_4_6,0.05552732099303329
3.1 Global Damping,sp500_full,357,357,test,0.225,2020-10-01,2019-07-03,2020-12-01,344,top_3,0.008336952282460341
3.1 Global Damping,sp500_full,357,357,test,0.225,2020-10-01,2019-07-03,2020-12-01,344,top_6,0.031231559617222942
3.1 Global Damping,sp500_full,357,357,test,0.225,2020-10-01,2019-07-03,2020-12-01,344,flag_nested,0.014044614785257217
3.1 Global Damping,sp500_full,357,357,test,0.225,2020-10-21,2019-07-24,2020-12-21,345,market_1,0.002691259050928374
3.1 Global Damping,sp500_full,357,357,test,0.225,2020-10-21,2019-07-24,2020-12-21,345,block_2_3,0.010596889512861973
3.1 Global Damping,sp500_full,357,357,test,0.225,2020-10-21,2019-07-24,2020-12-21,345,block_4_6,0.05593359200870829
3.1 Global Damping,sp500_full,357,357,test,0.225,2020-10-21,2019-07-24,2020-12-21,345,top_3,0.007329157139770892
3.1 Global Damping,sp500_full,357,357,test,0.225,2020-10-21,2019-07-24,2020-12-21,345,top_6,0.03111695743414966
3.1 Global Damping,sp500_full,357,357,test,0.225,2020-10-21,2019-07-24,2020-12-21,345,flag_nested,0.013712457874949643
3.1 Global Damping,sp500_full,357,357,test,0.225,2020-11-10,2019-08-13,2021-01-12,346,market_1,0.0023947637155710133
3.1 Global Damping,sp500_full,357,357,test,0.225,2020-11-10,2019-08-13,2021-01-12,346,block_2_3,0.010768172844229595
3.1 Global Damping,sp500_full,357,357,test,0.225,2020-11-10,2019-08-13,2021-01-12,346,block_4_6,0.05848345935900623
3.1 Global Damping,sp500_full,357,357,test,0.225,2020-11-10,2019-08-13,2021-01-12,346,top_3,0.007523417420264226
3.1 Global Damping,sp500_full,357,357,test,0.225,2020-11-10,2019-08-13,2021-01-12,346,top_6,0.031987477946626264
3.1 Global Damping,sp500_full,357,357,test,0.225,2020-11-10,2019-08-13,2021-01-12,346,flag_nested,0.013968553027487169
3.1 Global Damping,sp500_full,357,357,test,0.225,2020-12-01,2019-09-03,2021-02-02,347,market_1,0.0022012533307849136
3.1 Global Damping,sp500_full,357,357,test,0.225,2020-12-01,2019-09-03,2021-02-02,347,block_2_3,0.010421725978634444
3.1 Global Damping,sp500_full,357,357,test,0.225,2020-12-01,2019-09-03,2021-02-02,347,block_4_6,0.0638826409344313
3.1 Global Damping,sp500_full,357,357,test,0.225,2020-12-01,2019-09-03,2021-02-02,347,top_3,0.0075472881727719114
3.1 Global Damping,sp500_full,357,357,test,0.225,2020-12-01,2019-09-03,2021-02-02,347,top_6,0.033811079539306586
3.1 Global Damping,sp500_full,357,357,test,0.225,2020-12-01,2019-09-03,2021-02-02,347,flag_nested,0.01451987368095447
3.1 Global Damping,sp500_full,357,357,test,0.225,2020-12-21,2019-09-23,2021-02-23,348,market_1,0.0022455459301912173
3.1 Global Damping,sp500_full,357,357,test,0.225,2020-12-21,2019-09-23,2021-02-23,348,block_2_3,0.012047941950537044
3.1 Global Damping,sp500_full,357,357,test,0.225,2020-12-21,2019-09-23,2021-02-23,348,block_4_6,0.0919600976034114
3.1 Global Damping,sp500_full,357,357,test,0.225,2020-12-21,2019-09-23,2021-02-23,348,top_3,0.008667831632538517
3.1 Global Damping,sp500_full,357,357,test,0.225,2020-12-21,2019-09-23,2021-02-23,348,top_6,0.04916886269835027
3.1 Global Damping,sp500_full,357,357,test,0.225,2020-12-21,2019-09-23,2021-02-23,348,flag_nested,0.02002741342036
3.1 Global Damping,sp500_full,357,357,test,0.225,2021-01-12,2019-10-11,2021-03-15,349,market_1,0.002340474059851161
3.1 Global Damping,sp500_full,357,357,test,0.225,2021-01-12,2019-10-11,2021-03-15,349,block_2_3,0.02276683827500714
3.1 Global Damping,sp500_full,357,357,test,0.225,2021-01-12,2019-10-11,2021-03-15,349,block_4_6,0.0894744813992762
3.1 Global Damping,sp500_full,357,357,test,0.225,2021-01-12,2019-10-11,2021-03-15,349,top_3,0.015738280075078343
3.1 Global Damping,sp500_full,357,357,test,0.225,2021-01-12,2019-10-11,2021-03-15,349,top_6,0.045788955202717606
3.1 Global Damping,sp500_full,357,357,test,0.225,2021-01-12,2019-10-11,2021-03-15,349,flag_nested,0.021289236445882372
3.1 Global Damping,sp500_full,357,357,test,0.225,2021-02-02,2019-10-31,2021-04-05,350,market_1,0.0017711450477007062
3.1 Global Damping,sp500_full,357,357,test,0.225,2021-02-02,2019-10-31,2021-04-05,350,block_2_3,0.026896789953716804
3.1 Global Damping,sp500_full,357,357,test,0.225,2021-02-02,2019-10-31,2021-04-05,350,block_4_6,0.08338785658286992
