estimator,label,N,T,split,alpha,current_date,target_window_start,target_date,example,component,loss
1.6 Retained-Window Flag,sp500_full,357,357,test,0.225,2019-11-08,2018-08-10,2020-01-10,328,market_1,0.0013439045717177356
1.6 Retained-Window Flag,sp500_full,357,357,test,0.225,2019-11-08,2018-08-10,2020-01-10,328,block_2_3,0.0057151170413434205
1.6 Retained-Window Flag,sp500_full,357,357,test,0.225,2019-11-08,2018-08-10,2020-01-10,328,block_4_6,0.09045922730465132
1.6 Retained-Window Flag,sp500_full,357,357,test,0.225,2019-11-08,2018-08-10,2020-01-10,328,top_3,0.004082546398961995
1.6 Retained-Window Flag,sp500_full,357,357,test,0.225,2019-11-08,2018-08-10,2020-01-10,328,top_6,0.04654477445944227
1.6 Retained-Window Flag,sp500_full,357,357,test,0.225,2019-11-08,2018-08-10,2020-01-10,328,flag_nested,0.017323741810040667
1.6 Retained-Window Flag,sp500_full,357,357,test,0.225,2019-11-29,2018-08-30,2020-01-31,329,market_1,0.0013579729300959853
1.6 Retained-Window Flag,sp500_full,357,357,test,0.225,2019-11-29,2018-08-30,2020-01-31,329,block_2_3,0.0067861493399893336
1.6 Retained-Window Flag,sp500_full,357,357,test,0.225,2019-11-29,2018-08-30,2020-01-31,329,block_4_6,0.10512573109862682
1.6 Retained-Window Flag,sp500_full,357,357,test,0.225,2019-11-29,2018-08-30,2020-01-31,329,top_3,0.004894008903966185
1.6 Retained-Window Flag,sp500_full,357,357,test,0.225,2019-11-29,2018-08-30,2020-01-31,329,top_6,0.053480244378633746
1.6 Retained-Window Flag,sp500_full,357,357,test,0.225,2019-11-29,2018-08-30,2020-01-31,329,flag_nested,0.01991074207089864
1.6 Retained-Window Flag,sp500_full,357,357,test,0.225,2019-12-19,2018-09-20,2020-02-21,330,market_1,0.0015150586903461827
1.6 Retained-Window Flag,sp500_full,357,357,test,0.225,2019-12-19,2018-09-20,2020-02-21,330,block_2_3,0.013267606378669528
1.6 Retained-Window Flag,sp500_full,357,357,test,0.225,2019-12-19,2018-09-20,2020-02-21,330,block_4_6,0.056444255619004124
1.6 Retained-Window Flag,sp500_full,357,357,test,0.225,2019-12-19,2018-09-20,2020-02-21,330,top_3,0.009248967940786704
1.6 Retained-Window Flag,sp500_full,357,357,test,0.225,2019-12-19,2018-09-20,2020-02-21,330,top_6,0.027821311771391393
1.6 Retained-Window Flag,sp500_full,357,357,test,0.225,2019-12-19,2018-09-20,2020-02-21,330,flag_nested,0.012861779467508093
1.6 Retained-Window Flag,sp500_full,357,357,test,0.225,2020-01-10,2018-10-10,2020-03-12,331,market_1,0.005036559202988955
1.6 Retained-Window Flag,sp500_full,357,357,test,0.225,2020-01-10,2018-10-10,2020-03-12,331,block_2_3,0.012196228997788716
1.6 Retained-Window Flag,sp500_full,357,357,test,0.225,2020-01-10,2018-10-10,2020-03-12,331,block_4_6,0.027121274740763496
1.6 Retained-Window Flag,sp500_full,357,357,test,0.225,2020-01-10,2018-10-10,2020-03-12,331,top_3,0.007743644521336653
1.6 Retained-Window Flag,sp500_full,357,357,test,0.225,2020-01-10,2018-10-10,2020-03-12,331,top_6,0.015289515615116489
