estimator,label,N,T,split,alpha,current_date,target_window_start,target_date,example,component,loss
3.1 Global Damping,dax_full,29,250,test,0.1,2019-11-11,2019-01-17,2020-01-15,342,market_1,0.00252714068754345
3.1 Global Damping,dax_full,29,250,test,0.1,2019-11-11,2019-01-17,2020-01-15,342,block_2_3,0.055910263889830114
3.1 Global Damping,dax_full,29,250,test,0.1,2019-11-11,2019-01-17,2020-01-15,342,block_4_6,0.11512063262002714
3.1 Global Damping,dax_full,29,250,test,0.1,2019-11-11,2019-01-17,2020-01-15,342,top_3,0.03797636665961157
3.1 Global Damping,dax_full,29,250,test,0.1,2019-11-11,2019-01-17,2020-01-15,342,top_6,0.04690588853309204
3.1 Global Damping,dax_full,29,250,test,0.1,2019-11-11,2019-01-17,2020-01-15,342,flag_nested,0.02913646529341569
3.1 Global Damping,dax_full,29,250,test,0.1,2019-11-29,2019-02-06,2020-02-04,343,market_1,0.004099482938214938
3.1 Global Damping,dax_full,29,250,test,0.1,2019-11-29,2019-02-06,2020-02-04,343,block_2_3,0.03238366871265119
3.1 Global Damping,dax_full,29,250,test,0.1,2019-11-29,2019-02-06,2020-02-04,343,block_4_6,0.2708714685917495
3.1 Global Damping,dax_full,29,250,test,0.1,2019-11-29,2019-02-06,2020-02-04,343,top_3,0.021902062314962684
3.1 Global Damping,dax_full,29,250,test,0.1,2019-11-29,2019-02-06,2020-02-04,343,top_6,0.13570021061928625
3.1 Global Damping,dax_full,29,250,test,0.1,2019-11-29,2019-02-06,2020-02-04,343,flag_nested,0.05390058529082129
3.1 Global Damping,dax_full,29,250,test,0.1,2019-12-19,2019-02-26,2020-02-24,344,market_1,0.0041615758863234875
3.1 Global Damping,dax_full,29,250,test,0.1,2019-12-19,2019-02-26,2020-02-24,344,block_2_3,0.05715137627775102
3.1 Global Damping,dax_full,29,250,test,0.1,2019-12-19,2019-02-26,2020-02-24,344,block_4_6,0.08920231965569266
3.1 Global Damping,dax_full,29,250,test,0.1,2019-12-19,2019-02-26,2020-02-24,344,top_3,0.038090160731210077
3.1 Global Damping,dax_full,29,250,test,0.1,2019-12-19,2019-02-26,2020-02-24,344,top_6,0.038559653064209755
3.1 Global Damping,dax_full,29,250,test,0.1,2019-12-19,2019-02-26,2020-02-24,344,flag_nested,0.026937129893914436
3.1 Global Damping,dax_full,29,250,test,0.1,2020-01-15,2019-03-18,2020-03-13,345,market_1,0.010964005998941095
3.1 Global Damping,dax_full,29,250,test,0.1,2020-01-15,2019-03-18,2020-03-13,345,block_2_3,0.09257500620351145
3.1 Global Damping,dax_full,29,250,test,0.1,2020-01-15,2019-03-18,2020-03-13,345,block_4_6,0.1952149426648971
3.1 Global Damping,dax_full,29,250,test,0.1,2020-01-15,2019-03-18,2020-03-13,345,top_3,0.059541574627843374
3.1 Global Damping,dax_full,29,250,test,0.1,2020-01-15,2019-03-18,2020-03-13,345,top_6,0.08623668770554287
3.1 Global Damping,dax_full,29,250,test,0.1,2020-01-15,2019-03-18,2020-03-13,345,flag_nested,0.05224742277744245
3.1 Global Damping,dax_full,29,250,test,0.1,2020-02-04,2019-04-05,2020-04-02,346,market_1,0.00980857105335553
3.1 Global Damping,dax_full,29,250,test,0.1,2020-02-04,2019-04-05,2020-04-02,346,block_2_3,0.08134956008823291
3.1 Global Damping,dax_full,29,250,test,0.1,2020-02-04,2019-04-05,2020-04-02,346,block_4_6,0.1241751638592244
3.1 Global Damping,dax_full,29,250,test,0.1,2020-02-04,2019-04-05,2020-04-02,346,top_3,0.05276097672696819
