estimator,label,N,T,split,alpha,current_date,target_window_start,target_date,example,component,loss
1.6 Retained-Window Flag,dax_full,29,250,test,0.1,2019-11-11,2019-01-17,2020-01-15,342,market_1,0.0033083829323027336
1.6 Retained-Window Flag,dax_full,29,250,test,0.1,2019-11-11,2019-01-17,2020-01-15,342,block_2_3,0.009572516547731058
1.6 Retained-Window Flag,dax_full,29,250,test,0.1,2019-11-11,2019-01-17,2020-01-15,342,block_4_6,0.10898657862779186
1.6 Retained-Window Flag,dax_full,29,250,test,0.1,2019-11-11,2019-01-17,2020-01-15,342,top_3,0.006716034167651319
1.6 Retained-Window Flag,dax_full,29,250,test,0.1,2019-11-11,2019-01-17,2020-01-15,342,top_6,0.056251303495670424
1.6 Retained-Window Flag,dax_full,29,250,test,0.1,2019-11-11,2019-01-17,2020-01-15,342,flag_nested,0.02209190686520816
1.6 Retained-Window Flag,dax_full,29,250,test,0.1,2019-11-29,2019-02-06,2020-02-04,343,market_1,0.007111048340887827
1.6 Retained-Window Flag,dax_full,29,250,test,0.1,2019-11-29,2019-02-06,2020-02-04,343,block_2_3,0.011847853162512356
1.6 Retained-Window Flag,dax_full,29,250,test,0.1,2019-11-29,2019-02-06,2020-02-04,343,block_4_6,0.3503163736995294
1.6 Retained-Window Flag,dax_full,29,250,test,0.1,2019-11-29,2019-02-06,2020-02-04,343,top_3,0.006372841483277843
1.6 Retained-Window Flag,dax_full,29,250,test,0.1,2019-11-29,2019-02-06,2020-02-04,343,top_6,0.17636877118018157
1.6 Retained-Window Flag,dax_full,29,250,test,0.1,2019-11-29,2019-02-06,2020-02-04,343,flag_nested,0.06328422033478241
1.6 Retained-Window Flag,dax_full,29,250,test,0.1,2019-12-19,2019-02-26,2020-02-24,344,market_1,0.004227112270760336
1.6 Retained-Window Flag,dax_full,29,250,test,0.1,2019-12-19,2019-02-26,2020-02-24,344,block_2_3,0.018190446150438078
1.6 Retained-Window Flag,dax_full,29,250,test,0.1,2019-12-19,2019-02-26,2020-02-24,344,block_4_6,0.11359814241896175
1.6 Retained-Window Flag,dax_full,29,250,test,0.1,2019-12-19,2019-02-26,2020-02-24,344,top_3,0.011328007912715895
1.6 Retained-Window Flag,dax_full,29,250,test,0.1,2019-12-19,2019-02-26,2020-02-24,344,top_6,0.05770211314396567
1.6 Retained-Window Flag,dax_full,29,250,test,0.1,2019-12-19,2019-02-26,2020-02-24,344,flag_nested,0.024419077775813966
1.6 Retained-Window Flag,dax_full,29,250,test,0.1,2020-01-15,2019-03-18,2020-03-13,345,market_1,0.009637119561570318
1.6 Retained-Window Flag,dax_full,29,250,test,0.1,2020-01-15,2019-03-18,2020-03-13,345,block_2_3,0.04130759928417449
1.6 Retained-Window Flag,dax_full,29,250,test,0.1,2020-01-15,2019-03-18,2020-03-13,345,block_4_6,0.14322661958452163
1.6 Retained-Window Flag,dax_full,29,250,test,0.1,2020-01-15,2019-03-18,2020-03-13,345,top_3,0.0249135895587879
1.6 Retained-Window Flag,dax_full,29,250,test,0.1,2020-01-15,2019-03-18,2020-03-13,345,top_6,0.07118161516785149
1.6 Retained-Window Flag,dax_full,29,250,test,0.1,2020-01-15,2019-03-18,2020-03-13,345,flag_nested,0.035244108096069905
1.6 Retained-Window Flag,dax_full,29,250,test,0.1,2020-02-04,2019-04-05,2020-04-02,346,market_1,0.007378599582884449
1.6 Retained-Window Flag,dax_full,29,250,test,0.1,2020-02-04,2019-04-05,2020-04-02,346,block_2_3,0.050086883447179376
1.6 Retained-Window Flag,dax_full,29,250,test,0.1,2020-02-04,2019-04-05,2020-04-02,346,block_4_6,0.1290563278846236
1.6 Retained-Window Flag,dax_full,29,250,test,0.1,2020-02-04,2019-04-05,2020-04-02,346,top_3,0.031598868849363804
1.6 Retained-Window Flag,dax_full,29,250,test,0.1,2020-02-04,2019-04-05,2020-04-02,346,top_6,0.05626792877589182
1.6 Retained-Window Flag,dax_full,29,250,test,0.1,2020-02-04,2019-04-05,2020-04-02,346,flag_nested,0.03174846573604669
1.6 Retained-Window Flag,dax_full,29,250,test,0.1,2020-02-24,2019-04-29,2020-04-24,347,market_1,0.006004554190157996
1.6 Retained-Window Flag,dax_full,29,250,test,0.1,2020-02-24,2019-04-29,2020-04-24,347,block_2_3,0.124474008928669
1.6 Retained-Window Flag,dax_full,29,250,test,0.1,2020-02-24,2019-04-29,2020-04-24,347,block_4_6,0.19224289022236865
1.6 Retained-Window Flag,dax_full,29,250,test,0.1,2020-02-24,2019-04-29,2020-04-24,347,top_3,0.0821151145913966
1.6 Retained-Window Flag,dax_full,29,250,test,0.1,2020-02-24,2019-04-29,2020-04-24,347,top_6,0.06041947470552733
1.6 Retained-Window Flag,dax_full,29,250,test,0.1,2020-02-24,2019-04-29,2020-04-24,347,flag_nested,0.0495130478290273
1.6 Retained-Window Flag,dax_full,29,250,test,0.1,2020-03-13,2019-05-20,2020-05-15,348,market_1,0.002024005604903567
1.6 Retained-Window Flag,dax_full,29,250,test,0.1,2020-03-13,2019-05-20,2020-05-15,348,block_2_3,0.10994273392325471
1.6 Retained-Window Flag,dax_full,29,250,test,0.1,2020-03-13,2019-05-20,2020-05-15,348,block_4_6,0.10778444234022262
1.6 Retained-Window Flag,dax_full,29,250,test,0.1,2020-03-13,2019-05-20,2020-05-15,348,top_3,0.07343279030164096
1.6 Retained-Window Flag,dax_full,29,250,test,0.1,2020-03-13,2019-05-20,2020-05-15,348,top_6,0.023291973361041347
1.6 Retained-Window Flag,dax_full,29,250,test,0.1,2020-03-13,2019-05-20,2020-05-15,348,flag_nested,0.03291625642252862
1.6 Retained-Window Flag,dax_full,29,250,test,0.1,2020-04-02,2019-06-07,2020-06-05,349,market_1,0.0013118344516763747
1.6 Retained-Window Flag,dax_full,29,250,test,0.1,2020-04-02,2019-06-07,2020-06-05,349,block_2_3,0.0632803991876838
1.6 Retained-Window Flag,dax_full,29,250,test,0.1,2020-04-02,2019-06-07,2020-06-05,349,block_4_6,0.10398230237713839
1.6 Retained-Window Flag,dax_full,29,250,test,0.1,2020-04-02,2019-06-07,2020-06-05,349,top_3,0.04258078391531125
