label,candidate,reference_type,reference,metric,n_examples,block_length_origins,candidate_mean,reference_mean,absolute_improvement,percent_improvement,win_fraction,improvement_ci_low,improvement_ci_high
sp500_full,Oracle 1 - future Flag,common reconstruction control,Control - frozen Flag/QIS/EWMA,relative_frobenius,118,29,0.8751140249916999,0.8931024105880798,0.01798838559637994,2.0141459012001945,0.9745762711864406,0.01618231200556791,0.019594648633258393
sp500_full,Oracle 1 - future Flag,common reconstruction control,Control - frozen Flag/QIS/EWMA,gaussian_nll_per_asset,118,29,-6.861309139522211,-6.7644974762653645,0.09681166325684654,1.4311730264743276,1.0,0.06683560176461642,0.12706219803991925
sp500_full,Oracle 1 - future Flag,common reconstruction control,Control - frozen Flag/QIS/EWMA,gmv_long_short_annualised_volatility,118,29,0.18795338344586443,0.21283478644814297,0.024881403002278535,11.69047758475369,0.847457627118644,0.01697366804422057,0.03270726846633694
sp500_full,Oracle 1 - future Flag,common reconstruction control,Control - frozen Flag/QIS/EWMA,gmv_long_only_annualised_volatility,118,29,0.11809313514177905,0.12479740440273185,0.0067042692609528,5.372122355459855,0.9661016949152542,2.104968658421155e-05,0.013190844532540944
sp500_full,Oracle 2 - future Flag and spectrum,common reconstruction control,Control - frozen Flag/QIS/EWMA,relative_frobenius,118,29,0.8602508818129717,0.8931024105880798,0.03285152877510811,3.6783607776264327,0.9152542372881356,0.022399759329856463,0.04382623633052483
sp500_full,Oracle 2 - future Flag and spectrum,common reconstruction control,Control - frozen Flag/QIS/EWMA,gaussian_nll_per_asset,118,29,-6.908021174584004,-6.7644974762653645,0.14352369831863943,2.121720036443534,0.652542372881356,-0.1390244729004023,0.38294301642705847
sp500_full,Oracle 2 - future Flag and spectrum,common reconstruction control,Control - frozen Flag/QIS/EWMA,gmv_long_short_annualised_volatility,118,29,0.19604695806776612,0.21283478644814297,0.016787828380376846,7.887727688005169,0.6949152542372882,-0.0032750266882331973,0.03827882359208918
sp500_full,Oracle 2 - future Flag and spectrum,common reconstruction control,Control - frozen Flag/QIS/EWMA,gmv_long_only_annualised_volatility,118,29,0.11751080009623407,0.12479740440273185,0.007286604306497774,5.8387466801659444,0.9576271186440678,0.000589815180583709,0.013942373275975584
sp500_full,Oracle 3 - future rolling correlation,common reconstruction control,Control - frozen Flag/QIS/EWMA,relative_frobenius,118,29,0.8516877588996692,0.8931024105880798,0.04141465168841063,4.637167159938622,0.9491525423728814,0.03143296078658371,0.05184512408256993
sp500_full,Oracle 3 - future rolling correlation,common reconstruction control,Control - frozen Flag/QIS/EWMA,gaussian_nll_per_asset,118,29,-7.823985859749143,-6.7644974762653645,1.059488383483779,15.662484718210223,1.0,0.7317814358332523,1.2803361504009068
sp500_full,Oracle 3 - future rolling correlation,common reconstruction control,Control - frozen Flag/QIS/EWMA,gmv_long_short_annualised_volatility,118,29,0.08571592561184027,0.21283478644814297,0.1271188608363027,59.72654327692579,0.9830508474576272,0.09785348984641266,0.15222941592565964
sp500_full,Oracle 3 - future rolling correlation,common reconstruction control,Control - frozen Flag/QIS/EWMA,gmv_long_only_annualised_volatility,118,29,0.11616687281428928,0.12479740440273185,0.00863053158844257,6.915633886575965,0.9661016949152542,0.0009141947798429777,0.015904261567448327
sp500_full,Oracle 4 - future correlation and scale,common reconstruction control,Control - frozen Flag/QIS/EWMA,relative_frobenius,118,29,0.5659939654044407,0.8931024105880798,0.32710844518363913,36.62608468028303,1.0,0.16262802664446727,0.565147907911898
sp500_full,Oracle 4 - future correlation and scale,common reconstruction control,Control - frozen Flag/QIS/EWMA,gaussian_nll_per_asset,118,29,-8.081893102832685,-6.7644974762653645,1.317395626567321,19.475144032349416,1.0,0.9836782962075528,1.5756143004657217
sp500_full,Oracle 4 - future correlation and scale,common reconstruction control,Control - frozen Flag/QIS/EWMA,gmv_long_short_annualised_volatility,118,29,0.08076744760837709,0.21283478644814297,0.13206733883976587,62.05157579912059,0.9661016949152542,0.10179587357700688,0.1571930567315999
sp500_full,Oracle 4 - future correlation and scale,common reconstruction control,Control - frozen Flag/QIS/EWMA,gmv_long_only_annualised_volatility,118,29,0.09345898556759447,0.12479740440273185,0.03133841883513738,25.111434797157827,1.0,0.0190228392952033,0.05124247093570244
sp500_full,Control - frozen Flag/QIS/EWMA,best Family 2 estimator,2.6 RiskMetrics EWMA (lambda 0.94),relative_frobenius,118,29,0.8931024105880798,1.0169502103796024,0.1238477997915226,12.17835431149508,0.652542372881356,-0.12439732767469355,0.3522440640345774
sp500_full,Oracle 1 - future Flag,best Family 2 estimator,2.6 RiskMetrics EWMA (lambda 0.94),relative_frobenius,118,29,0.8751140249916999,1.0169502103796024,0.14183618538790255,13.947210388496659,0.6779661016949152,-0.13392845764194491,0.37642189544312094
sp500_full,Oracle 2 - future Flag and spectrum,best Family 2 estimator,2.6 RiskMetrics EWMA (lambda 0.94),relative_frobenius,118,29,0.8602508818129717,1.0169502103796024,0.1566993285666307,15.408751280767099,0.6949152542372882,-0.12441684874862924,0.3763419871210952
sp500_full,Oracle 3 - future rolling correlation,best Family 2 estimator,2.6 RiskMetrics EWMA (lambda 0.94),relative_frobenius,118,29,0.8516877588996692,1.0169502103796024,0.16526245147993324,16.25079082468008,0.6949152542372882,-0.10159114282800559,0.3837724252585413
